カテゴリ,難易度,問題文,選択肢１,選択肢２,選択肢３,選択肢４,正解番号,解説,関連交通ルール
กฎพื้นฐาน,ซูพีเรียร์,บนถนนที่มีช่องทางเดินรถ ตําแหน่งใดเหมาะสมที่สุดสําหรับจักรยานที่จะผ่าน?,เคลื่อนย้ายทางเท้าและถนนได้อย่างอิสระตามสถานการณ์,มันผ่านเลนรถคันแรกที่นับจากซ้ายสุด จากนั้นไปตามทางด้านซ้ายสุด,ผ่านเลนรถขวาสุด,คุณสามารถเลือกและใช้แถบทางเดินที่เปิดอยู่ได้อย่างอิสระ,2,เมื่อมีเลนยานพาหนะโดยทั่วไปจักรยานจะต้องเดินทางผ่านเลนรถคันแรกที่นับจากด้านซ้ายสุดแล้วผ่านด้านซ้ายสุด,กฎห้าข้อสําหรับการใช้จักรยานอย่างปลอดภัย | สํานักงานตํารวจแห่งชาติ พระราชบัญญัติจราจรทางบก มาตรา 20
การใช้หูฟัง,ระดับเริ่มต้น,ข้อใดต่อไปนี้ใกล้เคียงกับเจตนารมณ์ของประกาศกรมตํารวจนครบาลเกี่ยวกับการขี่จักรยานขณะสวมหูฟังมากที่สุด,ไม่ว่าคุณจะมีหูข้างเดียวหรือทั้งสองข้าง คุณก็สามารถตัดสินได้ว่าคุณไม่ได้ยินเสียงหรือเสียงที่จําเป็นสําหรับการขับขี่อย่างปลอดภัยหรือไม่,ถ้าเป็นแค่หูข้างเดียว ก็ถูกกฎหมายเสมอ,ไม่มีข้อบังคับเกี่ยวกับหูฟัง,ถ้าคุณมีหูทั้งสองข้าง ถือเป็นการละเมิดเสมอ,1,เมื่อมีเลนยานพาหนะโดยทั่วไปจักรยานจะต้องเดินทางผ่านเลนรถคันแรกที่นับจากด้านซ้ายสุดแล้วผ่านด้านซ้ายสุด,ประกาศกรมตํารวจนครบาล　 ประเด็นที่ควรทราบเกี่ยวกับการบังคับใช้กับผู้ใช้จักรยานที่ใช้หูฟังหรืออุปกรณ์ที่คล้ายคลึงกัน: ตัดสินว่าไม่ได้ยินหูข้างใดข้างหนึ่งหรือทั้งสองข้าง แต่ไม่ได้ยินเสียงหรือเสียงที่จําเป็นสําหรับการขับขี่อย่างปลอดภัย
กฎพื้นฐาน,ซูพีเรียร์,วิธีที่ถูกต้องในการเดินทางด้วยจักรยานที่สี่แยกที่ถนนลําดับความสําคัญและไม่มีความสําคัญตัดกันคืออะไร?,แนวคิดถนนลําดับความสําคัญใช้ไม่ได้กับจักรยาน,จักรยานที่เดินทางบนถนนที่ไม่มีความสําคัญควรใส่ใจกับยานพาหนะที่วิ่งผ่านบนถนนที่มีลําดับความสําคัญ และใช้มาตรการต่างๆ เช่น การหยุดรถตามความจําเป็น,บนถนนทั้งสองสาย จักรยานจะได้รับความสําคัญเสมอ,ยานพาหนะที่เดินทางบนถนนที่มีลําดับความสําคัญจะต้องยอมจํานนต่อถนนที่ไม่มีความสําคัญเสมอ,2,บนถนนที่มีลําดับความสําคัญ ควรระมัดระวังมากขึ้นสําหรับยานพาหนะที่เข้ามาจากด้านที่ไม่มีความสําคัญ รวมถึงจักรยาน,พระราชบัญญัติจราจรทางบก พระราชบัญญัติจราจรทางบก มาตรา 36
ขณะใช้สมาร์ทโฟนของฉัน,ซูพีเรียร์,ข้อใดต่อไปนี้เป็นข้อมูลที่เหมาะสมที่สุดเกี่ยวกับจักรยานที่ใช้สมาร์ทโฟนขณะยังอยู่บนท้องถนน,การละเมิดจะกระทําเสมอแม้ในขณะที่ถูกระงับ,ถึงจะผลักขณะเดินก็เป็นการละเมิดอย่างแน่นอน,เป้าหมายพื้นฐานคือขณะขับรถ (ยกเว้นเมื่อหยุด),หากคุณไม่โทรออกแม้จะดูสมาร์ทโฟน ก็ไม่ใช่การละเมิด,3,ตามเอกสารประกาศสาธารณะการโทรแบบใช้มือถือและการจ้องมองหน้าจอขณะขับรถ (ไม่รวมขณะอยู่กับที่) เป็นเป้าหมายและการประเมินในแต่ละกรณีขึ้นอยู่กับสถานการณ์,เว็บไซต์พอร์ทัลจักรยานของสํานักงานตํารวจแห่งชาติ ตํารวจจังหวัดโอซาก้าและประชาสัมพันธ์รัฐบาลออนไลน์: การจัดการระหว่างการระงับ
ทางข้ามทางรถไฟ,ระดับเริ่มต้น,ข้อใดต่อไปนี้เป็นวิธีที่ถูกต้องสําหรับจักรยานในการผ่านทางข้ามทางรถไฟที่มีสิ่งกีดขวางลดลง,ถ้าผลักและเดินก็ผ่านไปได้ตลอดเวลา,คุณสามารถเดินไปตามทางเท้าได้,ห้ามเข้าไปเมื่อสิ่งกีดขวางลงหรือเมื่อเครื่องทําความร้อนเริ่มลดลง,คุณสามารถใช้มันโดยจักรยาน,3,อย่าเข้าไปในทางข้ามที่สิ่งกีดขวางกําลังลงหรือเริ่มลง เช่นเดียวกับจักรยาน,เว็บไซต์พอร์ทัลจักรยานของกรมตํารวจนครบาล คําถามที่พบบ่อยของกรมตํารวจนครบาล & รายชื่อการเข้าฟาวล์ที่ทางข้ามระดับกั้น
การกระทําที่เป็นอันตราย,ซูพีเรียร์,วิธีที่เหมาะสมที่สุดสําหรับจักรยานที่จะผ่านเมื่อมีจักรยานข้ามใกล้สี่แยกคืออะไร?,ตามวิธีการจราจรบนถนนไม่จําเป็นต้องใช้จักรยานข้าม,อนุญาตให้ข้ามทางม้าลายเท่านั้นไม่อนุญาตให้ข้ามจักรยาน,เมื่อถึงสี่แยกคุณต้องลงจากจักรยานแล้วเดิน,หากมีเลนทางม้าลายจักรยาน โดยไม่คํานึงถึงกฎระเบียบเกี่ยวกับวิธีการจราจรบนถนน ให้ทางม้าลายจักรยานต้องผ่านเลนนั้น,4,ตามมาตรา 63-7 ที่สี่แยกที่มีทีมจักรยานข้าม ทีมจะต้องดําเนินการข้ามนั้น,พระราชบัญญัติจราจรทางบก พระราชบัญญัติจราจรทางบก มาตรา 63-7
การกระทําที่เป็นอันตราย,ระดับเริ่มต้น,คําอธิบายที่ถูกต้องสําหรับการขับขี่แบบขนานบนจักรยานธรรมดาคืออะไร?,จักรยานธรรมดาสามารถขี่เคียงข้างกันได้สูงสุดสามคัน,ไม่อนุญาตให้ขี่จักรยานธรรมดาแบบขนานเลย,ตราบใดที่เป็นทางเท้าก็สามารถวิ่งขนานกันได้ทุกรุ่น,แม้ว่าจะได้รับอนุญาตจากป้ายจราจร แต่จักรยานธรรมดาเพียงสองคันเท่านั้นที่สามารถขี่เคียงข้างกันได้,4,ตามมาตรา 63-7 ที่สี่แยกที่มีทีมจักรยานข้าม ทีมจะต้องดําเนินการข้ามนั้น,กฎ 5 ข้อสําหรับการใช้จักรยานอย่างปลอดภัย | กรมตํารวจนครบาลโตเกียว พระราชบัญญัติจราจรทางบก มาตรา 19 และมาตรา 63-5
เบรค,ระดับเริ่มต้น,ข้อความใดต่อไปนี้เกี่ยวกับจักรยานที่มีเบรกไม่ดีถูกต้อง,ห้ามลงเขาเท่านั้น,ห้ามขี่จักรยานที่มีระบบเบรกชํารุด,หากคุณกําลังขี่บนทางเท้าก็ไม่สําคัญ,ตราบใดที่เบรกหนึ่งตัวทํางานก็ไม่เป็นไร,2,คุณต้องไม่ขี่จักรยานที่มีเบรกชํารุด เพราะมีอันตรายที่ไม่สามารถหยุดได้,เว็บไซต์พอร์ทัลจักรยานของกรมตํารวจนครบาล กรมตํารวจนครบาลกฎจราจรจักรยานการขับขี่จักรยานด้วยระบบเบรกผิดพลาด
กฎพื้นฐาน,ซูพีเรียร์,วิธีใดที่เหมาะสมที่สุดสําหรับทางจักรยานที่ทางแยกที่มีทัศนวิสัยไม่ดีและไม่มีการควบคุมการจราจร,หากมีทางเท้าก็สามารถเดินต่อไปได้โดยไม่ชะลอความเร็ว,ที่สี่แยกที่มีทัศนวิสัยไม่ดี ให้ค่อยๆ เดินไปและให้ความสนใจกับยานพาหนะและคนเดินเท้าที่ผ่านทางแยก,แม้ว่าทัศนวิสัยจะไม่ดี ตราบใดที่ยังเป็นถนนที่มีลําดับความสําคัญ ก็ไม่จําเป็นต้องใช้เป็นกฎ,จักรยานไม่จําเป็นต้องชะลอความเร็ว ซึ่งใช้ได้กับรถยนต์เท่านั้น,2,ตามมาตรา 36 และ 42 ของพระราชบัญญัติจราจรทางบก ที่สี่แยกที่มีทัศนวิสัยไม่ดีซึ่งไม่ได้ดําเนินการควบคุมการจราจร,กฎห้าข้อสําหรับการใช้จักรยานอย่างปลอดภัย | สํานักงานตํารวจแห่งชาติ พระราชบัญญัติจราจรทางบก มาตรา 36 และ 42
การกระทําที่เป็นอันตราย,ซูพีเรียร์,ข้อใดต่อไปนี้ที่เหมาะสมเกี่ยวกับการข้ามและเลี้ยวของยานพาหนะรวมถึงจักรยานภายใต้มาตรา 25-2 ของพระราชบัญญัติจราจรทางบก,หากมีความเสี่ยงที่จะรบกวนการจราจรปกติสําหรับคนเดินเท้าหรือยานพาหนะอื่นๆ ห้ามข้าม เลี้ยว หรือเปลี่ยน,การห้ามข้ามมีผลกับรถยนต์เท่านั้น,ยานพาหนะสามารถข้ามและเลี้ยวได้อย่างอิสระตราบเท่าที่พวกเขาคํานึงถึงการจราจรอื่น ๆ,หากไม่มีป้ายบอกทาง คุณสามารถข้ามหรือกลับรถได้ทุกที่,1,มาตรา 25-2 กําหนดว่าหากมีความเสี่ยงที่จะรบกวนการจราจรปกติสําหรับคนเดินเท้าหรือยานพาหนะอื่น ๆ ห้ามข้าม เลี้ยว หรือถอยหลัง,กฎห้าข้อสําหรับการใช้จักรยานอย่างปลอดภัย | สํานักงานตํารวจแห่งชาติ พระราชบัญญัติจราจรทางบกมาตรา 25-2
กฎพื้นฐาน,ระดับเริ่มต้น,แนวทางโดยรวมที่เหมาะสมที่สุดสําหรับความปลอดภัยของจักรยานคืออะไร?,คุณแค่ต้องยอมรับว่าคุณโชคร้าย,ไม่จําเป็นต้องมีใบอนุญาต ดังนั้นแม้ว่าคุณจะละเมิดใบอนุญาต แต่ความรับผิดก็เบา,ทําความเข้าใจกฎสําหรับยานพาหนะขนาดเล็กและใช้ด้วยความตระหนักถึงความรับผิดชอบและความเสี่ยงของยานพาหนะ,คุณสามารถรู้สึกแบบเดียวกับคนเดินถนน และคุณไม่จําเป็นต้องกังวลเกี่ยวกับกฎโดยละเอียด,3,จักรยานเป็นยานพาหนะขนาดเล็กมีหน้าที่และความรับผิดชอบทางกฎหมายมากมาย การทําความเข้าใจกฎและความตระหนักด้านความปลอดภัยเป็นข้อกําหนดเบื้องต้นสําหรับการป้องกันอุบัติเหตุ,ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก พระราชบัญญัติจราจรทางบกและกฎหมายเกี่ยวกับจักรยาน - Sowa
ทางแยกและทางข้าม,ซูพีเรียร์,ตําแหน่งที่ถูกต้องสําหรับจักรยานเมื่อเดินทางบนถนนคืออะไร?,เดินทางอย่างอิสระทางด้านขวาของถนน,ผ่านกลางถนน,หากมีทางเท้าจะไม่มีข้อจํากัดบนถนน,การจราจรทางด้านซ้ายของถนน,4,โดยทั่วไปจักรยานจะขับทางด้านซ้ายของถนน และการขี่สวนทางการจราจรเป็นอันตรายและอาจนําไปสู่อุบัติเหตุร้ายแรงได้ง่าย,เว็บไซต์พอร์ทัลจักรยานของสํานักงานตํารวจแห่งชาติ กฎจราจรจักรยานของสํานักงานตํารวจแห่งชาติ: ขี่ชิดซ้าย
การทํางานของร่ม,ซูพีเรียร์,วิธีใดที่เหมาะสมที่สุดในการจัดระเบียบการขับขี่ด้วยมือเดียว?,การขับขี่ด้วยมือเดียวไม่ได้ถูกห้ามตามกฎหมายเลย,ห้ามขับรถด้วยมือเดียวสําหรับเด็กเท่านั้น,การขับขี่ด้วยมือเดียวที่ไม่เสถียรอาจนําไปสู่การละเมิดภาระผูกพันในการขับขี่อย่างปลอดภัยและเงื่อนไขที่คล้ายคลึงกัน,การขับรถด้วยมือเดียวนั้นใช้ได้เสมอ เว้นแต่คุณจะใช้ร่ม,3,ไม่ จํากัด เฉพาะที่วางร่มการขับขี่ด้วยมือเดียวที่ไม่เสถียรอาจนําไปสู่การประเมินเช่นการละเมิดภาระผูกพันในการขับขี่อย่างปลอดภัยและเนื่องจากไม่เพียง แต่รูปลักษณ์เท่านั้น แต่ยังสามารถมองเห็นรูปแบบการขับขี่ได้จึงมีองค์ประกอบของการตัดสินส่วนบุคคล,เว็บไซต์พอร์ทัลจักรยานของสํานักงานตํารวจแห่งชาติ ข้อบังคับคณะกรรมการความปลอดภัยสาธารณะจังหวัด / มาตรา 70 ของพระราชบัญญัติจราจรทางบก - การขับขี่ด้วยมือเดียว
กฎพื้นฐาน,ระดับเริ่มต้น,ข้อใดต่อไปนี้เป็นภาระผูกพันที่เหมาะสมที่สุดสําหรับจักรยานธรรมดาเมื่อเดินทางบนทางเท้า,เมื่อใช้ทางเท้า ต้องเข็นจักรยานขณะเดินเสมอ,คุณอาจเดินทางด้วยความเร็วสูงใกล้กึ่งกลางทางเท้า,จักรยานมีความสําคัญเหนือคนเดินเท้า,ชะลอความเร็วจากกึ่งกลางทางเท้าไปทางถนน และหากกีดขวางทางเดินเท้า คุณต้องหยุดชั่วครู่,4,เมื่อใช้ทางเท้า จักรยานธรรมดาจะต้องชะลอความเร็วจากกึ่งกลางทางเท้าไปยังถนน (หากมีส่วนที่กําหนดไว้สําหรับจักรยานธรรมดา) และหากกีดขวางคนเดินเท้า จะต้องหยุดชั่วครู่,กฎห้าข้อสําหรับการใช้จักรยานอย่างปลอดภัย | สํานักงานตํารวจแห่งชาติ พระราชบัญญัติจราจรทางบก มาตรา 63-4 วรรค 2
การฝึกอบรมคนขับจักรยาน,ซูพีเรียร์,ข้อใดต่อไปนี้เป็นการรักษาที่ถูกต้องสําหรับการไม่ปฏิบัติตามคําแนะนําการฝึกอบรมผู้ขับขี่จักรยาน,คะแนนจะถูกเพิ่มตามใบอนุญาตของคุณ,ไม่มีบทลงโทษเป็นพิเศษ,"จบด้วยตั๋วสีน้ําเงิน 3,000 เยน","มีค่าปรับสูงสุด 50,000 เยน",4,"การไม่ปฏิบัติตามคําแนะนําการฝึกอบรมผู้ขับขี่จักรยานจะส่งผลให้ต้องเสียค่าปรับสูงถึง 50,000 เยน",เว็บไซต์พอร์ทัลจักรยานของสํานักงานตํารวจแห่งชาติ บทลงโทษสําหรับการเข้าร่วมระบบการฝึกอบรมผู้ขับขี่จักรยานที่จังหวัด
กฎพื้นฐาน,ซูพีเรียร์,ข้อใดต่อไปนี้เป็นแนวคิดพื้นฐานที่เหมาะสมที่สุดภายใต้พระราชบัญญัติจราจรทางบกสําหรับการใช้จักรยานบนทางเท้า,ไม่มีข้อบังคับเกี่ยวกับทางเดินทางเท้า,หากคุณรู้สึกว่าเป็นอันตราย จําเป็นต้องใช้ทางเท้าเสมอ,การจราจรทางเท้าเป็นหลักการ โดยมีข้อยกเว้นการจราจรบนท้องถนน,การเดินผ่านห้องน้ําชาเป็นกฎทั่วไป และอนุญาตให้เดินบนทางเท้าได้ก็ต่อเมื่อตรงตามเงื่อนไขต่างๆ เช่น ป้าย เครื่องหมาย หรือสําหรับเด็ก,4,เดิมทีจักรยานเป็นยานพาหนะขนาดเล็กและโดยทั่วไปมีไว้สําหรับเดินทางบนถนน และการใช้ทางเท้าจํากัดเฉพาะการจราจรที่ระบุด้วยสัญญาณไฟหรือเป็นไปตามข้อกําหนดเฉพาะ,ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก พระราชบัญญัติจราจรทางบก มาตรา 63-4
เกินความเร็ว,ซูพีเรียร์,ข้อความใดต่อไปนี้เกี่ยวกับความเร็วจักรยานที่ถูกต้อง,จักรยานไม่ถูกผูกมัดด้วยความเร็วของป้าย,การละเมิดความเร็วเป็นระบบสําหรับจักรยานยนต์เท่านั้น,แม้แต่ยานพาหนะขนาดเล็กก็ยังละเมิดความเร็ว,ไม่มีแนวคิดเรื่องการเร่งความเร็วบนจักรยาน,3,รายการการละเมิดยังรวมถึงประเภทการเร่งความเร็วสําหรับยานพาหนะขนาดเล็ก และจํานวนเงินค่าปรับจะระบุตามขีดจํากัดความเร็ว,เว็บไซต์พอร์ทัลจักรยานของสํานักงานตํารวจแห่งชาติ สํานักงานตํารวจแห่งชาติ รายชื่อการละเมิดความเร็ว
ข้อจํากัดในการขับขี่,ระดับเริ่มต้น,ข้อใดต่อไปนี้เป็นหลักการที่ถูกต้องเกี่ยวกับการขี่จักรยานเป็นสองส่วน,ได้รับการยอมรับเสมอ,อนุญาตให้ใช้บนทางเท้าเสมอ,ห้ามเฉพาะตอนกลางคืน,ห้ามโดยทั่วไป,4,ตามคําอธิบายกฎจราจรของกรมตํารวจนครบาล โดยทั่วไปห้ามขี่จักรยานสองคัน,กฎจราจรจักรยานของกรมตํารวจนครบาล ข้อจํากัดในการขี่: โดยทั่วไปห้ามขี่จักรยานกับคนสองคน
จักรยานยนต์ถีบ,ระดับเริ่มต้น,ข้อความใดต่อไปนี้เกี่ยวกับยานพาหนะที่มีแป้นเหยียบถูกต้อง,หากระบบมีคันเร่งหรือไม่เป็นไปตามมาตรฐานระบบช่วยไฟฟ้า อาจจัดเป็นจักรยานยนต์ ฯลฯ แทนที่จะเป็นจักรยาน,ยานพาหนะทุกคันที่มีแป้นเหยียบไม่จําเป็นต้องมีใบอนุญาต,หากมีแป้นเหยียบ ไม่จําเป็นต้องใช้ป้ายทะเบียน,ถ้ามีแป้นเหยียบก็เป็นจักรยานแน่นอน,1,กรมตํารวจนครบาลได้แจ้งว่าแม้ว่าจะมีแป้นเหยียบ แต่ผู้ที่มีคันเร่งหรือผู้ที่ไม่เป็นไปตามมาตรฐานระบบช่วยไฟฟ้าอาจจัดเป็นจักรยานหรือรถยนต์ที่ใช้เครื่องยนต์ ไม่ใช่จักรยาน,เว็บไซต์พอร์ทัลจักรยานของกรมตํารวจนครบาล กรมตํารวจนครบาลส่งเสริมการใช้จักรยานอย่างปลอดภัยพร้อมคันเหยียบ
การกระทําที่เป็นอันตราย,ซูพีเรียร์,ข้อใดต่อไปนี้สอดคล้องกับเจตนารมณ์ของมาตรา 54 ของพระราชบัญญัติจราจรทางบกเกี่ยวกับการใช้สัญญาณเตือนจักรยาน,คุณอาจฟังดูหลีกทางให้คนเดินถนนเสมอ,ข้อบังคับเกี่ยวกับการใช้อุปกรณ์เตือนภัยใช้กับรถยนต์เท่านั้น,เสียงจะดังขึ้นเมื่อกําหนดโดยป้ายในสถานที่ที่มีทัศนวิสัยซ้ายหรือขวาไม่ดี หรือเมื่อหลีกเลี่ยงไม่ได้เพื่อป้องกันอันตราย,ห้ามใช้เสียงเตือนภัยโดยเด็ดขาดในเขตเมือง,3,มาตรา 54 ของพระราชบัญญัติจราจรทางบกห้ามใช้สัญญาณเตือนด้วยเสียงเมื่อกําหนดไว้ใกล้ป้ายที่สี่แยกที่มีทัศนวิสัยไม่ดี หรือเมื่อหลีกเลี่ยงไม่ได้เพื่อป้องกันอันตราย และห้ามใช้งานอื่นๆ ที่ไม่จําเป็น,กฎห้าข้อสําหรับการใช้จักรยานอย่างปลอดภัย | สํานักงานตํารวจแห่งชาติ พระราชบัญญัติจราจรทางบก มาตรา 54
กฎพื้นฐาน,ซูพีเรียร์,กฎหมายใดที่ทําให้ยากต่อการเดินทางบนถนนอย่างปลอดภัยด้วยรถยนต์ธรรมดาถือเป็นความทุพพลภาพที่ระบุไว้ในภาคผนวกของกฎหมายใด,พระราชบัญญัติสวัสดิการสําหรับคนพิการทางร่างกาย,พระราชบัญญัติยานพาหนะขนส่งทางบก,เพื่อส่งเสริมการใช้จักรยาน,พระราชบัญญัติมาตรฐานแรงงาน,1,มาตรา 9-2-3 ใช้บังคับโดยอนุโลมกับความพิการที่ระบุไว้ในภาคผนวกของพระราชบัญญัติสวัสดิการคนพิการทางร่างกาย,ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก มาตรา 9-2-3
การกระทําที่เป็นอันตราย,ซูพีเรียร์,"เกี่ยวกับที่จอดรถจักรยาน สถานที่ใดบ้างที่ถือว่า ""ห้ามจอดรถหรือหยุด"" ภายใต้พระราชบัญญัติจราจรทางบก",กําหนดให้เป็นที่จอดรถจักรยาน,ศูนย์กลางของถนน,สถานที่ใดๆ บนทางเท้าที่ไม่อนุญาตให้ใช้จักรยาน,ทางม้าลายและส่วนต่างๆ ในระยะทางหนึ่งก่อนและหลัง,4,ห้ามจอดรถและหยุดรถใกล้ทางม้าลายและทางแยก และไม่อนุญาตให้จอดจักรยานเช่นเดียวกับยานพาหนะอื่นๆ ในบางพื้นที่,พระราชบัญญัติจราจรทางบก พระราชบัญญัติจราจรทางบก มาตรา 44 และ 45
การใช้หูฟัง,ระดับเริ่มต้น,การผสมผสานระหว่างประเภทการละเมิดและค่าปรับใดที่เหมาะสมที่สุดสําหรับการขับขี่เมื่อคุณไม่ได้ยินเสียงรอบข้างด้วยหูฟัง,"ไม่มีไฟ / 5,000 เยน","หลบสัญญาณไฟจราจร / 6,000 เยน","การละเมิดการปฏิบัติตามข้อกําหนดของคณะกรรมการความปลอดภัยสาธารณะ / 5,000 เยน","การใช้โทรศัพท์มือถือ ฯลฯ (ถือ) / 12,000 เยน",3,ข้อบังคับเกี่ยวกับหูฟังได้มาจากข้อบังคับของคณะกรรมการความปลอดภัยสาธารณะของจังหวัด และจัดเป็นการละเมิดรายการการปฏิบัติตามข้อกําหนดของคณะกรรมการความปลอดภัยสาธารณะในรายการการกระทําผิด เนื่องจากมีความแตกต่างในสถานะและถ้อยคําของกฎ จึงจําเป็นต้องมีการตรวจสอบเป็นรายบุคคลในทางปฏิบัติ,เว็บไซต์พอร์ทัลจักรยานของกรมตํารวจนครบาล กรมตํารวจนครบาล รายชื่อการละเมิดการฟาวล์โดยคณะกรรมการความปลอดภัยสาธารณะ
กฎพื้นฐาน,ซูพีเรียร์,วิธีใดที่เหมาะสมที่สุดสําหรับจักรยานที่จะข้ามทางแยกโดยไม่มีเลนจักรยานข้าม,การปั่นจักรยานบนทางม้าลายเป็นสิ่งจําเป็น,เมื่อถึงสี่แยกรถจะข้ามขณะขับตรงหรือเลี้ยวขวาตามวิธีการจราจรของยานพาหนะ,คุณสามารถข้ามแนวทแยงมุมจากที่ใดก็ได้,คุณต้องลงจากจักรยานและข้ามเป็นคนเดินเท้า,2,หากไม่มีโซนทางม้าลายจักรยานจะข้ามเป็นยานพาหนะตามหลักการจราจรทางแยก,ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก พระราชบัญญัติจราจรทางบกมาตรา 24-2 มาตรา 62-7
บทลงโทษและความรับผิดชอบ,ซูพีเรียร์,ข้อใดต่อไปนี้เป็นคําอธิบายที่เหมาะสมที่สุดเกี่ยวกับความรับผิดต่อความเสียหายจากอุบัติเหตุจักรยาน,แม้ในอุบัติเหตุจักรยาน อาจมีคําสั่งเรียกร้องค่าชดเชยจํานวนมากตามความรับผิดทางละเมิดภายใต้กฎหมายแพ่ง,ตัวแทนจําหน่ายจักรยานเป็นผู้รับผิดชอบ และผู้ขับขี่เองจะไม่รับผิดชอบ,อุบัติเหตุจักรยานทั้งหมดได้รับการคุ้มครองโดยประกันสุขภาพ ดังนั้นจึงไม่มีปัญหาการชดเชย,เนื่องจากจักรยานเป็นยานพาหนะขนาดเล็ก จึงไม่มีความรับผิดต่อความเสียหายแม้ว่าจะเกิดอุบัติเหตุการบาดเจ็บส่วนบุคคลก็ตาม,1,มีแบบอย่างมากมายที่สั่งให้เกิดความเสียหายสูงแม้ในอุบัติเหตุทางจักรยาน ตามมาตรา 709 แห่งประมวลกฎหมายแพ่งและบทบัญญัติอื่นๆ,
กฎพื้นฐาน,ระดับเริ่มต้น,เมื่อปั่นจักรยานข้ามทางม้าลาย คุณควรปฏิบัติตามสัญญาณไฟจราจรแบบใด,เฉพาะสัญญาณคนเดินเท้าเสมอ,หากมีสัญญาณคนเดินเท้าที่มีเครื่องหมาย 'คนเดินเท้าและจักรยานเท่านั้น' สัญญาณนั้น,เฉพาะสัญญาณรถเสมอ,สีใดสีหนึ่งก็ใช้ได้ตราบใดที่เป็นสีน้ําเงิน,2,หากมีสัญญาณคนเดินเท้าและจักรยานโดยเฉพาะ จักรยานจะต้องปฏิบัติตามป้ายเหล่านั้น,พระราชบัญญัติจราจรทางบก มาตรา 7 ภาระผูกพันในการปฏิบัติตามการแสดงสัญญาณไฟจราจร
กฎพื้นฐาน,ระดับเริ่มต้น,มาตรา 2 ของพระราชบัญญัติจราจรทางบกระบุว่าจักรยานอยู่ในหมวดหมู่ใด,คนเดินเท้า,ไม่มีการจําแนกประเภท,รถยนต์,ยานพาหนะขนาดเล็ก,4,"มาตรา 2 ของพระราชบัญญัติจราจรทางบกกําหนดจักรยานว่าเป็น ""ยานพาหนะขนาดเล็ก"" ดังนั้นกฎจราจรจึงใช้กับจักรยานเป็นยานพาหนะขนาดเล็ก",กฎ 5 ข้อสําหรับการใช้จักรยานอย่างปลอดภัย | กรมตํารวจนครบาลโตเกียว พระราชบัญญัติจราจรทางบก มาตรา 2
กฎพื้นฐาน,ซูพีเรียร์,วิธีการขับขี่จักรยานแบบใดที่สอดคล้องกับภาระผูกพันในการขับขี่อย่างปลอดภัยเมื่อเข้าสู่ถนนจากทางเท้ามากที่สุด,หากสัญญาณไฟจราจรของรถเป็นสีเขียว ไม่จําเป็นต้องตรวจสอบความปลอดภัย,แทนที่จะตรวจสอบการจราจรบนถนน ให้มีเพียงทางม้าลายเท่านั้น,เข้าถนนด้วยความเร็วเดียวกับบนทางเท้า,หยุดหรือชะลอความเร็วและตรวจสอบการเคลื่อนไหวของยานพาหนะและคนเดินเท้าอย่างละเอียดก่อนเข้า,4,เมื่อเข้าสู่เลน 4 เลน จําเป็นต้องมีการตรวจสอบความปลอดภัยอย่างละเอียดเพื่อหลีกเลี่ยงการสัมผัสกับยานพาหนะคันอื่นและคนเดินเท้า,พระราชบัญญัติจราจรทางบก พระราชบัญญัติจราจรทางบก มาตรา 112 และ 38
เกินความเร็ว,ซูพีเรียร์,เกี่ยวกับการเร่งความเร็วโดยยานพาหนะขนาดเล็ก ค่าปรับสําหรับการใช้ความเร็วต่ํากว่า 15 กม./ชม.,"5,000 เยน","6,000 เยน","7,000 เยน","10,000 เยน",2,"ตามรายการการละเมิดของสํานักงานตํารวจแห่งชาติ การขับรถเร็วด้วยยานพาหนะขนาดเล็กคือ 6,000 เยนสําหรับความเร็วต่ํากว่า 15 กม./ชม.",เว็บไซต์พอร์ทัลจักรยานของสํานักงานตํารวจแห่งชาติ สํานักงานตํารวจแห่งชาติ รายชื่อการละเมิดความเร็ว
