問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
42,ห้ามขี่จักรยานคู่ขนานตามมาตรา 19 และ 63-5 ของพระราชบัญญัติจราจรทางบก ยกเว้นในส่วนที่ได้รับอนุญาตโดยเฉพาะโดยป้ายจราจร,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,โดยหลักการแล้ว ห้ามนํายานพาหนะขนาดเล็กขนานกัน รวมถึงจักรยาน และได้รับอนุญาตเป็นพิเศษจากป้ายเท่านั้น ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบกมาตรา 19 และ 63-5: โดยทั่วไปห้ามเคลื่อนย้ายยานพาหนะขนาดเล็ก (จักรยาน) แบบขนาน โดยมีข้อยกเว้นเฉพาะเมื่อได้รับอนุญาตจากป้าย ฯลฯ
43,จํานวนทารกที่ได้รับอนุญาตให้ขี่จักรยานและโครงสร้างที่นั่งถูกจํากัดโดยมาตรา 63-4 ของพระราชบัญญัติจราจรทางบกและกฎโดยละเอียดของแต่ละจังหวัด ดังนั้นจึงไม่อนุญาตให้ขี่ได้ไม่จํากัด,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,จํานวนและการจัดที่นั่งสําหรับเด็ก ตลอดจนจํานวนทารกที่อนุญาตให้ผ่านได้นั้นถูกกําหนดโดยกฎหมายและระเบียบข้อบังคับ ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 63-4 ของพระราชบัญญัติจราจรทางบก: พื้นฐานทางกฎหมายสําหรับจํานวนคนที่ได้รับอนุญาตให้ขี่จักรยานและเบาะนั่งสําหรับเด็ก
44,เมื่อเดินทางบนถนนในเวลากลางคืน จักรยานต้องเปิดไฟหน้าและติดตั้งไฟท้ายหรืออุปกรณ์สะท้อนแสงที่สอดคล้องกับมาตรา 9-4 ของข้อบังคับการบังคับใช้,ระดับเริ่มต้น,กฎพื้นฐาน,〇,นี่เป็นภาระผูกพันเกี่ยวกับอุปกรณ์ให้แสงสว่างและสะท้อนแสงตามมาตรา 52 และมาตรา 63-9 วรรค 2 ของพระราชบัญญัติจราจรทางบก ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบก มาตรา 52 มาตรา 63-9 วรรค 2: บทบัญญัติบนพื้นฐานของภาระผูกพันในการให้แสงสว่างในเวลากลางคืนและภาระผูกพันในการติดตั้งอุปกรณ์สะท้อนแสงหรือไฟท้ายสําหรับจักรยาน
45,ภายใต้พระราชบัญญัติจราจรทางบก จักรยานถูกกําหนดให้เป็นยานพาหนะขนาดเล็ก,ระดับเริ่มต้น,กฎพื้นฐาน,〇,จักรยานจัดเป็นยานพาหนะขนาดเล็กตามมาตรา 2 วรรค 1 ข้อ 11 ของพระราชบัญญัติจราจรทางบก และอยู่ภายใต้ภาระผูกพันของยานพาหนะต่างๆ ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบก มาตรา 2 วรรค 1 ข้อ 11: จักรยานหมายถึงยานพาหนะขนาดเล็ก
46,โดยทั่วไปแล้วจักรยานจะต้องเคลื่อนไปทางขอบด้านซ้ายของถนน,ระดับเริ่มต้น,กฎพื้นฐาน,〇,ตามมาตรา 17 และ 63-3 ของพระราชบัญญัติจราจรทางบก จักรยานจะต้องเดินทางบนขอบด้านซ้ายของถนน ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบกมาตรา 17 และ 63-3: จักรยานซึ่งเป็นยานพาหนะขนาดเล็ก โดยหลักการแล้วต้องเดินทางทางด้านซ้ายสุดของถนน
47,แม้ว่าคุณจะขี่จักรยาน แต่การขับรถทางด้านขวาของถนน (ที่เรียกว่าการขับรถผิดทาง) ถือเป็นการละเมิดพระราชบัญญัติจราจรทางบก,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,จักรยานซึ่งเป็นยานพาหนะขนาดเล็กจะต้องขับทางด้านซ้ายเป็นยานพาหนะ และโดยทั่วไปไม่อนุญาตให้ขับทางด้านขวา ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 17 ของพระราชบัญญัติจราจรทางบกห้ามขี่จักรยานทางด้านขวาของถนน (ขับรถผิดทิศทาง)
48,เมื่อจักรยานวิ่งผ่านบนทางเท้า จะต้องเดินช้าๆ โดยให้ความสําคัญกับคนเดินเท้าและต้องไม่กีดขวางทางเดินเท้า,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,ตามมาตรา 63-4 ของพระราชบัญญัติจราจรทางบกจักรยานมีหน้าที่ต้องให้ความสําคัญกับคนเดินเท้าและชะลอความเร็วเมื่อเดินทางบนทางเท้า ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 63-4 ของพระราชบัญญัติจราจรทางบก: เมื่อเดินทางบนทางเท้า จักรยานจําเป็นต้องให้ความสําคัญกับคนเดินเท้าและขับช้าๆ
49,จักรยานยังถือเป็นยานพาหนะขนาดเล็กและต้องปฏิบัติตามสัญญาณไฟจราจร และการดําเนินการกับสัญญาณสีแดงถือเป็นการเพิกเฉยต่อสัญญาณและอาจมีบทลงโทษ,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,มาตรา 7 ของพระราชบัญญัติจราจรทางบกกําหนดให้ยานพาหนะทุกคันต้องปฏิบัติตาม และจักรยานก็ไม่มีข้อยกเว้น ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบก มาตรา 7 มาตรา 2 วรรค 1 ข้อ 11 ยานพาหนะขนาดเล็ก รวมทั้งจักรยานต้องปฏิบัติตามสัญญาณบนหมายเลขรถ
50,ที่สี่แยกที่มีป้ายหยุด จักรยานจะต้องหยุดสนิทด้วย,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,ภาระผูกพันในการหยุดรถภายใต้มาตรา 43 ของพระราชบัญญัติจราจรทางบกยังใช้กับจักรยานซึ่งเป็นยานพาหนะขนาดเล็ก ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบกมาตรา 43 และ 63-3: ภาระผูกพันในการหยุดที่สี่แยกที่มีป้ายหยุดยังขยายไปถึงจักรยานด้วย
51,การขี่ด้วยร่มหรือมือข้างเดียวอาจอยู่ภายใต้คําแนะนําและการบังคับใช้จักรยานเนื่องจากเป็นการละเมิดภาระผูกพันในการขับขี่อย่างปลอดภัย,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,สิ่งเหล่านี้ระบุไว้อย่างชัดเจนว่าเป็นรายการบังคับใช้โดยสํานักงานใหญ่การตรวจสอบแต่ละแห่ง และในกรณีที่เกิดอุบัติเหตุ ถือเป็นความประมาทเลินเล่ออย่างร้ายแรง ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 70 แห่งพระราชบัญญัติจราจรทางบก: การขับรถด้วยมือเดียวหรือใช้ร่มถือเป็นการละเมิดหน้าที่ในการขับขี่อย่างปลอดภัยและอยู่ภายใต้การบังคับใช้ในภูมิภาคต่างๆ
52,การขี่โดยไม่เปิดไฟหน้าจักรยานในเวลากลางคืนถือเป็นการละเมิดหน้าที่ในการส่องสว่างและอาจมีบทลงโทษ,ระดับเริ่มต้น,บทลงโทษและความรับผิดชอบ,〇,นี่เป็นการละเมิดหน้าที่ในการใช้ไฟตามมาตรา 52 ของพระราชบัญญัติจราจรทางบก และมีการบังคับใช้กฎหมายห้ามขับรถโดยไม่มีไฟในภูมิภาคต่างๆ ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบกมาตรา 52 และ 120: การขับรถโดยไม่มีไฟในเวลากลางคืนถือเป็นการละเมิดหน้าที่ของแสงและอาจมีบทลงโทษ
53,โดยทั่วไปห้ามขี่จักรยานสองคนภายใต้พระราชบัญญัติจราจรทางบก ยกเว้นข้อยกเว้น เช่น จักรยานที่ใช้สําหรับเด็กที่ขี่กับเด็ก,ระดับเริ่มต้น,การกระทําที่เป็นอันตราย,〇,จากมุมมองด้านความปลอดภัย ไม่อนุญาตให้มีที่นั่ง เว้นแต่เมื่อที่นั่งหรือโครงสร้างเหมาะสม ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,พระราชบัญญัติจราจรทางบกมาตรา 57 และ 63-4: โดยทั่วไปห้ามขี่จักรยานสองคน ยกเว้นข้อยกเว้น เช่น จักรยานที่อุ้มทารก
54,เลนจักรยานเป็นส่วนหนึ่งของถนนสําหรับจักรยานและยานพาหนะที่คล้ายคลึงกันที่ตรงตามมาตรฐาน และตามกฎทั่วไป ยานพาหนะไม่ได้รับอนุญาตให้ใช้,ซูพีเรียร์,กฎพื้นฐาน,〇,เส้นทางจักรยานเป็นส่วนหนึ่งของถนนที่กําหนดไว้สําหรับทางจักรยานและไม่อนุญาตให้ใช้ยานพาหนะหรือยานพาหนะที่คล้ายคลึงกัน พระราชบัญญัติจราจรทางบก,มาตรา 63-3 ของพระราชบัญญัติจราจรทางบก: ขอบเขตของยานพาหนะที่ได้รับอนุญาตให้ใช้เลนจักรยาน
55,จักรยานซึ่งเป็นยานพาหนะขนาดเล็กอาจต้องเลี้ยวขวาที่สี่แยกที่กําหนดโดยคณะกรรมการความปลอดภัยสาธารณะหรือข้อบังคับอื่น ๆ โดยใช้วิธีเลี้ยวขวาสองขั้นตอน,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,ตามมาตรา 34 ของพระราชบัญญัติจราจรทางบก ยานพาหนะขนาดเล็กอาจต้องเลี้ยวขวาสองขั้นตอนตามที่คณะกรรมการความปลอดภัยสาธารณะกําหนด พระราชบัญญัติจราจรทางบก 7A,พระราชบัญญัติจราจรทางบก มาตรา 34: ข้อบังคับเกี่ยวกับวิธีการเลี้ยวขวาสําหรับยานพาหนะขนาดเล็ก (เช่น การเลี้ยวขวาสองขั้นตอน)
56,จักรยานซึ่งเป็นยานพาหนะขนาดเล็กมีการจํากัดขนาดและน้ําหนักบรรทุกตามโครงสร้างของอุปกรณ์บรรทุกและมาตรฐานที่กําหนดโดยคณะกรรมการความปลอดภัยสาธารณะ,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,ตามมาตรา 57-2 วิธีการบรรทุกและขีดจํากัดสําหรับยานพาหนะขนาดเล็กต้องเป็นไปตามมาตรฐานที่กําหนดโดยคณะกรรมการความปลอดภัยสาธารณะ พระราชบัญญัติจราจรทางบก กรกฎาคม A-เดือน,มาตรา 57-2 ของพระราชบัญญัติจราจรทางบกกําหนดข้อจํากัดในการบรรทุกยานพาหนะขนาดเล็ก
57,คณะกรรมการความปลอดภัยสาธารณะอาจสั่งให้ผู้ที่ขี่จักรยานอันตรายซ้ําแล้วซ้ําเล่าให้เข้าร่วมหลักสูตรฝึกอบรมคนขับจักรยาน,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,ตามมาตรา 108-3 หากมีการกระทําที่เป็นอันตรายตามข้อบัญญัติของรัฐบาลซ้ําแล้วซ้ําเล่า อาจมีการออกคําสั่งให้เข้าร่วมการฝึกอบรมผู้ขับขี่จักรยาน พระราชบัญญัติจราจรทางบก 7,มาตรา 108-3 ของพระราชบัญญัติจราจรทางบก: บทบัญญัติเกี่ยวกับคําสั่งให้เข้าร่วมหลักสูตรฝึกอบรมผู้ขับขี่จักรยาน
58,โดยหลักการแล้วถนนที่มีป้ายบอกทาง 'สําหรับคนเดินเท้าเท่านั้น' ไม่ได้รับอนุญาตให้ผ่านขณะขี่จักรยาน,ซูพีเรียร์,กฎพื้นฐาน,〇,โดยหลักการแล้วถนนคนเดินเท้าสามารถเข้าถึงได้เฉพาะคนเดินเท้าเท่านั้น และจักรยานจะถือว่าเป็นคนเดินเท้าโดยการผลักผ่าน พระราชบัญญัติจราจรทางบก,มาตรา 8 และ 9 ของพระราชบัญญัติจราจรทางบก: บทบัญญัติเกี่ยวกับกฎจราจรบนถนนสําหรับคนเดินเท้าเท่านั้น
59,บนถนนที่มีข้อจํากัดด้านการจราจรทางเดียว เว้นแต่จะระบุไว้เป็นอย่างอื่นโดยป้ายหรือป้ายอื่นๆ จักรยานจะต้องเดินทางในทิศทางที่กําหนดด้วย,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,กฎจราจรทางเดียวยังใช้กับจักรยานซึ่งเป็นยานพาหนะขนาดเล็กและต้องปฏิบัติตามทิศทางของป้าย พระราชบัญญัติจราจรทางบก,มาตรา 8 และ 17 ของพระราชบัญญัติจราจรทางบก: ข้อบังคับเกี่ยวกับถนนทางเดียวและการจัดการเส้นทางการเดินทางด้วยจักรยาน
60,การจงใจจอดจักรยานกลางถนนเพื่อกีดขวางทางเดินของผู้อื่นเป็นการกระทําต้องห้ามตามพระราชบัญญัติจราจรทางบก,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,มาตรา 76 ห้ามการกระทําที่กีดขวางการจราจรบนถนน และการจงใจกีดขวางทางเดินถือเป็นการละเมิด พระราชบัญญัติจราจรทางบก,มาตรา 76 ของพระราชบัญญัติจราจรทางบกกําหนดการกระทําต้องห้ามบนถนน (การกีดขวางการจราจร)
61,การจงใจจอดจักรยานกลางถนนเพื่อกีดขวางทางเดินของผู้อื่นเป็นการกระทําต้องห้ามตามพระราชบัญญัติจราจรทางบก,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,มาตรา 76 ห้ามการกระทําที่กีดขวางการจราจรบนถนน และการจงใจกีดขวางทางเดินถือเป็นการละเมิด พระราชบัญญัติจราจรทางบก,มาตรา 76 ของพระราชบัญญัติจราจรทางบกกําหนดการกระทําต้องห้ามบนถนน (การกีดขวางการจราจร)
62,การขี่จักรยานขณะมึนเมาเป็นสิ่งต้องห้ามตามพระราชบัญญัติจราจรทางบก,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,ตามมาตรา 65 ห้ามขับรถขณะอยู่ภายใต้อิทธิพลของแอลกอฮอล์และอยู่ในสภาพที่อาจไม่สามารถขับขี่ได้ตามปกติ รวมถึงจักรยาน,มาตรา 76 แห่งพระราชบัญญัติจราจรทางบกกําหนดการกระทําต้องห้าม (การกีดขวางการจราจร) บนถนน
63,การขี่จักรยานขณะฟังเพลงในระดับเสียงสูงโดยไม่ได้ยินเสียงรอบข้างมีแนวโน้มสูงที่จะละเมิดข้อผูกพันในการขับขี่อย่างปลอดภัยและแนวทางปฏิบัติต้องห้ามของแต่ละจังหวัด,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,สถานะที่คุณไม่ได้ยินเสียงรอบข้างเป็นอุปสรรคต่อการคาดการณ์อันตรายอย่างมาก และอาจถูกบังคับใช้เนื่องจากเป็นการละเมิดภาระผูกพันในการขับขี่อย่างปลอดภัย พระราชบัญญัติจราจรทางบก 7,มาตรา 70 และ 71 ของพระราชบัญญัติจราจรทางบก: บทบัญญัติเกี่ยวกับภาระผูกพันในการขับขี่อย่างปลอดภัยและการกระทําต้องห้าม (เช่น หูฟัง) ตามที่กําหนดโดยคณะกรรมการความปลอดภัยสาธารณะ
64,เนื่องจากความเร็วที่สูงขึ้นหมายถึงระยะการหยุดที่ยาวขึ้น จึงจําเป็นต้องปรับความเร็วตามสถานการณ์จากมุมมองของภาระผูกพันในการขับขี่อย่างปลอดภัย,ซูพีเรียร์,กฎพื้นฐาน,〇,เนื่องจากระยะหยุดเพิ่มขึ้นตามความเร็ว จึงจําเป็นต้องเลือกความเร็วที่เหมาะสมตามทัศนวิสัยและสภาพถนน พระราชบัญญัติจราจรทางบก 7,มาตรา 70 ของพระราชบัญญัติจราจรทางบก: ภาระผูกพันเกี่ยวกับการเลือกความเร็วที่ปลอดภัยตามระยะหยุด ฯลฯ
65,แม้ว่าพื้นผิวถนนจะลื่นเนื่องจากน้ําแข็ง หิมะ หรือกรวด แต่การขับขี่ตามปกติก็ใช้ได้หากความเร็วต่ํากว่าขีดจํากัด,ซูพีเรียร์,การกระทําที่เป็นอันตราย,✕,การขับขี่โดยไม่ปรับความเร็วหรือเส้นทางตามสภาพถนนอาจละเมิดข้อผูกพันในการขับขี่อย่างปลอดภัย พระราชบัญญัติจราจรทางบก,มาตรา 70 ของพระราชบัญญัติจราจรทางบก: ภาระผูกพันในการปรับวิธีการขับขี่ตามสภาพพื้นผิวถนน (น้ําแข็ง กรวด โคลน ฯลฯ)
66,มาตรฐานประสิทธิภาพการเบรกของจักรยานยังระบุค่าตัวเลขสําหรับระยะการหยุดบนพื้นผิวเปียกโดยเฉพาะ,ซูพีเรียร์,การกระทําที่เป็นอันตราย,✕,"ข้อบังคับการบังคับใช้ระบุเงื่อนไขสําหรับ ""พื้นผิวปูที่แห้งและเรียบ"" และไม่ได้ระบุระยะหยุดเฉพาะสําหรับพื้นผิวเปียก ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก 7A",ความเข้าใจเกี่ยวกับสภาพพื้นผิวถนนที่มาตรฐานประสิทธิภาพการเบรกใช้มาตรา 9-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก
67,สําหรับจักรยานไฟฟ้าไม่มีขีดจํากัดสูงสุดเกี่ยวกับอัตราส่วนของแรงช่วยเหลือต่อกําลังของมนุษย์ที่ความเร็วต่ํา (ต่ํากว่า 10 กม./ชม.),ซูพีเรียร์,กฎพื้นฐาน,✕,มาตรา 1-3 กําหนดขีดจํากัดสูงสุดสําหรับอัตราส่วนของกําลังเสริมต่อกําลังมนุษย์สําหรับแต่ละคลาสความเร็วโดยเฉพาะ และมีข้อจํากัดแม้ในช่วงความเร็วต่ํา ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 1-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: ขีดจํากัดสูงสุดสําหรับอัตราส่วนการช่วยเหลือในช่วงความเร็วต่ําที่ต่ํากว่า 10 กม./ชม.
68,ฟังก์ชั่นเสริมของจักรยานไฟฟ้าช่วยให้ทํางานได้อย่างราบรื่นและรับประกันการขับขี่ที่ปลอดภัยตลอดการเคลื่อนไหว,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,ข้อ 1-3 ข้อ 2 ระบุข้อกําหนดอย่างชัดเจนสําหรับความราบรื่นและความปลอดภัยของฟังก์ชันเสริม ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 1-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: มาตรฐานสําหรับความราบรื่นและความปลอดภัยของฟังก์ชันเสริม
69,ขนาดตัวถังของยานพาหนะขนาดเล็กที่ใช้ยานยนต์ต้องยาวไม่เกิน 4 เมตร กว้าง 2 เมตร สูง 3 เมตร,ซูพีเรียร์,กฎพื้นฐาน,〇,ตามมาตรา 1-2-3 ข้อ 1 มาตรฐานคือความยาวต้องไม่เกิน 4 เมตร กว้าง 2 เมตร และสูง 3 เมตร ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 1-2-3 ของระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก: ขีดจํากัดสูงสุดของขนาดตัวถังของยานพาหนะขนาดเล็กที่ใช้เครื่องยนต์
70,ในรถยนต์ขนาดเล็กที่ใช้มอเตอร์ เครื่องยนต์อาจทํางานต่อไปแม้ว่าผู้ขับขี่จะออกจากรถก็ตาม,ซูพีเรียร์,การกระทําที่เป็นอันตราย,✕,มาตรา (ha) กําหนดให้เครื่องยนต์ดับเมื่อผู้ขับขี่ออกจากรถ ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 1-2-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: ข้อกําหนดสําหรับการดับเครื่องยนต์เมื่อปลดเครื่องยนต์ในยานพาหนะขนาดเล็กโดยใช้มอเตอร์
71,สําหรับจักรยานที่มีสี่ล้อขึ้นไปซึ่งถือว่าเป็นคนเดินเท้าที่เหยียบแป้นเหยียบมาตรฐานคือความยาวต้องไม่เกิน 190 ซม. และกว้าง 60 ซม.,ซูพีเรียร์,กฎพื้นฐาน,〇,มาตรา 1-8 กําหนดว่าจักรยานที่มีสี่ล้อขึ้นไปต้องมีความยาวไม่เกิน 190 ซม. และกว้าง 60 ซม. ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 1-8 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: ขนาดของยานพาหนะที่ถือว่าเป็นคนเดินเท้า (จักรยานที่มีสี่ล้อขึ้นไป ฯลฯ)
72,ขนาดตัวถังของยานพาหนะเคลื่อนที่ขนาดเล็กต้องมีความยาวไม่เกิน 120 ซม. กว้าง 70 ซม. และสูง 120 ซม. (ไม่รวมพยุงศีรษะ),ซูพีเรียร์,กฎพื้นฐาน,〇,มาตรา 1-4 รายการที่ 1 กําหนดว่าขีดจํากัดบนของมิติเหล่านี้คือขีดจํากัดบน ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 1-4 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: ขีดจํากัดสูงสุดสําหรับขนาดของยานพาหนะขนาดเล็กเพื่อการเคลื่อนย้าย (ที่เรียกว่ารถเข็นไฟฟ้า ฯลฯ)
73,ขนาดตัวถังของยานพาหนะสําหรับผู้พิการทางร่างกายที่ใช้มอเตอร์ต้องยาวไม่เกิน 120 ซม. กว้าง 70 ซม. และสูง 120 ซม. (ไม่รวมพยุงศีรษะ),ซูพีเรียร์,กฎพื้นฐาน,〇,มาตรา 1-5 รายการที่ 1 กําหนดว่าขีดจํากัดบนถูกกําหนดไว้ที่ขนาดเดียวกับสําหรับยานพาหนะเคลื่อนที่ขนาดเล็ก ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 1-5 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: ขีดจํากัดสูงสุดของขนาดยานพาหนะสําหรับผู้พิการทางร่างกายที่ใช้เครื่องยนต์
74,ยานพาหนะสําหรับผู้พิการทางร่างกายที่ใช้ยานยนต์ต้องแยกแยะความแตกต่างจากรถยนต์หรือรถจักรยานยนต์ได้อย่างชัดเจนจากรูปลักษณ์,ซูพีเรียร์,กฎพื้นฐาน,〇,ข้อ 1-5 ข้อ 2 กําหนดว่าต้องแยกแยะได้อย่างชัดเจนจากยานยนต์หรือจักรยานยนต์ตามลักษณะที่ปรากฏ ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก,มาตรา 1-5 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: ยานพาหนะสําหรับผู้พิการทางร่างกายที่ใช้เครื่องยนต์ต้องแตกต่างจากรถยนต์ตามรูปลักษณ์
75,มาตรฐานสําหรับหมวกกันน็อคสําหรับขี่ม้า ได้แก่ มุมมองที่ชัดเจน การดูดซับแรงกระแทก การรัดสายรัดคาง และน้ําหนักต่ํากว่า 2 กก.,ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,ข้อ 9-5 ระบุข้อกําหนดสําหรับขอบเขตการมองเห็น การได้ยิน การดูดซับแรงกระแทก ความต้านทานการเจาะ สายรัดคาง และน้ําหนักไม่เกิน 2 กก. มุมมองเดียวกันนี้มีความสําคัญสําหรับหมวกกันน็อคจักรยาน ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 9-5 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: มาตรฐานบางประการสําหรับการสวมหมวกกันน็อค (มุมมอง การตรึง น้ําหนัก ฯลฯ) นี่เป็นแนวคิดที่เกี่ยวข้องกับการเลือกหมวกกันน็อคจักรยาน
76,"ยานพาหนะที่สามารถวิ่งได้อย่างอิสระโดยใช้เครื่องยนต์เพียงอย่างเดียวโดยไม่ต้องเหยียบจะจัดอยู่ในหมวดหมู่ของ ""จักรยานพร้อมระบบช่วยขับเคลื่อน"" ตามที่กําหนดไว้ในมาตรา 1-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก",ซูพีเรียร์,กฎพื้นฐาน,✕,มาตรา 1-3 จินตนาการถึงมอเตอร์ (มอเตอร์ไฟฟ้า) เพื่อเสริมแรงเหยียบของผู้ใช้ และมอเตอร์ที่สามารถวิ่งได้ด้วยมอเตอร์เพียงอย่างเดียวจะไม่ถือว่าเป็นจักรยาน แต่เป็นจักรยานที่ใช้เครื่องยนต์ ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 1-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบกกําหนดมาตรฐานสําหรับมอเตอร์ที่ใช้เครื่องยนต์ที่จะถือว่าเป็นจักรยานไฟฟ้าช่วย (เช่น การเป็นมอเตอร์ไฟฟ้าและการรับรองการขับขี่อย่างปลอดภัย เป็นต้น)
78,สําหรับจักรยานไฟฟ้าระบบช่วยระบบจะตั้งไว้ที่ 1 จุดสําหรับกําลังแบบแมนนวลและระบบช่วยมอเตอร์ 2 หน่วยสําหรับความเร็วต่ํากว่า 10 กม./ชม.,ซูพีเรียร์,กฎพื้นฐาน,〇,ตามมาตรา 1-3 ขีดจํากัดสูงสุดสําหรับอัตราส่วนการช่วยเหลือที่ความเร็วต่ํา (ต่ํากว่า 10 กม./ชม.) คือ 1:2 และการเกินขีดจํากัดนี้จะถูกลบออกจากมาตรฐานทางกฎหมายสําหรับจักรยาน ระเบียบบังคับพระราชบัญญัติจราจรทางบก,มาตรา 1-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบกกําหนดความสัมพันธ์ระหว่างอัตราส่วนการช่วยเหลือ (อัตราส่วนของกําลังมนุษย์ต่อกําลังของมอเตอร์) และความเร็วในจักรยานไฟฟ้า
79,"จักรยานไฟฟ้าที่มีโครงสร้างที่ช่วยให้ปรับอัตราส่วนการช่วยเหลือและการควบคุมความเร็วได้ง่ายอาจไม่อยู่ภายใต้ ""โครงสร้างที่ปรับเปลี่ยนได้ยาก"" ตามที่กําหนดไว้ในมาตรา 1-3",ซูพีเรียร์,การกระทําที่เป็นอันตราย,〇,"โครงสร้างที่ช่วยให้สามารถดัดแปลงได้ง่ายซึ่งเบี่ยงเบนไปจากมาตรฐานไม่เป็นไปตามข้อกําหนดสําหรับ ""จักรยานพร้อมระบบช่วยขับขี่"" ตามที่กฎหมายกําหนด และอาจจัดอยู่ในหมวดหมู่ของจักรยานยนต์และยานพาหนะที่คล้ายคลึงกัน ระเบียบการบังคับใช้พระราชบัญญัติจราจรทางบก",มาตรา 1-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบก: มอเตอร์แบบใช้เครื่องยนต์ของจักรยานไฟฟ้าต้องมีโครงสร้างที่ไม่สามารถดัดแปลงได้ง่ายเพื่อเบี่ยงเบนไปจากมาตรฐาน
80,เกี่ยวกับระบบเบรกจักรยาน เนื่องจากมาตรา 9-3 ของข้อบังคับการบังคับใช้กําหนดมาตรฐานประสิทธิภาพสําหรับระยะเบรกและปัจจัยอื่นๆ จึงไม่ใช่แค่การเบรกเท่านั้น,ซูพีเรียร์,กฎพื้นฐาน,〇,บทความนี้กําหนดมาตรฐานเฉพาะสําหรับประสิทธิภาพการเบรก และการแซงรถที่ไม่เป็นไปตามมาตรฐานเหล่านี้อาจเป็นการละเมิดกฎหมาย ระเบียบบังคับใช้พระราชบัญญัติจราจรทางบก 7,มาตรา 9-3 ของข้อบังคับการบังคับใช้พระราชบัญญัติจราจรทางบกกําหนดมาตรฐานเฉพาะสําหรับประสิทธิภาพของระบบเบรกจักรยาน (เช่น ระยะเบรก)
