カテゴリ,難易度,問題文,選択肢１,選択肢２,選択肢３,選択肢４,正解番号,解説,関連交通ルール
青切符制度,上級,自転車の青切符で反則金を納付しなかった場合の説明として正しいものはどれでしょうか,免許点数だけが加算される,必ず即日で逮捕される,自動的に無効になる,通告センターでの手続きを経て、なお納付しなければ刑事手続へ移行し得る,4,仮納付しない場合は通告センターでの手続があり、さらに納付しなければ刑事手続へ移行する可能性がある,"警察庁　自転車ポータルサイト
警察庁　自転車ポータルサイト　未納付時の手続"
基本ルール,上級,「自転車および歩行者専用」の標識がある自転車歩行者同での自転車の通行方法として、最も適切なものはどれでしょうか？,歩行者より自転車が優先されるため、速度制限なく、通行してよい,道路交通法上の規則はなく、自由に通行できる,常に自転車から降りて押して歩かなければならない,歩行者の通行を妨げないような速度と方法で通行する,4,自転車歩行道路では、自転車も通行できますが、歩行者の通行を妨げない速度と方法で運転する必要があります。,"道路交通法
道路交通法　第2条・第63条の4"
危険行為,上級,道路交通法第65条における自転車の飲酒運転について正しい説明はどれでしょうか,酒気を帯びて車両等（自転車を含む）を運転することは禁止されている,酒類提供者のみが処罰対象であり、運転者は処罰されない,酒気を帯びていても、ふらつかなければ問題ない,自転車は車両ではないため、飲酒運転の規制は受けない,1,道路交通法第65条では、酒気を帯びて車両等を運転することを禁止しており、自転車もその対象に含まれる,"自転車安全利用五則｜警察庁
道路交通法　第65条"
基本ルール,上級,自転車及び歩行者専用の標識がある自転車歩行者道での自転車の通行方法として、最も適切なものはどれでしょうか,常に自転車から降りて押して歩かなければならない,道路交通法上の規制はなく、自由に通行できる,歩行者より自転車が優先されるため、速度制限なく通行してよい,歩行者の通行を妨げないような速度と方法で通行する,4,自転車歩行者道では、自転車も通行できるが、歩行者の通行を妨げない速度と方法で運転する必要がある,"道路交通法
道路交通法　第2条・第63条の4"
側方通過,上級,側方通過ルールに関する「1m程度」「20~30km/h程度」の扱いとして正しいものはどれでしょうか,自転車側だけに適用される基準,高速道路専用の基準,法律に固定地として明記された絶対基準,あくまで目安であり、具体的状況に応じて判断される,4,警察庁資料では、1m程度や20~30km/h程度はあくまで目安であり、道路状況や交通状況などに応じて判断されるとされている,"警察庁　自転車ポータルサイト
警察庁　側方通過説明資料　通行方法の目安"
危険行為,上級,道路交通法第63条の9および施行規則第9条の3に基づき、自転車の制動装置に関する基準として適切なものはどれでしょうか,競技用自転車であれば行動でもブレーキは不要である,前輪か後輪のどちらか一歩を制動できればよい,前輪および後輪の双方を制動でき、一定の距離内で円滑に停止できる性能が必要である,足で地面をこすって止まれるならブレーキは不要である,3,自転車には、前輪および後輪を制動できる装置が携わっており、定められた距離内で円滑に停止できる性能が必要とされている,"自転車安全利用五則｜警察庁
道路交通法　第63条の9・施行規則第9条の3"
ヘルメット,初級,自転車ヘルメットの法的位置づけとして正しいものはどれでしょうか？,着用義務であり、未使用は青切符の対象,任意であり、法律上は一切触れられていない,努力義務であり、未使用それ自体を理由とする反則金類型はない,未着用で免許停止になる,3,自転車ヘルメットは努力義務です。未着用それ自体を理由とする反則金類型は、反則行為一覧にはありません。,"警視庁　自転車ポータルサイト
道路交通法　第63条の11"
特定小型原付,初級,特定小型言動付自転車の年齢制限として正しいものはどれでしょうか？,15歳以上,13歳以上,年齢制限はない,16歳未満は禁止,4,特定小型原動機付自転車は、免許不要ですが、16歳未満の運転は禁止されています。,"警視庁　自転車ポータルサイト
警視庁　特定小型原動機付自転車の交通ルール年齢制限"
基本ルール,上級,次のうち、施行規則上の普通自転車の基準をすべて満たしている可能性が最も高いものはどれか,長さ180㎝・幅65㎝・二輪・側車なし・運転者席と幼児用座席のみ,長さ185㎝・幅55㎝・二輪・側車なし・運転者席と幼児用座席のみ・前後ブレーキあり,長さ195㎝・幅55㎝・三輪・側車なし・乗車装置は運転者席と後部ベンチシート,長さ185㎝・幅55㎝・五輪・側車なし・運転者席のみ,2,2番のみが長さ・幅・車輪数（四輪以下）、乗車装置（幼児用座席以外なし）、制動装置などの条件を自然に満たしている,"道路交通法施行規則
道路交通法施行規則　第9条の2の2"
罰則・責任,初級,児童又は幼児が自転車に乗車する場合のヘルメット着用について、保護者の責任として最も適切な説明はどれか。,保護者ではなく学校が責任を負う,保護者は、児童等に乗車ヘルメットを着用させるよう努める義務がある,保護者は、必ずヘルメットを着用させなければならず、違反すると直ちに刑罰を受ける,着用させるかどうかは完全に自由で、法律上の位置づけはない,2,道路交通法第63条の11により、保護者の「努める義務」として位置づけられている。,"道路交通法施行規則
道路交通法　第63条の11"
ヘルメット規制の違い,上級,ヘルメット規制について、最も適切な説明はどれでしょうか,自転車はヘルメット完全義務、特定小型原付は不要である,見た目が自転車に近い乗り物は、すべて同じヘルメット規制である,自転車、特定小型原付、一般原付では法的区分が異なり、ヘルメット規制も同一ではない,原付でもペダルがあればヘルメットは不要である,3,自転車、特定小型原動機付自転車、一般原付では法的区分が異なり、見た目が似ていても、ヘルメット規制を一律に考えるのは誤り,"警察庁　自転車ポータルサイト
警察庁資料　自転車と特定小型原付の違い"
取締方針,上級,「単に歩道通行をしただけ」というケースについて、警察庁FAQに沿う説明はどれでしょうか,原則として指導警告の対象とされる,違反に当たらない,必ず赤切符になる,原則として即青切符である,1,警察庁FAQでは、単に歩道通行をしただけの場合は原則として指導警告の対象とされている,"警察庁　自転車ポータルサイト
自転車ポータルサイト　FAQ　指導警告の例"
危険行為,初級,道路標識等で普通自転車の並進が許可されている道路において、並進できる台数として正しいのはどれでしょうか？,2台まで,制限なし,3台まで,1台のみ,1,第63条の5により、標識等で並進が認められる場合でも、普通自転車が並進できるのは2台までとされています。,"道路交通法　第63条の5
普通自転車の並進が許可される場合の特例"
駐停車,上級,自転車の駐停車に関する説明として正しいものはどれでしょうか,自転車なら横断歩道付近にも自由に駐車できる,自転車を含む軽車両にも、駐停車違反や放置駐車違反の類型がある,歩道上なら常に駐車自由である,自転車には駐停車違反の考え方はない,2,警察庁の反則行為一覧には、軽車両についても駐停車違反や放置駐車違反の類型が示されている,"警察庁　自転車ポータルサイト
警察庁　反則行為一覧　放置駐車違反・駐停車違反"
危険行為,上級,複数人で自転車走行する際の道路交通法上の考え方として、適切なものはどれでしょうか,グループであれば交通規制の適用対象外となる,標識がなくても、任意の台数で並進してよい,原則として並進禁止であり、標識により許可されている場合でも2台までに限られる,自動車だけが並進禁止の対象である,3,自転車の並進は原則禁止であり、標識等で特別に許可される場合でも2台までとされている,"道路交通法
道路交通法　第19条・第63条の5"
基本ルール,上級,自転車が道路を横断しようとする際、自転車横断帯がある場所付近における通行方法として、正しいものはどれでしょうか,自転車横断帯がある場所の付近では、その自転車横断帯によって道路を横断しなければならない,歩行者用横断歩道の上を自転車に乗ったまま横断しなければならない,自転車横断帯があっても、任意の場所で横断してよい,横断時は必ず自転車から降りて押して歩かなければならない,1,道路交通法第63条の6により、自転車は道路を横断する際、自転車横断帯がある場所の付近では、その自転車横断帯によって横断しなければならない,"自転車安全利用五則｜警察庁
道路交通法　第63条の6"
傘さし運転,上級,傘さし運転の扱いとして最も適切なものはどれでしょうか,全国一律で明文上常に適法,多くの地域で公安委員会規則違反等になり得るため、原則避けるべきである,片手運転でも安全運転義務とは無関係である,雨の日は自動的に適法になる,2,傘さし運転は多くの地域で公安委員会規則違反となり得るほか、安全運転義務違反として評価される可能性もあり、地域差があるため、クイズでは「原則避けるべき」という整理が安全である,"警察庁　自転車ポータルサイト
都道府県公安委員会規則・道路交通法第70条　傘さし運転"
危険行為,上級,道路交通法第26条の2における自転車の進路変更について、適切な記述はどれでしょうか,後方の車両の速度や方向にも影響がなければ、急な進路変更も許される,自転車には進路変更に関する規定は適用されない,後方の車両等に急な速度・方向変更をさせる恐れがある場合は進路変更してはならない,進路変更はいつでも自由に行ってよい,3,道路交通法第26条の2では、車両はみだりに進路を変更してはならず、後方車両に急な速度・方向変更をさせる恐れがある場合は進路変更を禁止しており、自転車にも適用される,"自転車安全利用五則｜警察庁
道路交通法　第26条の2"
基本ルール,上級,車両通行帯が設けられた道路において、自転車が通行すべき位置として最も適切なものはどれでしょうか,最も右側の車両通行帯を通行する,車両通行帯の区別なく、空いている車線を自由に選べる,左側の車両通行帯を通行し、その通行帯の左側部分を通行する,歩道と車道を自由に行き来してよい,3,車両通行帯がある場合も、自転車は左側の車両通行帯を通行し、その通行帯の左側部分を通行するのが原則である,"道路交通法
道路交通法　第20条"
特定小型原付,上級,特定小型原動機付自転車についても正しいものはどれでしょうか,ナンバープレートや自賠責保険加入が必要,歩道走行専用で保険は不要,自転車と同じでナンバープレート不要,16歳未満でもナンバーがあれば運転できる,1,特定小型原動機付自転車は、自転車ではなく原付の一種であり、ナンバープレートの装着や自賠責保険加入が必要である,"警察庁　自転車ポータルサイト
警察庁　特定小型原動機付自転車の交通ルール　ナンバープレート等"
基本ルール,上級,自転車の進路変更や右左折に関する合図の考え方として、道路交通法第53条の趣旨に副うものはどれでしょうか,周囲の交通に影響がある場合、あらかじめ合図を行い、十分な余裕をもって進路変更・右左折を行う,歩道上では合図を行ってはならない,自転車には合図義務はない,速度を上げて一気に曲がれば合図は不要,1,合図は車両等の進路変更や右左折時に、他の交通に危険を及ぼさないための重要なコミュニケーション手段である,"道路交通法
道路交通法　第53条"
飲酒運転,上級,資料で説明される酒気帯びの基準として正しいものはどれでしょうか,呼気0.05㎎/Lまたは血中0.1㎎/ml,呼気0.15㎎/Lまたは血中0.3㎎/ml,呼気0.3㎎/Lまたは血中0.15㎎/ml,明確な数値基準はない,2,資料では、酒気帯びの基準として呼気0.15mg/Lまたは血中0.3mg/mlが示されている,"警察庁　自転車ポータルサイト
自転車ルールブック　酒気帯びの基準"
危険行為,上級,幼児を自転車に同乗させる場合の取り扱いとして、道路交通法および関連基準の趣旨に最も沿うものはどれでしょうか,法律上、幼児の道場については制限はない,荷台に立たせても短距離なら問題ない,大人が抱っこすればどのような自転車でも同乗させてよい,幼児用座席が自転車に備えられている場合など、基準を満たす方法で同乗させる,4,幼児同乗自転車や幼児用座席など、基準に適合した装置を用いることが安全確保の大前提である,"道路交通法
道路交通法　第57条・第63条の11"
危険行為,上級,聴覚障害の基準として定められている内容に最も近いものはどれか,5mの距離で60dbの音が聞こえること,10mの距離で90dbの警音器の音が聞こえること,20mの距離で40dbの音が聞こえること,距離や音の大きさの具体的な基準はない,2,第9条の7の2で、10mの距離で90dbの警音器の音が聞こえることが聴覚障害の基準として定められている,"道路交通法施行規則
道路交通法施行規則　第9条の7の2"
基本ルール,上級,歩行者・自転車専用信号機と自転車横断帯が設けられている交差点において、自転車が横断に際し従うべき信号として正しいものはどれでしょうか,歩行者・自転車専用信号機,車両用信号のみ,特に決まりはない,歩行者用信号のみ,1,道路交通法第7条および施行令第2条に寄り、道外信号機の表示に従う必要がある,"道路交通法施行規則
道路交通法　第7条、道路交通法施行規則第2条"
基本ルール,上級,自転車が歩道を通行する場合の通行位置として、道路交通法上最も適切なものはどれか,建築靴側の端付近,歩道中央部,車道寄りの部分,特に定めはない,3,歩道通行時は、歩行者の安全を図るため、原則として車道寄りの部分を通行するよう定められている,"道路交通法施行規則
道路交通法　第63条の4"
通行禁止,上級,自転車通行止めなどの規制がある道路に侵入した場合の扱いとして正しいものはどれでしょうか,自転車は対象外である,通行禁止違反となり得る,標識より自己判断が優先される,歩道を使えば無条件で進入できる,2,自転車が規制対象となっている通行禁止に違反すれば、通行禁止違反となり得る,"警察庁　自転車ポータルサイト
自転車ポータルサイト　取締りについて　通行禁止違反"
基本ルール,初級,横断歩道付近における自転車の義務として、同六通報第38条の趣旨に最も沿うものはどれでしょうか？,歩行者がいても速度を落とすだけでよい,歩行者よりも車両優先で進行してよい,自転車には横断歩道における特別な義務はない,歩行者が横断しようとしているときは、その通行を妨げないように一時停止等の措置をとる,4,第38条は横断歩道における歩行者優先を定めており、自転車も歩行者の通行を妨げてはなりません。,"道路交通法
道路交通法第38条"
罰則・責任,上級,自転車運転者講習制度について、最も適切な説明はどれか,一定の危険行為を繰り返した場合、自転車運転者講習を受けるよう命じられることがある,自転車には講習制度はなく、どれだけ違反しても講習を受けることはない,講習は希望性で、違反とは関係ない,講習を受けなければ自転車免許が一律取り消しになる,1,道路交通法第108条の3の4に基づき、指定された危険行為を繰り返すと講習命令の対象となる,"道路交通法施行規則
道路交通法　第108条の3の4"
イヤホン使用,上級,骨伝導・オープンイヤー型イヤホンの扱いとして、最も適切な説明はどれでしょうか,骨伝導・オープンイヤーは常に違反,骨伝導なら常に適法,オープンイヤーなら常に適法,性能や音量、周囲音の聞こえ方を踏まえた個別判断となる,4,警察庁通達では、骨伝導・オープンイヤー型についても外形だけで一律判断せず、性能や音量などを踏まえて個別に判断する考え方が示されており、グレー要素である,"警察庁　自転車ポータルサイト
警察庁通達　骨伝導・オープンイヤー型の扱い"
灯火・ライト,初級,夜間の自転車走行に関する説明として正しいものはどれでしょうか？,夜間はライトを点灯しなければならない,街灯があれば無灯火でもよい,反射材があればライトは不要,歩道走行中はライト不要,1,夜間はライトを点灯しなければなりません。街灯の有無や歩道通行かどうかは関係ありません。,"警視庁　自転車ポータルサイト
警視庁　自転車の交通ルール　夜間はライトを点灯"
逆走・通行区分,初級,自転車の逆走に最も近い違反類型はどれでしょうか？,通行区分違反,遮断踏切立入り,信号無視,無灯火,1,車道での右側通行、いわゆる逆走は通行区分違反に当たり得ます。,"自転車ポータルサイト　取り締まりについて
通行区分違反
右側通行や歩道通行等は、悪質・危険な場合に青切符対象となり得る"
ペダル付き原付,上級,基準不適合の「電動アシスト自転車」と称する製品に関する説明として正しいものはどれでしょうか,一般原動機付自転車等に該当し、免許・ヘルメット・ナンバー等が必要になり得る,歩道走行が常に可能,13歳未満なら自由に運転できる,自転車と同じ扱いで、免許もナンバーも不要,1,警察庁資料では、基準を満たさない製品は一般原動機付自転車等に該当し、免許・ヘルメット・ナンバープレートなどが必要になる場合があると示されている,"警察庁　自転車ポータルサイト
警察庁　公表資料　電動アシスト自転車との違い"
ながらスマホ,初級,自転車の「携帯電話使用等（保持）」の反則金額として正しいものはどれでしょうか？,"12,000円","5,000円","6,000円","15,000円",1,"警視庁の反則行為一覧では、軽車両の携帯電話使用等（保持）の反則金は12,000円です。","警視庁　自転車ポータルサイト
警視庁　反則行為一覧　携帯電話使用等（保持）"
並走,初級,自転車の並進について正しい説明はどれでしょうか？,常に認められている,反則禁止であり、並進可標識がある場合などに限って例外がある,歩道上のみ常に認められる,子供同士なら常に認められる,2,自転車の並進は原則禁止です。並進可標識がある場合に限って例外的に認められます。,"警視庁　自転車ポータルサイト
警視庁　自転車の交通ルール　並進の禁止"
罰則・責任,上級,自転車損害賠償保険等についての最近の傾向として、最も適切な説明はどれか,加入を推進し、義務または努力義務とする自治体が増えている,加入は高校生以上に限られている,加入を禁止する条例が増えている,自転車保険という仕組みは存在しない,1,高額賠償事例の増加を受け、多くの自治体が自転車保険加入を条例で義務・努力義務化している,"道路交通法施行規則
各自治体条例・自転車活用推進法"
青切符制度,上級,青切符ではなく刑事手続側で処理されやすい例として、最も適切な説明なものはどれでしょうか,酒気帯び・酒酔い運転などの重大違反,軽微な無灯火,サドルの高さ調整不備,ベルの未使用,1,制度説明では、酒気帯び・酒酔い運転はどの重大違反や事故発生時は赤切符側、つまり刑事手続側になりやすいと整理されている,"警察庁　自転車ポータルサイト
政府広報オンライン　青切符と赤切符の切り分け"
基本ルール,初級,自転車の保守点検について、道路交通法上の考え方に沿うものはどれでしょうか？,基準に適合しないプレー機や灯火類で走行すると、安全運転義務違反に沿われる可能性がある,ライトだけ点検していれば問題ない,点検整備は事業自転車のみ義務がある,義務があるブレーキやライトが作動しなくても、自転車であれば運転してよい,1,安全な運転のためにはブレーキや灯火の整備が不可欠であり、整備不良は事故時の責任にも影響します。,"道路交通法
道路交通法　第63条の9・第70条"
自転車運転者講習,初級,自転車運転の受講命令が出る要件として、周知内容に沿うものはどれでしょうか？,免許保有者だけが対象,青切符を1回受けると必ず命令が出る,違反を1回だけしただけで必ず命令が出る,危険行為で3年以内に2回以上検挙されると対象となり得る,4,周知資料では、危険行為で3年以内に2回以上検挙されると、自転車運転者講習の受講命令対象となり得ると説明されています。,"警視庁　自転車ポータルサイト
自転車運転者講習制度　受講命令の要件"
青切符制度,初級,2026年4月1日から自転車に導入された制度として正しいものはどれでしょうか？,自転車免許制度,自転車車検制度,自転車税制度,法通反則通告制度（青切符）,4,2026年4月1日から、自転車にも一定の交通違反について交通反則通告制度、いわゆる青切符が導入されました。,"警視庁　自転車ポータルサイト
警視庁　自転車ポータルサイト　交通反則通告制度"
危険行為,初級,自転車が踏切を通過する際の義務として、道路交通法第33条に基づき正しいものはどれでしょうか？,踏切の遮断機が閉じ始めても、急げば通過してよい,踏切の直前で一時停止し、安全を確認したうえでなければ進行してはならない,踏切では徐行すれば一時停止しなくてもよい,自転車は軽車両のため、踏切での停止義務はない,2,道路交通法第33条により、車両等は無見切りの直前で一時停止し、安全を確認した後でなければ進行してはならないと定められています。,"自転車安全利用五則｜警視庁
道路交通法　第33条"
右左折,初級,自転車の右折方法として原則正しいものはどれでしょうか？,自動車と同じ小回り右折,右折は禁止,歩道を使って右折,二段階右折,4,自転車の右折は原則として二段階右折です。車両用信号などに従い、交差点の外端に沿って進行します。,"警視庁　自転車ポータルサイト
警視庁　自転車の交通ルール　右折方法"
基本ルール,初級,道路交通法第63条の11における、児童・幼児の自転車のヘルメット着用について正しいものはどれでしょうか？,ヘルメット着用に関する規定は成人のみが対象である,ヘルメット着用は法律上一切触れられていない,児童・幼児はヘルメットの着用義務がある,児童・幼児を保護する責任のあるものは、乗車用ヘルメットをかぶらせるよう努めなければならない,4,第63条の11では、児童又は幼児を保護する責任のあるものに対し、自転車乗車時に乗車用ヘルメットをかぶらせるよう努めることが求められています（努力義務）,"自転車安全利用五則｜警視庁
道路交通法　第63条の11"
基本ルール,初級,普通自転車が歩道を通行できる条件として、最も適切なものはどれでしょうか？,車道が混雑していては知りにくいときはいつでもよい,雨の日や風の日など、天候が悪いときは常に歩道を走ってよい,歩行者が少なければ自由に歩道を走行してよい,道路標識等で許可されている場合や、児童等の車道通行が危険と認められる場合など、法令で定められた条件に該当するとき,4,第63条の4で、道路標識等による許可や、児童等の安全確保のためなど、限定された条件で歩道通行が認められると定められています。,"道路交通法
道路交通法　第63条の4"
歩道通行,初級,自転車の通行場所に関する基本原則として正しいものはどれでしょうか？,車道通行が原則、歩道通行は例外,歩道通行が原則、車道は例外,歩道と車道のどちらでも自由に選べる,自転車道のみ通行可能,1,自転車は軽車両であり、車道通行が原則です。歩道通行は標識等がある場合などの例外に限られます。,"警視庁　自転車ポータルサイト
警視庁　自転車の交通ルール　車道が原則、歩道は例外"
踏切,初級,自転車の遮断機踏切立入りの反則金額として正しいものはどれでしょうか？,"9,000円","7,000円","5,000円","6,000円",2,"警視庁の反則行為一覧では、軽車両の遮断機踏切立入りは7,000円です。","警視庁　自転車ポータルサイト
警視庁　反則行為一覧　遮断機踏切立入り"
基本ルール,初級,道路交通法上の「普通自転車」に該当する条件として、最も適切なものはどれでしょうか？,電動機のみで走行する原動機付自転車,車体の大きさに関係なく、ペダルが付いていればすべて普通自転車,三輪以上の自転車はすべて普通自転,車体の大きさ・構造が内閣府令の基準に適合し、他の車両を牽引していない自転車,4,普通自転車は、車体の大きさと構造が基準に適合し、かつほかの車両を牽引していない自転車と定義されています。,"道路交通法
道路交通法　第2条"
基本ルール,初級,道路交通法第43条に基づき、「止まれ」の標識がある交差点における自転車の行動として正しいものはどれでしょうか？,徐行すれば一時停止しなくてもよい,歩道上を通行すれば一時停止の必要はない,他に車両がいなければ停止せずに通過してよい,停止線の手前または交差点直前で一時停止し、安全を確認してから進行する,4,道路交通法第43条では「止まれ」の標識がある場所では停止線直前等で一時停止し、交差道路を通行する車両等の進行を妨げないようにしなければならないと定められています。,"自転車安全利用五則｜警視庁
道路交通法　第43条"
危険行為,初級,普通自転車が歩道を通行する場合の通行方法として、正しいものはどれでしょうか？,歩道中央付近をやや早めの速度で通行する,歩道の中央から車道より（普通自転車通行指定部分がある場合はその部分）を徐行し、歩行者の通行を妨げるときは一時停止する,歩道のどの部分でも、徐行であれば自由に進行できる,ベルを鳴らして歩行者を避けなさせながら通行する,2,第63条の4により、歩道通行時は歩道中央から車道寄りを徐行し、歩行者の通行を妨げる場合には一時停止する必要があります。,"道路交通法
道路交通法　第63条の4"
基本ルール,初級,自転車が交差点を通行する際の信号遵守について、正しいものはどれでしょうか？,自転車は信号機の表示に従う義務はない,自転車は交通量が少ない場合、赤信号でも進行してよい,自転車は車両として車両用信号に従い、歩行者・自転車専用信号がある場合はその信号に従う,自転車は歩行者扱いのため、すべて歩行者信号に従う,3,自転車は車両として信号機の表示に従う義務があり、歩行者・自転車専用の信号がある場合は、その信号に従って通行します。,"自転車安全利用五則｜警視庁
道路交通法　第7条"
基本ルール,初級,施行規則第9条の4が定める、自転車に備える反射材の反射光の色として正しい組み合わせはどれか。,任意の色でよい,赤色のみ,橙色または赤色,白色又は淡黄色,3,条文上、反射機材の反射光の色は「橙色又は赤色」でなければならないとされている。,"道路交通法施行規則
道路交通法施行規則　第9条の4"
信号,初級,自転車の信号無視の反則金額として正しいものはどれでしょうか？,"5,000円","7,000円","12,000円","6,000円",4,"反則行為一覧では、自転車の信号無視は6,000円です。点滅信号無視は5,000円として整理されています。","警視庁　自転車ポータルサイト
警視庁　反則行為一覧　信号無視"
基本ルール,初級,自転車の通行位置として、道路交通法第18条に基づく原則として正しいものはどれでしょうか？,歩道があれば常に歩道を通行してよい,原則として道路の中央付近を通行する,原則として道路の左側端寄りを通行する,原則として道路の右側端を通行する,3,自転車を含む軽車両は、原則として道路の左側端寄りを通行しなければならないと定められています,"道路交通法
道路交通法　第18条"
危険行為,初級,自転車が徐行義務を負う場所として、道路交通法第42条に明記されているものはどれでしょうか？（一部抜粋）,片側二車線の直線道路（見通し良好）,自転車道が設置されている道路のすべての区間,住宅街のすべての道路,左右の見通しがきかない交差点（交差点整理なし・非優先側）,4,第42条第1号により、左右の見通しがきかない交差点のうち、交通整理の行われていない交差点等では徐行義務があります。,"道路交通法
道路交通法　第42条"
危険行為,初級,夜間に自転車を運転する際の灯火・反射器材に関する義務として、正しいものはどれでしょうか？,反射タスキを身につけていれば自転車のライトは不要である,夜間は前照灯を点灯し、後部には反射器材または尾灯を備えた自転車でなければ運転してはならない,自転車のは夜間の灯火に関する規定はない,夜間であっても街灯があればライト点灯は不要である,2,道路交通法第52条および第63条の9により、夜間は前照灯を点灯し、後部に反射器材又は尾灯を備えた自転車でなければ運転してはならないとされています。,"自転車安全利用五則｜警視庁
道路交通法　第52条・第63条の9"
一時停止,初級,一時停止標識がある交差点における自転車の義務として正しいものはどれでしょうか？,車が来てなければ停止不要,歩道通行中なら無関係,必ず一時停止し、安全確認する,徐行だけで足りる,3,止まれの標識がある場所では、自転車も必ず一時停止して安全確認しなければなりません。,"警視庁　自転車ポータルサイト
警視庁　自転車の交通ルール　一時停止"
側方通過,初級,2026年4月施行の側方通過ルールの説明として正しいものはどれでしょうか？,歩道のみ適用される,常に2m以上空けなければならない,十分な間隔がないときは自動車盗は安全な速度、自転車盗はできる限り左側端に寄る,自転車だけに義務がある,3,2026年4月施行の側方通過ルールでは、十分な間隔がないときに自動車等は安全な速度で進行し、自転車等ではできる限り左側端に寄ることが求められます。,"警視庁　自転車ポータルサイト
道路交通法　第18条第3項・第4項"
灯火・ライト,初級,自転車の無灯火の反則金額として正しいものはどれでしょうか？,"7,000円","6,000円","5,000円","12,000円",3,"警視庁の反則行為一覧では、軽車両の無灯火は5,000円です。","警視庁　自転車ポータルサイト
警視庁　反則行為一覧　無灯火"
歩道通行,初級,歩道通行が認められている場合の自転車の通行方法として正しいものはどれでしょうか？,歩行者より自転車が優先である,ベルを鳴らせば歩行者を避けさせてよい,歩道中央をできるだけ速く進行する,歩行者優先で徐行し、妨げるときは一時停止する,4,歩道通行時は歩行者優先です。普通自転車通行指定部分がない場合は車道寄りを徐行し、歩行者の通行を妨げるときは一時停止します。,"警視庁　自転車ポータルサイト
警視庁　自転車の交通ルール　歩道通行時の通行方法"
基本ルール,初級,自転車の反則的な通行位置として、道路交通法第17条・第18条の内容に最も近いものはどれでしょうか？,車道の左側端寄りを通行する,車道の右側端を通行する,歩道を原則として通行し、危険なときだけ車道を通行する,歩道と車道を状況に応じて自由に行き来する,1,自転車を含む軽車両は、原則として道路の左側端寄りを通行しなければならないとされています。,"自転車安全利用五則｜警視庁
道路交通法　第17条・第18条"
,,,,,,,,,
,,,,,,,,,
