カテゴリ,難易度,問題文,選択肢１,選択肢２,選択肢３,選択肢４,正解番号,解説,関連交通ルール
蓝色罚单制度,高级,关于自行车收到蓝色罚单后未缴纳罚款，以下哪项说明是正确的？,只会被记驾驶证扣分。,一定会在当天立即被逮捕。,自动失效。,经通知中心办理相关手续后，如仍未缴纳罚款，可能移交刑事程序处理。,4,如果未缴纳临时罚款，将进入通知中心办理手续；仍不缴纳的，可能转入刑事程序。,"警察厅 自行车门户网站
自行车门户网站——未缴纳罚款时的处理程序"
基本规则,高级,在设有“自行车及行人专用”标志的自行车与行人共用道路上，自行车应如何通行最为恰当？,自行车优先于行人，因此可以不限速度通行。,《道路交通法》对此没有规定，可以自由通行。,必须始终下车推行自行车。,应以不妨碍行人通行的速度和方式骑行。,4,在自行车与行人共用道路上，自行车可以通行，但必须以不妨碍行人通行的速度和方式骑行。,"《道路交通法》
《道路交通法》第2条、第63条之4"
危险行为,高级,根据《道路交通法》第65条，关于自行车酒后驾驶，以下哪项说明是正确的？,禁止酒后驾驶车辆（包括自行车）。,只有提供酒类的人会受到处罚，驾驶人不会受到处罚。,即使酒后，只要没有摇晃骑行就没有问题。,自行车不属于车辆，因此不受酒后驾驶规定的限制。,1,根据《道路交通法》第65条，禁止酒后驾驶车辆，自行车也属于适用对象。,"《自行车安全使用五项原则》｜警察厅
《道路交通法》第65条"
基本规则,高级,在设有“自行车及行人专用”标志的自行车与行人共用道路上，自行车应如何通行最为恰当？,必须始终下车推行自行车。,《道路交通法》对此没有规定，可以自由通行。,自行车优先于行人，因此可以不限速度通行。,应以不妨碍行人通行的速度和方式骑行。,4,在自行车步行者共用道路上，自行车可以通行，但必须以不妨碍行人通行的速度和方式骑行。,"《道路交通法》
《道路交通法》第2条、第63条之4"
侧方通过,高级,关于侧方通过规则中“约1米”“约20～30公里/小时”的标准，以下哪项说明是正确的？,仅适用于自行车一方的标准。,仅适用于高速公路的标准。,法律中明确规定的固定数值标准。,这只是参考标准，应根据具体情况进行判断。,4,根据警察厅资料，“约1米”和“约20～30公里/小时”只是参考标准，应结合道路及交通状况具体判断。,"警察厅 自行车门户网站
警察厅：侧方通过说明资料——通行方法参考标准"
危险行为,高级,根据《道路交通法》第63条之9及实施细则第9条之3，关于自行车制动装置（刹车）的标准，以下哪项是正确的？,如果是竞赛用自行车，即使在公路上也不需要安装刹车。,只要前轮或后轮其中一侧能够制动即可。,必须能够同时制动前轮和后轮，并具备在规定距离内平稳停车的性能。,如果可以用脚蹭地停车，就不需要刹车。,3,自行车必须配备能够制动前轮和后轮的制动装置，并具备在规定距离内平稳停车的性能。,"《自行车安全使用五项原则》｜警察厅
《道路交通法》第63条之9、《施行规则》第9条之3"
头盔,初级,关于自行车头盔的法律地位，哪项说明正确？,属于必须佩戴，未佩戴将成为蓝色罚单对象。,属于自愿行为，法律没有任何规定。,属于努力义务，仅因未佩戴头盔本身不会被处以罚款。,未佩戴头盔会被吊销驾驶证。,3,自行车头盔属于“努力义务”（鼓励佩戴），仅因未佩戴头盔本身不会被处以罚款。,警视厅 自行车门户网站：《道路交通法》第63条之11（头盔相关规定）。
特定小型电动自行车,初级,特定小型电动自行车的最低驾驶年龄是多少？,15岁及以上。,13岁及以上。,没有年龄限制。,16岁以下禁止。,4,特定小型机动车无需驾照，但未满16周岁不得驾驶。,警视厅 自行车门户网站：特定小型机动车交通规则——年龄限制。
基本规则,高级,以下哪一种车辆最有可能完全符合实施细则规定的“普通自行车”标准？,长度180厘米、宽度65厘米、两轮、无侧车，仅设驾驶人座位和儿童座椅。,长度185厘米、宽度55厘米、两轮、无侧车，仅设驾驶人座位和儿童座椅，并配有前后刹车。,长度195厘米、宽度55厘米、三轮、无侧车，设有驾驶座和后排长座椅。,长度185厘米、宽度55厘米、五轮、无侧车，仅设驾驶座。,2,只有第2项自然符合长度、宽度、车轮数（四轮以下）、乘坐装置（除儿童座椅外无其他座位）及制动装置等全部条件。,"《道路交通法施行规则》
《道路交通法施行规则》第9条之2之2"
处罚与责任,初级,关于儿童或幼儿骑自行车佩戴头盔，作为监护人的责任，哪项说明最恰当？,由学校负责，而不是监护人负责。,监护人有义务尽力让儿童等佩戴骑行头盔。,监护人必须让儿童佩戴头盔，否则将立即受到刑事处罚。,是否佩戴头盔完全自由，法律没有任何规定。,2,根据《道路交通法》第63条之11，监护人有义务尽量让儿童佩戴自行车头盔（属于努力义务）。,《道路交通法施行规则》：《道路交通法》第63条之11。
头盔规定的区别,高级,关于头盔规定，以下哪项说明最为恰当？,自行车必须佩戴头盔，而特定小型电动自行车则无需佩戴。,凡是外观类似自行车的交通工具，都适用相同的头盔规定。,自行车、特定小型电动自行车和普通轻便摩托车的法律分类不同，头盔规定也不相同。,即使是轻便摩托车，只要有脚踏板，就无需佩戴头盔。,3,自行车、特定小型电动自行车和普通轻便摩托车属于不同的法律类别，即使外观相似，头盔规定也不能一概而论。,"警察厅 自行车门户网站
警察厅资料——自行车与特定小型电动自行车的区别"
取缔方针,高级,关于“仅仅在人行道上骑行自行车”这一情况，根据日本警察厅FAQ，以下哪项说明是正确的？,原则上属于教育指导或警告的对象。,不属于违法行为。,一定会被开具红色罚单。,原则上会立即开具蓝色罚单。,1,根据警察厅FAQ，仅仅在人行道骑行的情况，原则上属于教育指导或警告对象。,"警察厅 自行车门户网站
自行车门户网站 FAQ——指导警告示例"
危险行为,初级,在允许自行车并排行驶的道路上，最多可以并排行驶几辆自行车？,最多两辆。,没有限制。,最多三辆。,仅限1辆。,1,根据第63条之5，即使道路标志允许并排行驶，普通自行车最多也只能两辆并行。,《道路交通法》第63条之5：普通自行车允许并排行驶时的特别规定。
停车与临时停车,高级,关于自行车停车和临时停车，以下哪项说明是正确的？,如果是自行车，也可以在人行横道附近自由停车。,包括自行车在内的轻型车辆，也存在违法停车和违规停放等违法类型。,只要在人行道上，就可以自由停车。,自行车没有违法停车或临时停车的规定。,2,警察厅的交通违法处罚标准中，也列出了轻型车辆违法停车和违规停放等违法类型。,"警察厅 自行车门户网站
警察厅：交通违法处罚一览——违法停车、违规停放"
危险行为,高级,根据《道路交通法》，多人一起骑自行车时，以下哪项做法是正确的？,多人结伴骑行时，不受交通规定的约束。,即使没有交通标志，也可以任意数量并排行驶。,原则上禁止并排行驶，即使有交通标志允许，也仅限两辆并排行驶。,只有汽车适用禁止并排行驶的规定。,3,自行车原则上禁止并排行驶，即使有交通标志特别允许，也仅限两辆并排行驶。,"《道路交通法》
《道路交通法》第19条、第63条之5"
基本规则,高级,自行车横穿道路时，在附近设有自行车横穿带的情况下，应如何通行才是正确的？,在设有自行车横穿带的附近，必须通过该自行车横穿带横穿道路。,必须骑着自行车通过人行横道。,即使设有自行车横穿带，也可以从任何地点横穿道路。,横穿道路时必须下车推行自行车。,1,根据《道路交通法》第63条之6，自行车横穿道路时，如附近设有自行车横穿带，应通过该自行车横穿带横穿。,"《自行车安全使用五项原则》｜警察厅
《道路交通法》第63条之6"
打伞骑行,高级,关于打伞骑自行车，以下哪项说法最为恰当？,在全国范围内，法律明确规定始终属于合法。,由于在许多地区可能违反公安委员会的相关规定，因此原则上应避免这样做。,即使单手骑行，也与安全驾驶义务无关。,下雨天会自动变为合法。,2,打伞骑车在许多地区可能违反公安委员会规定，也可能被认定为违反安全驾驶义务；由于各地规定不同，在考试中可理解为“原则上应避免”。,"警察厅 自行车门户网站
各都道府县公安委员会规则、《道路交通法》第70条——打伞骑车"
危险行为,高级,根据《道路交通法》第26条之2，关于自行车变更车道（行驶路线），以下哪项说法是正确的？,只要不影响后方车辆的速度或行驶方向，就可以突然变更车道。,关于变更车道的规定不适用于自行车。,如果变更车道可能迫使后方车辆突然改变速度或方向，则不得变更车道。,可以随时自由变更行驶路线。,3,根据《道路交通法》第26条之2，车辆不得随意变更车道；若可能迫使后方车辆突然改变速度或方向，则禁止变更车道，该规定同样适用于自行车。,"《自行车安全使用五项原则》｜警察厅
《道路交通法》第26条之2"
基本规则,高级,在设有机动车道的道路上，自行车应在哪一位置通行最为恰当？,应在最右侧的机动车道内通行。,无论车道种类如何，都可以自由选择空闲车道行驶。,应在最左侧机动车道内行驶，并靠该车道左侧通行。,可以在人行道和车道之间自由切换。,3,即使设有机动车道，自行车原则上也应在最左侧机动车道内，并靠该车道左侧通行。,"《道路交通法》
《道路交通法》第20条"
特定小型电动自行车,高级,关于特定小型电动自行车，以下哪项说法是正确的？,需要悬挂车牌并加入强制责任保险。,仅限在人行道行驶，无需购买保险。,与自行车相同，无需悬挂车牌。,即使未满16岁，只要有车牌就可以驾驶。,1,特定小型电动自行车不是自行车，而属于轻便摩托车的一种，需要悬挂车牌并投保机动车责任保险。,"警察厅 自行车门户网站
警察厅：特定小型电动自行车交通规则——车牌等规定"
基本规则,高级,根据《道路交通法》第53条，关于自行车变更车道及左右转弯时发出信号（手势）的规定，以下哪项最符合其宗旨？,当可能影响周围交通时，应提前发出信号，并在确保充足安全距离的情况下变更车道或左右转弯。,在人行道上不得发出转向信号。,自行车没有发出转向信号的义务。,只要加速快速转弯，就无需打转向信号。,1,转向信号是车辆变更路线或左右转弯时，为避免危及其他交通参与者而进行的重要沟通方式。,"《道路交通法》
《道路交通法》第53条"
酒后驾驶,高级,根据资料说明，关于酒后驾驶（酒气带）的判定标准，以下哪项是正确的？,呼气酒精浓度0.05毫克/升，或血液酒精浓度0.1毫克/毫升。,呼气酒精浓度0.15毫克/升，或血液酒精浓度0.3毫克/毫升。,呼气酒精浓度0.3毫克/升，或血液酒精浓度0.15毫克/毫升。,没有明确的数值标准。,2,资料中规定，酒后驾驶标准为呼气酒精浓度0.15mg/L或血液酒精浓度0.3mg/ml。,"警察厅 自行车门户网站
《自行车规则手册》——酒后驾驶标准"
危险行为,高级,根据《道路交通法》及相关规定，骑自行车搭载幼儿时，以下哪项做法最符合规定？,法律上，对搭载幼儿没有任何限制。,即使让人站在货架上，只要距离较短也没有问题。,只要由成年人抱着，就可以在任何自行车上搭载儿童。,例如配备儿童座椅时，应按照符合规定的方式搭载儿童。,4,搭载儿童时，应使用符合标准的儿童座椅或儿童载人自行车等装置，这是保障安全的基本前提。,"《道路交通法》
《道路交通法》第57条、第63条之11"
危险行为,高级,关于听力障碍的法定标准，以下哪项最符合规定？,在5米距离处能够听到60分贝的声音。,在10米距离处能够听到90分贝的喇叭声。,在20米距离处能够听到40分贝的声音。,对距离和音量没有具体标准。,2,根据第9条之7之2，能够在10米距离听到90分贝喇叭声，被规定为听觉障碍的判断标准。,"《道路交通法施行规则》
《道路交通法施行规则》第9条之7之2"
基本规则,高级,在设有行人与自行车专用信号灯及自行车横穿带的交叉路口，自行车横穿时应遵守哪一种信号？,行人与自行车专用信号灯。,只需遵守车辆信号灯。,没有特别规定。,只需遵守行人信号灯。,1,根据《道路交通法》第7条及其施行令第2条，应遵守道路交通信号灯的指示。,"《道路交通法施行规则》
《道路交通法》第7条、《道路交通法施行规则》第2条"
基本规则,高级,根据《道路交通法》，自行车在人行道上通行时，应在哪一位置行驶最为恰当？,靠近建筑物一侧的边缘。,人行道中央。,靠近车道的一侧。,没有特别规定。,3,在人行道骑行时，为保障行人安全，原则上应靠近车道一侧通行。,"《道路交通法施行规则》
《道路交通法》第63条之4"
禁止通行,高级,进入禁止自行车通行等受限制道路时，以下哪项处理方式是正确的？,自行车不属于适用对象。,可能构成违反禁止通行规定。,自己的判断优先于交通标志。,只要走人行道，就可以无条件进入。,2,如果自行车违反针对其适用的禁止通行规定，则可能构成禁止通行违法。,"警察厅 自行车门户网站
自行车门户网站——关于执法：禁止通行违法"
基本规则,初级,在人行横道附近，自行车应履行哪项义务最符合《道路交通法》第38条的宗旨？,即使有行人，也只需减速即可。,车辆优先于行人，可以优先通行。,自行车在人行横道没有特别义务。,当行人准备通过人行横道时，应采取停车等措施，不得妨碍其通行。,4,第38条规定斑马线上行人优先，自行车不得妨碍行人通行。,《道路交通法》第38条：关于人行横道上行人优先的规定。
处罚与责任,高级,关于自行车驾驶者培训（讲习）制度，以下哪项说明最为恰当？,反复实施一定危险行为时，可能会被命令参加自行车驾驶者培训。,自行车没有驾驶培训制度，无论违反多少次规定，都不会被要求参加培训。,培训属于自愿参加，与违法行为无关。,不参加培训的话，自行车驾驶资格将一律被取消。,1,根据《道路交通法》第108条之3之4，多次实施指定危险行为的，将被命令参加自行车驾驶人培训。,"《道路交通法施行规则》
《道路交通法》第108条之3之4"
使用耳机,高级,关于骨传导耳机和开放式耳机的使用，以下哪项说明最为恰当？,使用骨传导耳机或开放式耳机始终属于违法。,只要是骨传导耳机，就始终合法。,只要使用开放式耳机，就始终合法。,应综合设备性能、音量以及是否能听见周围声音等因素进行个别判断。,4,根据警察厅通知，对于骨传导耳机和开放式耳机，不会仅凭外观统一判断，而会综合性能、音量等因素进行个别认定，因此属于存在灰色地带的问题。,"警察厅 自行车门户网站
警察厅通知——骨传导耳机、开放式耳机的适用规定"
车灯,初级,关于夜间骑自行车，哪项说明正确？,夜间必须开启车灯。,只要有路灯，即使不开车灯也可以。,只要有反光材料，就不需要车灯。,在人行道骑行时不需要开灯。,1,夜间骑行必须开启车灯，与是否有路灯或是否在人行道上骑行无关。,警视厅 自行车门户网站：自行车交通规则——夜间必须开启车灯。
逆向行驶与通行区分,初级,自行车逆向行驶最接近哪一种违法行为？,违反通行规定。,闯入铁路道口栏杆已放下的区域。,闯红灯。,不开车灯（无灯行驶）。,1,在机动车道右侧骑行（逆向行驶）可能构成违反通行规定。,自行车门户网站：关于执法——违反通行规定（逆向行驶、人行道违法通行等，在恶劣、危险情况下可能成为蓝色罚单对象）。
带脚踏板轻便摩托车,高级,关于不符合标准、却标称为“电动助力自行车”的产品，以下哪项说明是正确的？,可能被认定为普通轻便摩托车，因此需要驾驶证、头盔、车牌等。,始终可以在人行道上骑行。,未满13岁可以自由驾驶。,与自行车相同，无需驾驶证，也无需车牌。,1,根据警察厅资料，不符合标准的所谓“电动助力自行车”可能被认定为普通轻便摩托车等，因此需要驾驶证、头盔和车牌等。,"警察厅 自行车门户网站
警察厅公开资料——与电动助力自行车的区别"
开车时使用手机,初级,自行车“使用手机（手持）”的罚款金额是多少？,"12,000日元。","5,000日元。","6,000日元。","15,000日元。",1,"根据警视厅罚款标准，骑自行车手持手机（保持）罚款为12,000日元。",警视厅 自行车门户网站：警视厅《反则行为一览》——使用手机等（手持）。
并排行驶,初级,关于自行车并排行驶，哪项说明正确？,始终允许。,原则上禁止，仅在设有允许并排行驶标志等情况下例外允许。,仅在人行道上始终允许。,如果是儿童之间，可以随时双人骑乘。,2,自行车原则上禁止并排行驶，仅在设有“允许并行”标志时例外允许。,警视厅 自行车门户网站：自行车交通规则——禁止并排行驶。
处罚与责任,高级,关于自行车责任保险等的最新趋势，以下哪项说明最为恰当？,越来越多的地方政府鼓励投保，并将其规定为法定义务或努力义务。,只有高中生及以上人员才需要（或可以）加入。,越来越多的地方条例禁止加入（保险）。,不存在“自行车保险”这一制度。,1,由于高额赔偿案例不断增加，许多地方政府已通过条例规定自行车保险为强制加入或努力义务。,"《道路交通法施行规则》
各地方政府条例、《自行车活用推进法》"
蓝色罚单制度,高级,以下哪种情况更可能适用刑事程序处理，而不是蓝色罚单制度？,酒后驾驶、醉酒驾驶等严重违法行为。,轻微的未开车灯行驶。,车座高度调整不当。,未使用车铃。,1,根据制度说明，酒后驾驶、醉酒驾驶等重大违法行为以及发生交通事故时，通常适用红色罚单，即进入刑事程序。,"警察厅 自行车门户网站
政府宣传在线——蓝色罚单与红色罚单的区分"
基本规则,初级,关于自行车维护保养，根据《道路交通法》的规定，哪项说法正确？,使用不符合标准的刹车或灯具骑行，可能会被认定违反安全驾驶义务。,只检查车灯就没有问题。,只有营业用自行车才有检查维护义务。,即使刹车或车灯等法定设备失效，只要是自行车仍可骑行。,1,为确保安全驾驶，必须保持刹车和灯光等装置正常，车辆维护不良也可能影响事故责任认定。,《道路交通法》第63条之9、第70条。
自行车驾驶者培训,初级,根据相关宣传规定，什么情况下会被命令参加自行车驾驶人培训？,仅适用于持有驾驶证的人。,收到一次蓝色罚单后一定会被下达命令。,只要违法一次，就一定会收到命令。,三年内因危险行为被查获两次以上，可能成为自行车安全讲习对象。,4,根据相关宣传资料，若3年内因危险行为被处罚2次以上，可能会收到参加自行车驾驶者讲习的命令。,警视厅 自行车门户网站：自行车驾驶者讲习制度——下达受讲命令的条件。
蓝色罚单制度,初级,2026年4月1日起，自行车新实施了哪项制度？,自行车驾驶证制度。,自行车定期检验制度。,自行车税制度。,交通违法反则通告制度（蓝色罚单制度）。,4,自2026年4月1日起，日本对自行车正式实施交通反则通告制度（俗称“蓝色罚单”）。,警视厅 自行车门户网站：交通反则通告制度（蓝色罚单制度）。
危险行为,初级,根据《道路交通法》第33条，自行车通过铁路道口时应履行哪项义务？,即使铁路道口栏杆开始放下，只要加快速度仍可通过。,在铁路道口前必须先停车，确认安全后才能通过。,通过铁路道口时，只要减速慢行，就不需要停车。,因为自行车属于轻型车辆，所以通过铁路道口时没有停车义务。,2,根据《道路交通法》第33条，车辆通过铁路道口前必须停车确认安全后方可通行。,《自行车安全利用五则》｜警视厅：《道路交通法》第33条（铁路道口规定）
左右转弯,初级,关于自行车右转方式，原则上哪项正确？,像汽车一样小转弯右转。,禁止右转。,利用人行道右转。,两段式右转。,4,自行车右转原则上采用“两段式右转”，并按照车辆信号灯指示，沿路口外侧完成右转。,警视厅 自行车门户网站：自行车交通规则——右转方法。
基本规则,初级,根据《道路交通法》第63条之11，关于儿童、幼儿骑自行车佩戴头盔，哪项说明正确？,关于佩戴头盔的规定仅适用于成年人。,法律对佩戴头盔没有任何规定。,儿童和幼儿有佩戴头盔的义务。,对儿童、幼儿负有监护责任的人，应努力让其佩戴骑行头盔。,4,自行车右转原则上采用“两段式右转”，并按照车辆信号灯指示，沿路口外侧完成右转。,《自行车安全利用五则》｜警视厅：《道路交通法》第63条之11。
基本规则,初级,普通自行车在哪些情况下可以在人行道骑行？,只要机动车道拥堵、不便骑行，任何时候都可以骑上人行道。,下雨、刮风等天气不好时，始终可以在人行道骑行。,只要行人较少，就可以自由在人行道骑行。,在道路标志允许，或儿童等骑车人在车道骑行存在危险等法律规定情况下，可以在人行道骑行。,4,根据第63条之4，仅在道路标志允许或为保障儿童等安全等法定条件下，普通自行车才允许在人行道上通行。,《道路交通法》第63条之4：关于自行车在人行道通行的规定。
人行道通行,初级,关于自行车通行位置的基本原则，哪项说明正确？,原则上在车道通行，人行道通行为例外。,原则上在人行道通行，机动车道为例外。,可以自由选择在人行道或机动车道骑行。,只能在自行车道通行。,1,自行车属于轻型车辆，原则上应在机动车道通行，人行道通行为例外。,警视厅 自行车门户网站：自行车交通规则——原则上在车道通行，人行道通行为例外。
铁路道口,初级,自行车违法进入栏杆已关闭的铁路道口，罚款金额是多少？,"9,000日元。","7,000日元。","5,000日元。","6,000日元。",2,"根据警视厅罚款标准，自行车闯入铁路道口（遮断机关闭时）罚款为7,000日元。",警视厅 自行车门户网站：警视厅《反则行为一览》——闯入铁路道口（遮断机关闭时）。
基本规则,初级,根据《道路交通法》，“普通自行车”应符合哪些条件？,仅靠电动机行驶的轻便摩托车。,无论车身大小，只要有踏板就都是普通自行车。,所有三轮及以上的自行车都属于普通自行车。,车身尺寸和结构符合内阁府令标准，且未牵引其他车辆的自行车。,4,普通自行车是指车体尺寸和结构符合规定，且未牵引其他车辆的自行车。,《道路交通法》第2条：自行车的定义。
基本规则,初级,根据《道路交通法》第43条，在设有“停车让行（止まれ）”标志的交叉路口，自行车应如何通行？,只要减速慢行，就不必停车。,只要在人行道通行，就不需要停车。,如果没有其他车辆，可以不停直接通过。,在停止线前或交叉路口前必须停车，确认安全后再通行。,4,根据《道路交通法》第43条，在设有“停车让行（止まれ）”标志的地点，必须在停止线前停车，并确认不会妨碍交叉道路车辆通行后再前进。,《自行车安全利用五则》｜警视厅：《道路交通法》第43条（停车让行标志）。
危险行为,初级,普通自行车在人行道骑行时，正确的通行方式是什么？,在人行道中央附近以稍快速度通行。,在人行道靠近车道的一侧（如设有普通自行车指定通行部分，则在该部分）缓慢行驶；妨碍行人通行时，应当停车让行。,只要慢行，就可以在人行道任何位置自由通行。,一边按铃一边让行人避让后通过。,2,根据第63条之4，自行车在人行道上通行时，应靠近车道一侧缓慢行驶，如妨碍行人必须停车让行。,《道路交通法》第63条之4：关于自行车在人行道上的通行方法。
基本规则,初级,自行车通过交叉路口时，应如何遵守交通信号？,自行车没有遵守交通信号灯的义务。,如果交通流量较少，自行车可以闯红灯通行。,自行车作为车辆，应遵守机动车信号；如设有“行人・自行车专用”信号灯，则应遵守该信号灯。,自行车视同行人，因此必须遵守所有行人信号灯。,3,自行车作为车辆必须遵守交通信号；如设有“行人与自行车专用信号灯”，则应遵守该信号。,《自行车安全利用五则》｜警视厅：《道路交通法》第7条（遵守信号灯）。
基本规则,初级,根据《施行规则》第9条之4，自行车反光装置反射光颜色的正确组合是哪一项？,任何颜色都可以。,仅限红色。,橙色或红色。,白色或淡黄色。,3,法律规定，反光装置反射的颜色必须为橙色或红色。,《道路交通法施行规则》第9条之4：关于自行车反光器材的规定。
交通信号,初级,自行车闯红灯的罚款金额是多少？,"5,000日元。","7,000日元。","12,000日元。","6,000日元。",4,"根据罚款标准，自行车闯红灯罚款为6,000日元；无视闪烁信号罚款为5,000日元。",警视厅 自行车门户网站：警视厅《反则行为一览》——闯红灯。
基本规则,初级,根据《道路交通法》第18条，自行车正确的通行位置原则是什么？,只要有人行道，就始终可以在人行道骑行。,原则上应靠道路中央附近通行。,原则上应靠道路左侧边缘通行。,原则上靠道路右侧边缘行驶。,3,包括自行车在内的轻型车辆，原则上必须靠道路左侧边缘行驶。,《道路交通法》第18条：车辆应靠道路左侧通行的规定。
危险行为,初级,根据《道路交通法》第42条，自行车在哪些地点负有减速慢行义务？（节选）,单侧双车道的直线路段（视野良好）。,设有自行车道的道路全路段。,住宅区的所有道路。,左右视线不良的交叉路口（无交通管制、非优先道路）。,4,根据第42条第1项，在没有交通信号控制且视线不良的交叉路口，自行车有减速慢行义务。,《道路交通法》第42条：徐行（减速慢行）义务的规定。
危险行为,初级,夜间骑自行车时，关于灯光和反光装置的义务，哪项正确？,只要佩戴反光带，就不需要开启自行车车灯。,夜间骑行时，必须开启前照灯，并且车辆后部必须装有反光装置或尾灯。,自行车没有关于夜间照明的规定。,即使在夜间，只要有路灯就不需要开车灯。,2,根据《道路交通法》第52条及第63条之9，夜间骑行必须开启前灯，并配备后部反光装置或尾灯。,《自行车安全利用五则》｜警视厅：《道路交通法》第52条、第63条之9（夜间灯光与反光装置）。
停车让行,初级,在设有“停车让行”标志的交叉路口，自行车应履行什么义务？,如果没有来车，就无需停车。,如果在人行道骑行，则与此无关。,必须停车，并确认安全。,只需减速慢行即可。,3,在设有“停车让行”标志的地点，自行车也必须完全停车并确认安全。,警视厅 自行车门户网站：自行车交通规则——一时停止（停车让行）。
侧方通过,初级,关于2026年4月实施的侧方超越规则，哪项说明正确？,仅适用于人行道。,必须始终保持2米以上的间距。,当没有足够侧向间隔时，机动车应以安全速度通过，自行车等应尽量靠道路左侧边缘行驶。,只有自行车有这项义务。,3,自2026年4月实施的侧方通过规则规定：当无法保持足够侧向距离时，机动车应减速安全通过；自行车应尽量靠道路左侧边缘行驶。,警视厅 自行车门户网站：《道路交通法》第18条第3项、第4项（侧方通过规则）。
车灯,初级,自行车无灯光骑行的罚款金额是多少？,"7,000日元。","6,000日元。","5,000日元。","12,000日元。",3,"根据警视厅罚款标准，自行车夜间无灯骑行罚款为5,000日元。",警视厅 自行车门户网站：警视厅《反则行为一览》——夜间无灯骑行。
人行道通行,初级,在允许人行道骑行的情况下，自行车应如何通行？,自行车优先于行人。,只要按铃，就可以让行人让路。,尽可能快速地在人行道中央通行。,以行人为优先，缓慢行驶，妨碍行人时必须停车让行。,4,自行车在人行道上通行时，应以行人优先；没有指定自行车通行区域时，应靠近车道一侧缓慢行驶，妨碍行人时必须停车让行。,警视厅 自行车门户网站：自行车交通规则——在人行道上的通行方法。
基本规则,初级,根据《道路交通法》第17条、第18条，自行车违法通行位置最接近哪一种情形？,靠车道左侧边缘通行。,靠车道右侧边缘通行。,原则上在人行道通行，仅在危险时才在机动车道通行。,可根据情况自由在人行道和车道之间切换。,1,包括自行车在内的轻型车辆，原则上必须靠道路左侧边缘通行。,《自行车安全利用五则》｜警视厅：《道路交通法》第17条、第18条（自行车通行位置规定）。
