カテゴリ,難易度,問題文,選択肢１,選択肢２,選択肢３,選択肢４,正解番号,解説,関連交通ルール
Hành vi nguy hiểm,Trình độ sơ cấp,Phát biểu nào đúng về việc đi song song bằng xe đạp?,Xe đạp thông thường được phép đi song song tối đa 3 xe.,Xe đạp thông thường hoàn toàn không được phép đi song song.,Nếu đi trên vỉa hè thì được phép đi song song bao nhiêu xe cũng được.,Dù có biển cho phép đi song song thì xe đạp thường chỉ được đi song song tối đa 2 xe.,4,"Theo Điều 19 và Điều 63-5, đi song song bị cấm, trừ khi có biển báo cho phép, và khi được phép cũng chỉ tối đa 2 xe.",5 quy tắc sử dụng xe đạp an toàn (Sở Cảnh sát Tokyo) – Điều 19 và Điều 63-5 của Luật Giao thông Đường bộ
Phanh,Trình độ sơ cấp,Phát biểu nào đúng về xe đạp có phanh không đạt tiêu chuẩn?,Chỉ bị cấm khi xuống dốc.,Không được điều khiển xe đạp bị hỏng phanh.,Nếu đi trên vỉa hè thì quy định này không liên quan.,Chỉ cần một phanh hoạt động là được.,2,Không được điều khiển xe đạp bị hỏng phanh vì rất nguy hiểm.,Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – Quy tắc giao thông xe đạp: Điều khiển xe đạp có hệ thống phanh không đạt tiêu chuẩn
Quy tắc cơ bản,Trình độ nâng cao,"Tại giao lộ khuất tầm nhìn không có điều khiển giao thông, xe đạp nên đi như thế nào?",Nếu có vỉa hè thì chỉ cần đi trên vỉa hè mà không cần giảm tốc độ.,"Tại giao lộ khuất tầm nhìn, phải đi chậm và chú ý các phương tiện cũng như người đi bộ trên đường giao cắt.",Dù tầm nhìn bị che khuất nhưng nếu là đường ưu tiên thì về nguyên tắc không cần đi chậm.,"Xe đạp không có nghĩa vụ đi chậm (徐行), chỉ ô tô mới có.",2,"Theo Điều 36 và Điều 42, tại giao lộ khuất tầm nhìn và không có điều khiển giao thông, phải đi chậm và quan sát xe cộ, người đi bộ.",5 quy tắc sử dụng xe đạp an toàn (NPA) – Điều 36 và Điều 42 của Luật Giao thông Đường bộ
Hành vi nguy hiểm,Trình độ nâng cao,"Theo Điều 25-2 Luật Giao thông đường bộ, quy định nào đúng về việc băng qua đường hoặc quay đầu của các phương tiện, bao gồm cả xe đạp?","Khi có nguy cơ cản trở giao thông bình thường của người đi bộ hoặc các phương tiện khác thì không được băng qua đường, quay đầu hoặc chuyển hướng.",Quy định cấm băng qua đường chỉ áp dụng cho ô tô.,Phương tiện có thể tự do quay đầu hoặc băng qua đường nếu chú ý đến các phương tiện khác.,Nếu không có biển báo thì được phép quay đầu hoặc băng qua ở bất kỳ đâu.,1,"Theo Điều 25-2, không được băng qua, quay đầu hoặc lùi xe nếu có nguy cơ cản trở giao thông bình thường của người đi bộ hoặc phương tiện khác.",5 quy tắc sử dụng xe đạp an toàn (NPA) – Điều 25-2 của Luật Giao thông Đường bộ
Quy tắc cơ bản,Trình độ sơ cấp,Quan điểm tổng quát nào là phù hợp nhất về việc sử dụng xe đạp an toàn?,Chỉ cần nghĩ rằng mình gặp xui xẻo là được.,Vì không cần bằng lái nên trách nhiệm khi vi phạm cũng nhẹ hơn.,"Cần hiểu các quy định áp dụng cho xe đạp với tư cách là xe thô sơ, đồng thời nhận thức rõ trách nhiệm và rủi ro khi tham gia giao thông.","Hãy sử dụng xe đạp như người đi bộ, không cần quá để ý các quy tắc chi tiết.",3,"Xe đạp là xe hạng nhẹ, nên người sử dụng phải thực hiện nhiều nghĩa vụ pháp lý và có trách nhiệm; hiểu rõ luật và ý thức an toàn là điều kiện quan trọng để phòng tránh tai nạn.",Quy tắc thi hành Luật Giao thông Đường bộ – Các quy định liên quan đến xe đạp
Ngã tư và việc băng qua đường,Trình độ nâng cao,"Khi đi trên lòng đường, xe đạp phải đi ở vị trí nào là đúng?",Có thể tự do đi ở phía bên phải của đường.,Đi giữa lòng đường.,Nếu có vỉa hè thì không phải tuân theo quy định dành cho lòng đường.,Đi sát mép trái của đường.,4,"Khi đi trên lòng đường, xe đạp phải đi bên trái, đi ngược chiều rất nguy hiểm và dễ gây tai nạn nghiêm trọng.",Cổng thông tin xe đạp của NPA – Quy tắc giao thông xe đạp: Đi bên trái
Lái xe đạp khi cầm ô,Trình độ nâng cao,Cách hiểu nào là phù hợp nhất về việc lái xe bằng một tay?,Luật hoàn toàn không đề cập đến việc lái xe bằng một tay.,Chỉ trẻ em mới bị cấm lái xe bằng một tay.,Lái xe bằng một tay gây mất ổn định có thể dẫn đến vi phạm nghĩa vụ lái xe an toàn.,Nếu không che ô thì lái xe bằng một tay luôn không có vấn đề.,3,"Không chỉ che ô, mà mọi hành vi lái xe bằng một tay gây mất ổn định đều có thể bị coi là vi phạm nghĩa vụ lái xe an toàn; việc đánh giá phụ thuộc vào từng trường hợp.",Cổng thông tin xe đạp của NPA – Quy định của Ủy ban An toàn Công cộng các tỉnh/thành và Điều 70 của Luật Giao thông Đường bộ: Lái xe bằng một tay
Quy tắc cơ bản,Trình độ sơ cấp,"Khi xe đạp thông thường đi trên vỉa hè, người điều khiển có nghĩa vụ gì?","Khi đi trên vỉa hè, người đi xe đạp luôn phải xuống xe và dắt bộ.",Được phép đi nhanh ở gần giữa vỉa hè.,Xe đạp được ưu tiên hơn người đi bộ.,"Khi đi trên vỉa hè, phải đi chậm ở phần gần phía lòng đường và dừng lại nếu cản trở người đi bộ.",4,"Khi đi trên vỉa hè, xe đạp phải đi chậm ở phần gần lòng đường (hoặc phần dành riêng cho xe đạp nếu có), và phải dừng nếu cản trở người đi bộ.",5 quy tắc sử dụng xe đạp an toàn (NPA) – Điều 63-4 khoản 2 của Luật Giao thông Đường bộ
Khóa học bắt buộc dành cho người điều khiển xe đạp,Trình độ nâng cao,Nếu không chấp hành lệnh tham gia khóa học dành cho người vi phạm khi điều khiển xe đạp thì sẽ bị xử lý như thế nào?,Chỉ bị cộng điểm trên giấy phép lái xe.,Không có hình phạt nào.,Chỉ cần nộp 3.000 yên theo vé xanh là kết thúc.,Có thể bị phạt đến 50.000 yên.,4,Không chấp hành lệnh tham gia khóa học dành cho người đi xe đạp có thể bị phạt tiền đến 50.000 yên.,Cổng thông tin xe đạp của NPA – Chế độ đào tạo người điều khiển xe đạp và hình phạt khi không tham gia khóa học
Quy tắc cơ bản,Trình độ nâng cao,"Theo Luật Giao thông đường bộ, nguyên tắc cơ bản về việc xe đạp đi trên vỉa hè là gì?",Không có quy định nào về việc đi xe đạp trên vỉa hè.,Khi cảm thấy nguy hiểm thì bắt buộc phải đi trên vỉa hè.,"Đi trên vỉa hè là nguyên tắc, đi dưới lòng đường là ngoại lệ.","Nguyên tắc là đi trên lòng đường; chỉ được đi trên vỉa hè khi có biển báo, vạch kẻ đường hoặc thuộc đối tượng như trẻ em, người cao tuổi…",4,"Về nguyên tắc, xe đạp phải đi trên lòng đường, chỉ được đi trên vỉa hè khi có biển báo hoặc đáp ứng các điều kiện luật định.",Quy tắc thi hành Luật Giao thông Đường bộ – Điều 63-4 của Luật Giao thông Đường bộ
Chạy quá tốc độ,Trình độ nâng cao,Phát biểu nào đúng về tốc độ của xe đạp?,Xe đạp không bị ràng buộc bởi tốc độ tối đa ghi trên biển báo.,Quy định về chạy quá tốc độ chỉ áp dụng cho xe máy.,Xe thô sơ cũng có lỗi vi phạm về chạy quá tốc độ.,Xe đạp không có khái niệm vi phạm tốc độ.,3,"Theo danh mục vi phạm, xe hạng nhẹ cũng có lỗi chạy quá tốc độ, với mức phạt tùy theo mức vượt quá.",Cổng thông tin xe đạp của NPA – Danh mục vi phạm: Chạy quá tốc độ
Quy định về số người được chở,Trình độ sơ cấp,Nguyên tắc nào đúng về việc chở hai người trên xe đạp?,Luôn luôn được phép.,Trên vỉa hè thì luôn được phép.,Chỉ bị cấm vào ban đêm.,Về nguyên tắc là bị cấm.,4,"Theo hướng dẫn của Sở Cảnh sát Tokyo, chở hai người trên xe đạp về nguyên tắc là bị cấm.",Quy tắc giao thông xe đạp của Sở Cảnh sát Tokyo – Hạn chế chở người: Chở hai người trên xe đạp về nguyên tắc là bị cấm
Xe gắn máy có bàn đạp,Trình độ sơ cấp,Phát biểu nào đúng về các phương tiện có bàn đạp?,Nếu có tay ga (throttle) hoặc không đáp ứng tiêu chuẩn của xe đạp trợ lực điện thì có thể được coi là xe gắn máy chứ không phải xe đạp.,Mọi phương tiện có bàn đạp đều không cần bằng lái.,Chỉ cần có bàn đạp thì không cần biển số.,Chỉ cần có bàn đạp thì chắc chắn là xe đạp.,1,"Theo Sở Cảnh sát Tokyo, dù có bàn đạp nhưng nếu có tay ga hoặc không đạt tiêu chuẩn xe đạp trợ lực điện, phương tiện có thể bị coi là xe gắn máy hoặc ô tô, không phải xe đạp.",Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – Thúc đẩy sử dụng xe đạp an toàn: Xe gắn máy có bàn đạp
Hành vi nguy hiểm,Trình độ nâng cao,"Theo tinh thần Điều 54 của Luật Giao thông đường bộ, việc sử dụng còi xe đạp như thế nào là đúng?",Có thể bấm chuông liên tục để yêu cầu người đi bộ nhường đường.,Quy định về sử dụng còi chỉ áp dụng cho ô tô.,Chỉ được bấm chuông tại nơi khuất tầm nhìn theo biển báo hoặc khi thật sự cần thiết để phòng tránh nguy hiểm.,Trong khu vực nội thành hoàn toàn cấm sử dụng còi.,3,"Theo Điều 54, chỉ được sử dụng còi khi có biển báo yêu cầu tại nơi khuất tầm nhìn hoặc khi cần thiết để tránh nguy hiểm; ngoài các trường hợp đó thì không được sử dụng còi tùy tiện.",5 quy tắc sử dụng xe đạp an toàn (NPA) – Điều 54 của Luật Giao thông Đường bộ
Quy tắc cơ bản,Trình độ nâng cao,Mức độ khuyết tật cơ thể gây cản trở việc điều khiển ô tô an toàn được quy định trong phụ lục của luật nào?,Luật Phúc lợi Người khuyết tật.,Luật Phương tiện giao thông đường bộ.,Dùng để thúc đẩy việc sử dụng xe đạp.,Luật Tiêu chuẩn Lao động.,1,Điều 9-2-3 áp dụng tiêu chuẩn khuyết tật theo Phụ lục của Luật Phúc lợi Người khuyết tật.,Quy tắc thi hành Luật Giao thông Đường bộ – Điều 9-2-3
Hành vi nguy hiểm,Trình độ nâng cao,"Theo Luật Giao thông đường bộ, nơi nào cấm dừng hoặc đỗ xe đạp?",Khu vực được chỉ định làm bãi đỗ xe đạp.,Đi giữa lòng đường.,Có thể đỗ xe ở bất kỳ vị trí nào trên vỉa hè mà xe đạp không lưu thông.,Trên vạch qua đường và trong phạm vi khoảng cách nhất định trước và sau vạch qua đường.,4,"Khu vực gần vạch qua đường và ngã tư là nơi cấm dừng, đỗ xe. Xe đạp cũng như các phương tiện khác không được đỗ tại những nơi bị cấm này.",Luật Giao thông Đường bộ – Điều 44 và Điều 45
Sử dụng tai nghe,Trình độ sơ cấp,Hành vi đeo tai nghe khiến không nghe được âm thanh xung quanh thường liên quan đến loại vi phạm nào và mức tiền phạt tương ứng là gì?,Không bật đèn: 5.000 yên.,Vượt đèn đỏ: 6.000 yên.,Vi phạm quy định của Ủy ban An toàn Công cộng: 5.000 yên.,Sử dụng điện thoại khi cầm trên tay: phạt 12.000 yên.,3,"Quy định về việc đeo tai nghe khi đi xe đạp do Ủy ban An toàn Công cộng của từng địa phương ban hành. Trong danh mục vi phạm, hành vi này được xếp vào nhóm vi phạm quy định của Ủy ban An toàn Công cộng. Do quy định khác nhau giữa các địa phương nên cần kiểm tra theo từng nơi cụ thể.",Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – Danh mục vi phạm: Vi phạm quy định của Ủy ban An toàn Công cộng
Quy tắc cơ bản,Trình độ nâng cao,"Tại giao lộ không có làn đường dành cho xe đạp băng qua, xe đạp nên băng qua như thế nào?",Bắt buộc phải đi xe đạp trên vạch sang đường dành cho người đi bộ.,"Tại ngã tư, đi thẳng hoặc rẽ theo quy tắc dành cho phương tiện rồi băng qua giao lộ.",Có thể băng qua đường theo đường chéo từ bất kỳ vị trí nào.,Luôn phải xuống xe và dắt bộ như người đi bộ khi sang đường.,2,"Nếu không có làn dành riêng cho xe đạp qua đường, xe đạp phải băng qua giao lộ theo quy tắc dành cho phương tiện giao thông.",Quy tắc thi hành Luật Giao thông Đường bộ – Điều 24-2 và Điều 62-7 của Luật Giao thông Đường bộ
Hình phạt và trách nhiệm,Trình độ nâng cao,Trách nhiệm bồi thường thiệt hại trong tai nạn xe đạp được giải thích đúng nhất là gì?,Ngay cả tai nạn xe đạp cũng có thể phải bồi thường rất lớn theo trách nhiệm bồi thường thiệt hại ngoài hợp đồng của Bộ luật Dân sự.,"Người chịu trách nhiệm là cửa hàng bán xe đạp, người điều khiển không phải chịu trách nhiệm.",Mọi tai nạn xe đạp đều được bảo hiểm y tế chi trả nên không phát sinh trách nhiệm bồi thường.,"Vì xe đạp là xe hạng nhẹ, nên dù gây tai nạn cũng không phải bồi thường thiệt hại",1,"Theo Điều 709 của Bộ luật Dân sự và các quy định liên quan, đã có nhiều vụ án mà người gây tai nạn bằng xe đạp bị buộc bồi thường thiệt hại với số tiền rất lớn.",
Quy tắc cơ bản,Trình độ sơ cấp,"Khi đi xe đạp qua vạch dành cho người đi bộ để sang đường, phải tuân theo tín hiệu đèn nào?",Luôn chỉ phải tuân theo đèn tín hiệu dành cho người đi bộ.,"Nếu có đèn tín hiệu ghi ""Dành cho người đi bộ và xe đạp"" thì phải tuân theo tín hiệu đó.",Luôn chỉ tuân theo đèn tín hiệu dành cho xe.,Chỉ cần đèn xanh thì theo tín hiệu nào cũng được.,2,Nếu có đèn tín hiệu dành riêng cho người đi bộ và xe đạp thì người đi xe đạp phải tuân theo tín hiệu đó.,Luật Giao thông Đường bộ – Điều 7: Nghĩa vụ tuân thủ tín hiệu đèn giao thông
Quy tắc cơ bản,Trình độ sơ cấp,"Theo Điều 2 của Luật Giao thông đường bộ, xe đạp được xếp vào loại phương tiện nào?",Người đi bộ.,Không thuộc bất kỳ phân loại nào.,Ô tô.,Xe hạng nhẹ (軽車両).,4,"Theo Điều 2 của Luật Giao thông Đường bộ, xe đạp được xếp vào loại ""phương tiện hạng nhẹ"". Vì vậy, xe đạp phải tuân theo các quy tắc giao thông áp dụng cho phương tiện hạng nhẹ.",5 quy tắc sử dụng xe đạp an toàn (Sở Cảnh sát Tokyo) – Điều 2 của Luật Giao thông Đường bộ
Quy tắc cơ bản,Trình độ nâng cao,"Khi đi từ vỉa hè xuống lòng đường, người đi xe đạp nên điều khiển như thế nào để phù hợp với nghĩa vụ lái xe an toàn?",Nếu đèn tín hiệu dành cho xe màu xanh thì không cần kiểm tra an toàn.,"Chỉ kiểm tra xem có vạch qua đường hay không, không cần quan sát xe cộ trên lòng đường.",Đi từ vỉa hè xuống lòng đường với cùng tốc độ như khi đi trên vỉa hè.,"Phải dừng hoặc đi chậm, quan sát kỹ xe cộ và người đi bộ trước khi đi vào.",4,"Khi đi từ vỉa hè hoặc nơi khác vào lòng đường, phải quan sát và kiểm tra an toàn đầy đủ để tránh va chạm với các phương tiện và người đi bộ.",Luật Giao thông Đường bộ – Điều 112 và Điều 38
Chạy quá tốc độ,Trình độ nâng cao,Mức tiền phạt đối với xe hạng nhẹ chạy quá tốc độ dưới 15 km/h là bao nhiêu?,5.000 yên.,6.000 yên.,7.000 yên.,10.000 yên.,2,"Theo danh mục mức phạt của Cơ quan Cảnh sát Quốc gia, xe đạp (phương tiện hạng nhẹ) chạy quá tốc độ dưới 15 km/h sẽ bị phạt 6.000 yên.",Cổng thông tin xe đạp của NPA – Danh mục vi phạm: Chạy quá tốc độ
Dừng hẳn,Trình độ nâng cao,Mức tiền phạt đối với lỗi không dừng xe tại vị trí bắt buộc dừng của xe đạp là bao nhiêu?,5.000 yên.,6.000 yên.,7.000 yên.,12.000 yên.,1,"Theo danh mục mức phạt, lỗi không dừng tại nơi có biển ""Dừng lại"" đối với xe đạp bị phạt 5.000 yên.",Cổng thông tin xe đạp của NPA – Danh mục vi phạm: Không dừng tại vị trí bắt buộc phải dừng
Hệ thống vé phạt xanh,Trình độ nâng cao,Trường hợp nào thường được xử lý theo thủ tục hình sự thay vì áp dụng vé phạt xanh?,Không sử dụng chuông.,Yên xe điều chỉnh sai độ cao.,Lỗi không bật đèn ở mức nhẹ.,Vi phạm nghiêm trọng như lái xe khi say rượu hoặc có nồng độ cồn.,4,"Theo hướng dẫn về chế độ xử phạt, các hành vi nghiêm trọng như lái xe khi có rượu hoặc say rượu, hoặc gây tai nạn, thường sẽ bị xử lý theo thủ tục hình sự (phiếu đỏ).",Cổng thông tin xe đạp của Sở Cảnh sát Tokyo / Cổng thông tin Chính phủ – Phân biệt vé phạt xanh và vé phạt đỏ
Hành vi nguy hiểm,Trình độ nâng cao,Trách nhiệm pháp lý trong tai nạn xe đạp được giải thích như thế nào là phù hợp?,Nếu gây thiệt hại cho người khác do lỗi của mình thì có thể phải bồi thường một khoản tiền rất lớn.,Xe đạp không có bảo hiểm.,"Trong tai nạn xe đạp, người gây tai nạn không phải chịu trách nhiệm bồi thường.",Chỉ khi tai nạn với người đi bộ mới phát sinh trách nhiệm pháp lý.,1,"Ngay cả tai nạn xe đạp cũng có thể dẫn đến trách nhiệm bồi thường lên tới hàng chục triệu yên nếu nạn nhân bị di chứng nặng. Vì vậy, việc tham gia bảo hiểm xe đạp được khuyến khích mạnh mẽ.",Bộ luật Dân sự và Luật Giao thông Đường bộ – Điều 709 và các quy định liên quan
Quy tắc cơ bản,Trình độ nâng cao,Điều kiện nào phù hợp nhất để được coi là xe đạp thông thường theo Luật Giao thông đường bộ?,Xe gắn máy chỉ chạy bằng động cơ.,Chỉ cần có bàn đạp thì bất kể kích thước thế nào cũng đều là xe đạp thông thường.,"Xe đạp có kích thước và cấu tạo phù hợp tiêu chuẩn, không kéo theo phương tiện khác.",Chỉ cần là xe đạp có từ 3 bánh trở lên thì đều được coi là xe đạp thông thường.,3,Xe đạp thông thường là xe đáp ứng các tiêu chuẩn về kích thước và cấu tạo theo quy định của Nội các Nhật Bản và không kéo theo phương tiện khác.,"5 quy tắc sử dụng xe đạp an toàn (NPA) – Điều 2, Điều 63-3 của Luật Giao thông Đường bộ và Điều 9-2 của Quy tắc thi hành"
Đèn giao thông,Trình độ nâng cao,Phát biểu nào đúng nhất về tín hiệu đèn giao thông mà xe đạp phải tuân theo?,Luôn chỉ cần tuân theo đèn tín hiệu dành cho người đi bộ.,Xe đạp không thuộc đối tượng phải tuân thủ tín hiệu giao thông.,Phải tuân theo tín hiệu giao thông đối diện tương ứng với cách mình đang lưu thông.,Luôn chỉ tuân theo đèn tín hiệu dành cho xe cơ giới.,3,"Theo hướng dẫn của Cơ quan Cảnh sát Quốc gia, khi đi trên lòng đường phải tuân theo đèn tín hiệu dành cho xe; khi đi trên vỉa hè thì tùy tình huống phải tuân theo đèn dành cho người đi bộ. Nói chung phải tuân theo đèn tín hiệu đối diện với hướng di chuyển của mình.",Cổng thông tin xe đạp của NPA – Quy tắc giao thông: Đi bên trái và tuân thủ tín hiệu giao thông đối diện
Hệ thống vé phạt xanh,Trình độ nâng cao,Nếu không nộp tiền phạt sau khi nhận vé phạt xanh đối với xe đạp thì sẽ như thế nào?,Chỉ bị cộng điểm trên giấy phép lái xe.,Chắc chắn sẽ bị bắt ngay trong ngày.,Tự động mất hiệu lực.,"Sau khi làm thủ tục tại Trung tâm thông báo vi phạm, nếu vẫn không nộp tiền phạt thì có thể bị chuyển sang thủ tục tố tụng hình sự.",4,"Nếu không nộp tiền phạt tạm thời, vụ việc sẽ được chuyển đến Trung tâm Thông báo xử phạt. Nếu vẫn không nộp thì có thể bị chuyển sang thủ tục tố tụng hình sự.",Cổng thông tin xe đạp của NPA – Thủ tục khi không nộp tiền phạt
Quy tắc cơ bản,Trình độ nâng cao,"Khi đi trên đường có biển báo ""Dành riêng cho xe đạp và người đi bộ"", xe đạp phải đi như thế nào?",Xe đạp được ưu tiên hơn người đi bộ nên có thể đi không giới hạn tốc độ.,Luật Giao thông đường bộ không có quy định nên được tự do lưu thông.,Luôn phải xuống xe và dắt bộ.,Đi với tốc độ và phương thức không cản trở người đi bộ.,4,"Trên đường dành cho cả người đi bộ và xe đạp, xe đạp được phép đi nhưng phải chạy với tốc độ và cách thức không cản trở người đi bộ.",Luật Giao thông Đường bộ – Điều 2 và Điều 63-4
Hành vi nguy hiểm,Trình độ nâng cao,"Theo Điều 65 của Luật Giao thông đường bộ, quy định nào đúng về việc lái xe đạp sau khi uống rượu?",Cấm điều khiển phương tiện (bao gồm cả xe đạp) khi có nồng độ cồn trong cơ thể.,"Chỉ người cung cấp rượu bị xử phạt, người điều khiển xe không bị xử phạt.",Dù có nồng độ cồn nhưng nếu không loạng choạng thì không có vấn đề.,"Vì xe đạp không phải là phương tiện giao thông, nên không bị điều chỉnh bởi quy định về lái xe sau khi uống rượu.",1,"Theo Điều 65 của Luật Giao thông Đường bộ, việc điều khiển phương tiện khi có nồng độ cồn là bị cấm và quy định này cũng áp dụng đối với xe đạp.",5 quy tắc sử dụng xe đạp an toàn (NPA) – Điều 65 của Luật Giao thông Đường bộ
Quy tắc cơ bản,Trình độ nâng cao,"Trên đường dành cho xe đạp và người đi bộ có biển báo tương ứng, xe đạp phải lưu thông như thế nào?",Luôn phải xuống xe và dắt bộ.,Luật Giao thông đường bộ không có quy định nên được tự do lưu thông.,Xe đạp được ưu tiên hơn người đi bộ nên có thể đi không giới hạn tốc độ.,Đi với tốc độ và phương thức không cản trở người đi bộ.,4,"Trên đường dành cho người đi bộ và xe đạp, xe đạp được phép lưu thông nhưng phải đi với tốc độ và cách thức không gây cản trở cho người đi bộ.",Luật Giao thông Đường bộ – Điều 2 và Điều 63-4
Vượt xe với khoảng cách an toàn bên hông,Trình độ nâng cao,"Quy định về khoảng cách ""khoảng 1 mét"" và tốc độ ""khoảng 20–30 km/h"" khi vượt xe bên cạnh được hiểu như thế nào?",Tiêu chuẩn này chỉ áp dụng cho phía xe đạp.,Tiêu chuẩn chỉ áp dụng cho đường cao tốc.,Là tiêu chuẩn tuyệt đối được ghi rõ trong luật.,"Đây chỉ là tiêu chuẩn tham khảo, việc đánh giá sẽ dựa trên tình huống cụ thể.",4,"Theo tài liệu của Cơ quan Cảnh sát Quốc gia, khoảng cách khoảng 1 m hoặc tốc độ khoảng 20–30 km/h chỉ là giá trị tham khảo. Việc đánh giá sẽ phụ thuộc vào điều kiện đường sá và tình hình giao thông thực tế.",Cổng thông tin xe đạp của NPA – Tài liệu hướng dẫn về quy tắc vượt bên cạnh và cách lưu thông
Hành vi nguy hiểm,Trình độ nâng cao,"Theo Điều 63-9 của Luật Giao thông đường bộ và Điều 9-3 của Quy định thi hành, tiêu chuẩn đối với hệ thống phanh của xe đạp là gì?",Xe đạp đua thì dù đi trên đường công cộng cũng không cần phanh.,Chỉ cần phanh được bánh trước hoặc bánh sau là đủ.,"Phải có khả năng phanh cả bánh trước và bánh sau, đồng thời dừng xe an toàn trong khoảng cách quy định.",Nếu có thể dùng chân cà xuống đất để dừng xe thì không cần phanh.,3,"Bicycles must be equipped with brakes that can stop both the front and rear wheels, and the braking performance must allow the bicycle to stop smoothly within the prescribed distance.",5 quy tắc sử dụng xe đạp an toàn (NPA) – Điều 63-9 của Luật Giao thông Đường bộ và Điều 9-3 của Quy tắc thi hành
Mũ bảo hiểm,Trình độ sơ cấp,Địa vị pháp lý của việc đội mũ bảo hiểm khi đi xe đạp là gì?,Việc đội mũ bảo hiểm là bắt buộc và nếu không đội sẽ bị phạt theo chế độ vé xanh.,"Hoàn toàn tự nguyện, pháp luật không hề quy định.","Chỉ là nghĩa vụ cố gắng thực hiện, việc không đội mũ bảo hiểm tự nó không bị phạt tiền.",Không đội mũ bảo hiểm sẽ bị đình chỉ giấy phép lái xe.,3,Wearing a bicycle helmet is a legal obligation to make an effort (not mandatory). There is no traffic fine simply for not wearing one.,Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – Điều 63-11 của Luật Giao thông Đường bộ
Xe gắn máy điện hạng nhỏ (Tokutei Kogata Gentsuki),Trình độ sơ cấp,Giới hạn độ tuổi đối với xe gắn máy điện cỡ nhỏ đặc định (特定小型原動機付自転車) là bao nhiêu?,Từ 15 tuổi trở lên.,Từ 13 tuổi trở lên.,Không có giới hạn độ tuổi.,Dưới 16 tuổi thì bị cấm.,4,"A specified small motorized bicycle does not require a driver's license, but riding one is prohibited for anyone under the age of 16.",Cổng thông tin xe đạp của Sở Cảnh sát Tokyo – Quy tắc giao thông đối với xe gắn máy điện hạng nhỏ (Tokutei Kogata Gentsuki): Giới hạn độ tuổi
Quy tắc cơ bản,Trình độ nâng cao,"Trong các phương án sau, phương án nào có khả năng đáp ứng đầy đủ các tiêu chuẩn của xe đạp thông thường theo Quy định thi hành?","Dài 180 cm, rộng 65 cm, hai bánh, không có thùng xe bên, chỉ có yên người lái và ghế trẻ em.","Dài 185 cm, rộng 55 cm, hai bánh, không có thùng xe bên, chỉ có yên người lái và ghế trẻ em, có phanh trước và sau.","Dài 195 cm, rộng 55 cm, ba bánh, không có thùng xe bên, chỉ có ghế lái và băng ghế phía sau.","Dài 185 cm, rộng 55 cm, 5 bánh, không có thùng xe bên, chỉ có ghế người lái.",2,"Only option 2 naturally satisfies all the requirements regarding length, width, number of wheels (four or fewer), seating equipment (no seats other than child seats), braking equipment, and other specifications.",Quy tắc thi hành Luật Giao thông Đường bộ – Điều 9-2-2
Hình phạt và trách nhiệm,Trình độ sơ cấp,"Khi trẻ em hoặc trẻ nhỏ ngồi trên xe đạp, trách nhiệm của người giám hộ về việc đội mũ bảo hiểm là gì?",Nhà trường chứ không phải phụ huynh chịu trách nhiệm.,Người giám hộ có nghĩa vụ cố gắng để trẻ em đội mũ bảo hiểm khi đi xe đạp.,"Người giám hộ bắt buộc phải cho trẻ đội mũ bảo hiểm, nếu vi phạm sẽ bị xử phạt hình sự ngay.","Việc đội mũ bảo hiểm hoàn toàn tự nguyện, pháp luật không có quy định.",2,"Under Article 63-11 of the Road Traffic Act, parents or guardians have a duty to make efforts to ensure that children wear helmets.",Luật Giao thông Đường bộ – Điều 63-11
Sự khác nhau về quy định đội mũ bảo hiểm,Trình độ nâng cao,Phát biểu nào đúng nhất về quy định đội mũ bảo hiểm?,"Xe đạp bắt buộc phải đội mũ bảo hiểm hoàn toàn, còn xe gắn máy điện loại nhỏ thì không cần.",Mọi phương tiện có hình dáng giống xe đạp đều áp dụng cùng quy định về mũ bảo hiểm.,"Xe đạp, xe máy điện loại nhỏ đặc biệt và xe máy thông thường là các loại phương tiện khác nhau về mặt pháp lý, quy định về mũ bảo hiểm cũng không giống nhau.","Dù là xe máy, chỉ cần có bàn đạp thì không cần đội mũ bảo hiểm.",3,"Bicycles, specified small motorized bicycles, and standard mopeds are legally different vehicle categories. Even if they look similar, they are not subject to the same helmet rules.",Cổng thông tin xe đạp của Cơ quan Cảnh sát Quốc gia Nhật Bản (NPA) – Tài liệu: Sự khác biệt giữa xe đạp và xe gắn máy điện hạng nhỏ
Chính sách xử lý vi phạm giao thông,Trình độ nâng cao,"Theo mục Hỏi & Đáp của Cơ quan Cảnh sát Quốc gia, trường hợp chỉ đơn thuần đi trên vỉa hè được giải thích như thế nào?",Về nguyên tắc chỉ bị nhắc nhở hoặc cảnh cáo.,Không bị coi là vi phạm.,Chắc chắn sẽ bị lập biên bản đỏ.,Về nguyên tắc sẽ bị lập biên bản phạt (thẻ xanh) ngay.,1,"According to the National Police Agency's FAQ, simply riding on a sidewalk is generally handled with guidance or a warning rather than a citation.",Cổng thông tin xe đạp của NPA – FAQ: Ví dụ về các trường hợp chỉ bị hướng dẫn hoặc cảnh cáo
