問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
87,施行規則第9条の5では、自転車を含む車両の運転者が、安全な運転に必要な周りの音が聞こえへんような状態で音楽を聴きながら運転することを禁止しとるで。,上級,危険行為,〇,"同条では、携帯音楽プレーヤーなどを使って、必要な音が聞こえへん状態で運転することを禁止しとるで。
道路交通法施行規則",道路交通法施行規則 第9条の5 携帯音楽プレーヤー等の利用で安全な運転に必要な周囲の交通に関する音が聞こえない状態での運転を禁止している。
88,反射器材や尾灯の義務は主に夜に通るときの話やけど、トンネルなどの場合もあるから、昼やからといって一切付けんでええとは言い切れへんで。,上級,基本ルール,〇,"夜以外でも、トンネルを通るときなどは灯火義務が課される場合があるから、安全面から見ても常に装備しとくことが勧められとるで。
道路交通法施行規則",道路交通法 第52条、第63条の9第2項 反射器材や尾灯の義務は基本的に夜間に関するものであるが、安全上は昼間も装備が推奨される。
89,自転車は、自転車横断帯があるかどうかに関係なく、歩行者やほかの車両などの正常な通行を妨げるおそれがある場合は、横断したらあかんとされとるで。,上級,危険行為,〇,"道路交通法第25条の2と第63条の7では、ほかの交通の安全を妨げるような横断は禁止されとるで。
道路交通法施行規則",道路交通法 第63条の7、第25条の2 横断歩道や自転車横断帯における自転車の横断方法と、他の交通の妨害禁止。
90,自転車を運転しながらスマートフォンの画面を見続けることは、安全運転義務違反（道路交通法第70条）に当たる可能性があるで。,上級,危険行為,〇,"前をしっかり見て運転する義務を怠る行為として、各地の取締りでも問題視されとるで。
道路交通法施行規則",道路交通法第70条 安全運転義務違反として、注視しながらのスマートフオン操作等が問題となる。
91,自転車には警音器（ベル）を付けることが、道路交通法施行規則で義務付けられとるで。,上級,基本ルール,〇,"施行規則第9条の1では、おおむね自動車などと同じように、警音器（ベル）を備えなあかんことが定められとるで。
道路交通法施行規則",道路交通法施行規則第9条の1 自転車には普音器（ベル）を備え付けることが義務付けられている。
92,自転車のベルを、歩行者をどかすためにむやみに鳴らすことは、道路交通法上適切な警音器の使用とは認められへんで。,上級,危険行為,〇,"第54条では、警音器を使う場面は必要な場合に限られとって、歩行者をどかすためにむやみに鳴らすことは好ましくないとされとるで。
道路交通法施行規則",道路交通法第54条 普音器（ベル）は必要な場合に限り使用すべきで、歩行者どかし目的の乱用は禁止される。
93,今は、すべての自転車利用者について、乗車用ヘルメットをかぶることが努力義務として定められとるで。,上級,基本ルール,〇,"改正された道路交通法によって、すべての年齢の人を対象に、ヘルメットをかぶるよう努めなあかんことになったで。
道路交通法施行規則",道路交通法 第63条の11（改正） すべての自転車利用者に対する乗車用ヘルメット着用 努力義務が導入されている。
94,酒気帯び運転や酒酔い運転の禁止規定は、自転車の運転にも適用されるで。,上級,罰則•責任,〇,道路交通法第65条では、「何人も酒気を帯びて車両などを運転したらあかん」と定められとって、自転車もその対象に含まれとるで。道路交通法施行規則,道路交通法 第65条 酒気帯び・酒酔い運転の禁止は自転車にも適用される。
95,制動装置が付いてへん、いわゆるノーブレーキピストなどで道路を通ると、整備不良車両として罰則の対象になることがあるで。,上級,罰則・責任,〇,"第63条の9の条件を満たしてへん車両で通ることは、道路交通法違反として取締りの対象になるで。
道路交通法施行規則",道路交通法 第63条の9、第120条 制動装置のない自転車での通行は違反となり、罰則の対象にもなりうる。
96,自転車にも、最高速度の標識とは別に、道路や交通の状況に応じた安全な速度で走らなあかん義務があるで。,上級,危険行為,〇,"道路交通法第22条と第70条に基づいて、自転車にもそのときの状況に応じた適切な速度で走らなあかん義務があるで。
道路交通法施行規則",道路交通法第22条、第70条 自転車にも、最高速度規制だけでなく「状況に応じた安全な速度」で走行する義務がある。
,,,,,,
