Categoría,Nivel de dificultad,Enunciado del problema,Opción 1,Opción 2,Opción 3,Opción 4,Número de respuesta correcto,Resumen,Normas de tráfico relacionadas
Ciclomotor con pedales,初級,¿Cuál de las siguientes afirmaciones sobre vehículos con pedales es correcta?,"Si el sistema tiene acelerador o no cumple con los estándares de asistencia eléctrica, puede clasificarse como ciclomotor, etc., en lugar de bicicleta.",No todos los vehículos con pedales requieren carné,"Si tiene pedales, no hace falta matrícula.","Si tiene pedales, definitivamente es una bicicleta.",1,"El Departamento de Policía Metropolitana ha informado de que, incluso si hay pedales presentes, aquellos con acelerador o que no cumplan los estándares de asistencia eléctrica pueden clasificarse como bicicletas motorizadas o automóviles, no como bicicletas.",Artículo 63-7 de la Ley de Tráfico Vial
acto peligroso,上級,¿Cuál de las siguientes opciones se alinea con la intención del Artículo 54 de la Ley de Tráfico Circulante respecto al uso de alarmas para bicicletas?,Designado como plaza de aparcamiento para bicicletas,Las normativas relativas al uso de dispositivos de alarma solo se aplican a los automóviles,"Los sonidos se emiten cuando se señalan con señales en lugares con mala visibilidad a la izquierda o derecha, o cuando es inevitable evitar el peligro",El uso de alarmas acústicas está completamente prohibido en zonas urbanas,3,"El artículo 54 de la Ley de Tráfico Vial prohíbe el uso de una alarma sonora cuando se designan señales cerca de intersecciones con mala visibilidad, o cuando es inevitable para evitar peligros, y otros usos innecesarios están prohibidos",Cinco normas para el uso seguro de bicicletas | Departamento de Policía Metropolitana de Tokio
Reglas básicas,上級,¿Qué ley considera una discapacidad física que dificulta circular con seguridad por la carretera en coche ordinario una discapacidad que aparece en el apéndice de qué ley?,Ley de Bienestar para Personas con Discapacidades Físicas,Ley de Vehículos de Transporte por Carretera,Por promover el uso de bicicletas,El uso de alarmas acústicas está completamente prohibido en zonas urbanas,1,El artículo 9-2-3 aplica mutatis mutandis a las discapacidades enumeradas en el Apéndice de la Ley de Bienestar de las Personas con Discapacidades Físicas,Artículo 19 y 63-5 de la Ley de Tráfico Circulatorio
acto peligroso,上級,"En cuanto al aparcamiento para bicicletas, ¿qué lugares se consideran ""prohibidos aparcar o detenerse"" según la Ley de Tráfico?",Designado como plaza de aparcamiento para bicicletas,Centro de la carretera,Cualquier lugar en las aceras donde no se permitan las bicicletas,Pasos de peatones y las zonas a cierta distancia antes y después de ellas,4,"Aparcar y parar son zonas prohibidas cerca de pasos de peatones e intersecciones, y las bicicletas, al igual que otros vehículos, no pueden aparcar en ciertas zonas",Portal de Bicicletas del Departamento de Policía Metropolitana
Uso de auriculares,初級,¿Qué combinación de tipos de infracción y multas es la más adecuada para conducir cuando no se pueden oír los sonidos ambientales con los auriculares?,Sin iluminación / 5.000 yenes,Evasión de semáforo / 6.000 yenes,Violación del cumplimiento de la Comisión de Seguridad Pública / 5.000 yenes,"Uso de móvil, etc. (retención) / 12.000 yenes",3,"Las normativas sobre auriculares derivan de las normativas de la Comisión de Seguridad Pública de la prefectura y se clasifican como infracciones de los elementos de cumplimiento de la Comisión de Seguridad Pública en la lista de actos ilícitos. Debido a que existen diferencias de estatus y de redacción de las normas, la verificación individual es necesaria en la práctica.",Normas de tráfico en bicicleta del Departamento de Policía Metropolitana Conducción en bicicleta con sistema de frenos defectuoso
Reglas básicas,上級,¿Qué método es más adecuado para que las bicicletas crucen en intersecciones sin carriles para bicicletas?,Es obligatorio ir en bicicleta por los pasos de peatones,"En los cruces, los vehículos cruzan mientras van rectos o giran a la derecha según el método de tráfico vehicular",Puedes cruzar en diagonal desde cualquier ubicación,Debes bajarte de la bicicleta y cruzar como peatón.,2,"Si no hay zona de cruce para bicicletas, las bicicletas cruzarán como vehículos siguiendo los principios del tráfico de intersección",Cinco normas para el uso seguro de bicicletas | Agencia Nacional de Policía
Sanciones y responsabilidades,上級,¿Qué método es más adecuado para que las bicicletas crucen en intersecciones sin carriles para bicicletas?,"Incluso en accidentes de bicicleta, se pueden ordenar órdenes de compensación elevadas basándose en responsabilidad civil","El concesionario de bicicletas es responsable, y el conductor no es responsible","Todos los accidentes de bicicleta están cubiertos por el seguro médico, por lo que no hay problema de compensación","Dado que las bicicletas son vehículos ligeros, no hay responsabilidad por daños incluso si se produce un accidente por lesiones personales",1,"Existen numerosos precedentes que ordenan daños elevados incluso en accidentes de bicicleta, basados en el artículo 709 del Código Civil y otras disposiciones",Artículos 36 y 42 de la Ley de Tráfico Vial
Reglas básicas,初級,"Cuando cruzas un paso de peatones en bicicleta, ¿qué semáforos deberías seguir?",Siempre solo en semáforos peatonales,"Si hay una señal peatonal marcada como 'Solo peatones y bicicletas', esa señal",Siempre solo en señales de vehículos,Cualquiera de los dos colores está bien siempre que sea azul.,2,"Si existen señales exclusivas para peatones y bicicletas, las bicicletas deben cumplir con esas señales.",Cinco normas para el uso seguro de bicicletas | Agencia Nacional de Policía
Reglas básicas,初級,¿En qué categoría especifica el Artículo 2 de la Ley de Tráfico Vial en la que entran las bicicletas?,peatón,Sin clasificación,Automóvil,Vehículos ligeros,4,"El artículo 2 de la Ley de Tráfico Vial define las bicicletas como ""vehículos ligeros"". Por lo tanto, las normas de tráfico se aplican a las bicicletas como vehículos ligeros.",Artículo 25-2 de la Ley de Tráfico Vial
Reglas básicas,上級,¿Qué método de conducir en bicicleta se ajusta mejor a la obligación de conducir con seguridad al entrar en la carretera desde una acera?,"Si el semáforo del vehículo está en verde, no se requieren controles de seguridad","En lugar de controlar el tráfico en la carretera, solo la presencia de un paso de peatones",Entrar en la calzada a la misma velocidad que en la acera,Para o reduce la velocidad y revisa a fondo los movimientos de vehículos y peatones antes de entrar,4,"Al entrar en el carril de 4 carriles, se requieren revisiones de seguridad exhaustivas para evitar el contacto con otros vehículos y peatones.",Reglamentos de Aplicación de la Ley de Tráfico Vial
Exceso de velocidad,上級,"En cuanto a la exceso de velocidad por parte de vehículos ligeros, ¿cuál es la multa por ir a menos de 15 km/h?",5.000 yenes,"6,000円",7.000 yenes,10.000 yenes,2,"Según la lista de infracciones de la Agencia Nacional de Policía, el exceso de velocidad con un vehículo ligero cuesta 6.000 yenes por exceso de velocidad inferior a 15 km/h",Ley de Tráfico Vial y Leyes Relacionadas con la Bicicleta - Sowa
pausa,上級,¿Cuál de las siguientes es la penalización correcta por no parar en lugares designados para bicicletas?,5.000 yenes,6.000 yenes,7.001 yenes,12.000 yenes,1,"Según la lista de actos ilegales de la Agencia Nacional de Policía, la sanción por un vehículo ligero en un lugar designado para inactividad temporal es de 5.000 yenes",Portal de Bicicletas de la Agencia Nacional de Policía
Sistema de Billetes Verdes,上級,¿Cuál es el ejemplo más adecuado de un procedimiento penal gestionado en lugar de un ticket azul?,Campanas sin usar,6.000 yenes,Falta menor de luces,Infracciones graves como estar bajo los efectos de los efectos del alcohol o conducir bajo los efectos del alcohol,4,"La explicación del sistema explica que en casos de infracciones graves como intoxicación o intoxicación, o en caso de accidente, la persona con la multa roja tiene más probabilidades de caer en el proceso penal.",Normas de tráfico ciclista de la Agencia Nacional de Policía: Circular por el lado izquierdo
acto peligroso,上級,¿Cuál de las siguientes explicaciones generales es adecuada sobre la responsabilidad legal en accidentes de bicicleta?,"Si causas daños a otros, la negligencia puede conllevar una alta responsabilidad por los daños.",No hay seguro para bicicletas.,"En los accidentes de bicicleta, el autor no es responsable de compensación.",La responsabilidad solo surge en caso de accidente que involucre a un peatón.,1,"En los accidentes de bicicleta, los casos con secuelas graves pueden conllevar una responsabilidad de decenas de millones de yenes, por lo que se recomienda encarecidamente contratar un seguro para bicicletas",Portal de Bicicletas de la Agencia Nacional de Policía
Reglas básicas,上級,"¿Cuál es la explicación más adecuada para las condiciones que califican como ""bicicletas estándar"" según la Ley de Tráfico Vial?",Bicicletas motorizadas que circulan únicamente por un vehículo motorizado,"Mientras tenga pedales, todas las bicicletas son de serie independientemente de la talla.",Bicicletas cuyo tamaño y estructura corporal cumplen con los estándares y no remolcan otros vehículos,Todas las bicicletas con tres ruedas o más son bicicletas estándar.,3,Una bicicleta normal se define como aquella cuyo tamaño corporal y estructura cumplen con los estándares establecidos por las ordenanzas de la Oficina del Gabinete y que no remolcan otros vehículos.,Cinco normas para el uso seguro de bicicletas | Agencia Nacional de Policía
señal,上級,¿Cuál es la explicación más adecuada respecto a los semáforos que deben respetar las bicicletas?,Obedece siempre solo las señales peatonales.,Las bicicletas no están sujetas a restricciones de tráfico.,Sigue los semáforos que encuentres según el método por el que viajes.,Obedece siempre solo las señales del vehículo.,3,"Según la explicación de la Agencia Nacional de Policía, se recomienda seguir las señales que se acercan, como obedecer las señales de vehículos al circular por la carretera y las señales peatonales al cruzar aceras, según la situación","Artículo 2, Artículo 63-3 de la Ley de Tráfico Viario, Reglamento de Aplicación Artículo 9-2"
Sistema de Billetes Verdes,上級,¿Cuál de las siguientes afirmaciones es correcta por no pagar la multa penalizante con una multa de bicicleta azul?,Obedece siempre solo las señales peatonales.,Arresto inmediato garantizado,Desactivar automáticamente,"Si el pago sigue sin realizarse tras completar los trámites en el centro de notificación, puede proceder a procedimientos penales.",4,"Si no realizas un pago preliminar, tendrás que pasar por procedimientos en el centro de notificación y, si no pagas más, puede que se inicie un proceso penal",Portal de Bicicletas de la Agencia Nacional de Policía
Reglas básicas,上級,"¿Cuál es la forma más adecuada para que las bicicletas pasen entre bicicletas y peatones con carteles que digan ""Solo para bicicletas y peatones""?","Las bicicletas tienen prioridad sobre los peatones, así que no hay restricciones de velocidad y puedes desplazarte",No existen regulaciones bajo la Ley de Tráfico Vial y es de libre acceso.,Siempre tienes que bajarte de la bici y empujar mientras caminas,Viajar a una velocidad y de manera que no obstruya el paso peatonal,4,"Se permiten bicicletas en los caminos para peatones ciclistas, pero deben circular a una velocidad y de manera que no obstaculize a los peatones.",Agencia Nacional de Policía: Normas de tráfico ciclista: Respetar los semáforos a la izquierda y los semáforos que vienen en sentido contrario
acto peligroso,上級,¿Cuál de las siguientes explicaciones es correcta respecto a la conducción bajo los efectos del alcohol en bicicleta según el Artículo 65 de la Ley de Tráfico?,Está prohibido conducir vehículos (incluidas bicicletas) bajo los efectos del alcohol,Solo quienes suministran alcohol están sujetos a castigo; los conductores no son castigados,"Aunque estés bajo los efectos del alcohol, mientras no te tambalees, está bien.",Las bicicletas no son vehículos ni están sujetas a la normativa de conducción bajo los efectos del alcohol.,1,"El artículo 65 de la Ley de Tráfico Vial prohíbe conducir vehículos bajo la influencia del alcohol, y las bicicletas están incluidas en esta categoría",Portal de Bicicletas de la Agencia Nacional de Policía
Reglas básicas,上級,¿Cuál es la forma más adecuada para que las bicicletas circulen por caminos peatonales con señales dedicadas a bicicletas y peatones?,Siempre tienes que bajarte de la bici y empujar mientras caminas,No hay restricciones bajo la Ley de Tráfico Vial y el tráfico es de libre acceso,"Las bicicletas tienen prioridad sobre los peatones, así que puedes desplazarte sin restricciones de velocidad",Viajar a una velocidad y de manera que no obstruya el paso peatonal,4,"Las bicicletas están permitidas en los caminos peatonales entre bicicletas, pero deben circular a velocidades y de formas que no obstruyan el paso peatonal",Procedimientos del portal de bicicletas de la Agencia Nacional de Policía para tasas impagadas
Paso lateral,上級,¿Cuál de los siguientes es el tratamiento correcto respecto a la regla de adelantamiento en paralelo respecto a 'aproximadamente 1 metro' y 'unos 20~30 km/h'?,Normas aplicables únicamente a bicicletas,Normas para Exclusividad de Autopistas,Normas absolutas explícitamente establecidas como tierra fija en la ley,Esto es solo una guía y se evaluará según la situación específica.,4,"Según los materiales de la Agencia Nacional de Policía, las distancias de aproximadamente 1 metro o 20~30 km/h son solo aproximadas y deben evaluarse en función de las condiciones de la carretera y del tráfico",Ley de Tráfico Vial
acto peligroso,上級,"Basándonos en el artículo 63-9 de la Ley de Tráfico Vial y el artículo 9-3 del Reglamento de Aplicación, ¿cuáles de los siguientes son los estándares apropiados respecto a los dispositivos de frenado de bicicletas?","En bicicletas de competición, ni siquiera se requieren frenos para moverse","Mientras puedas frenar con las ruedas delantera o trasera, eso está bien",Debe ser capaz de frenar tanto las ruedas delanteras como traseras y frenar suavemente dentro de una determinada distancia,"Si puedes parar frotando el suelo con el pie, no necesitas frenar",3,"Las bicicletas están equipadas con dispositivos que pueden frenar tanto las ruedas delanteras como traseras, y deben tener la capacidad de frenar suavemente dentro de una distancia especificada",Artículos 2 y 63-4 de la Ley de Tráfico Vial
Casco,初級,¿Cuál de las siguientes es la clasificación legal correcta para los cascos de bicicleta?,El uso es obligatorio; los artículos no utilizados son elegibles para el Billete Azul.,Es voluntario y no se menciona legalmente en absoluto,"Es una obligación de esforzarse, y no hay ningún tipo de penalización por no usar las penalizaciones en sí",Suspensión del carné si no se lleva,3,Los cascos de bicicleta son una obligación para esforzarse. No existe un tipo de sanción por infracciones únicamente por no llevar los artículos.,Cinco normas para el uso seguro de bicicletas | Agencia Nacional de Policía
Ciclomotores pequeños especificados,初級,¿Cuál de las siguientes opciones es la restricción de edad correcta para bicicletas con un comportamiento pequeño especificado?,15 años o más,13 años o más,No hay restricción de edad.,No hay niños menores de 16 años,4,"Las bicicletas pequeñas y motorizadas especificadas no requieren licencia, pero está prohibido conducirlas menores de 16 años.",Artículo 65 de la Ley de Tráfico Vial
Reglas básicas,上級,¿Cuál de las siguientes probablemente cumple con todos los estándares para bicicletas estándar según las normativas de aplicación?,"Longitud 180cm, ancho 65cm, sin motocicleta, sin sidecar, solo asientos para conductor y bebés","Longitud 185cm, ancho 55cm, sin motocicletas ni sidecars, solo asientos para conductor y niños, frenos delanteros y traseros","Longitud 195 cm, ancho 55 cm, vehículo de tres ruedas, sin sidecar; el equipo de embarque consiste en asiento del conductor y asientos traseros","Longitud 185cm, ancho 55cm, ruedas olímpicas, sin sidecar, solo asiento del conductor",2,"Solo el número 2 cumple naturalmente condiciones como longitud, ancho, número de ruedas (hasta cuatro ruedas), equipamiento de la tracción (excepto los asientos infantiles) y sistemas de frenos",Ley de Tráfico Vial
Sanciones y responsabilidades,初級,¿Cuál es la explicación más adecuada respecto a la responsabilidad de los padres respecto al uso del casco cuando los niños o bebés van en bicicleta?,"Las escuelas, no los padres, son responsables.",Los tutores están obligados a hacer esfuerzos para que los niños y otras personas lleven casco de montar,"Los tutores deben llevar siempre casco, y las infracciones conllevarán un castigo inmediato","Si llevarlo o no depende totalmente de ti, y no hay estatus legal",2,"Según el artículo 63-11 de la Ley de Tráfico Vial, se considera un ""deber de hacer un esfuerzo"" para los tutores.",Artículos 2 y 63-4 de la Ley de Tráfico Vial
Diferencias en la normativa del uso de cascos,上級,¿Cuál es la explicación más adecuada respecto a la normativa del casco?,Las bicicletas deben llevar casco completo; ciertos ciclomotores pequeños no son obligatorios,Los vehículos que se parecen a bicicletas tienen todos las mismas normativas sobre cascos,"Las bicicletas, ciclomotores pequeños específicos y ciclomotores generales tienen clasificaciones legales diferentes, y las normativas sobre cascos no son las mismas","Si llevarlo o no depende totalmente de ti, y no hay estatus legal",3,"Las bicicletas, las bicicletas pequeñas motorizadas específicas y los ciclomotores generales tienen clasificaciones legales diferentes, y aunque se parezcan similares, es incorrecto considerar uniformemente las regulaciones del uso de cascos",Portal de Bicicletas de la Agencia Nacional de Policía
Política de Aplicación,上級,"En cuanto a los casos en los que ""simplemente usé el tráfico en la acera"", ¿qué explicación se alinea con las preguntas frecuentes de la Agencia Nacional de Policía?","En principio, están sujetos a advertencias de orientación.",no violar,Definitivamente será una multa roja,"En principio, es un billete azul instantáneo",1,"Según las preguntas frecuentes de la Agencia Nacional de Policía, simplemente caminar por una acera está, en principio, sujeto a una advertencia directiva",Materiales de explicación de pasajes laterales de la Agencia Nacional de Policía: Directrices para métodos de paso
acto peligroso,初級,"En carreteras donde las señales de tráfico y regulaciones similares permiten la conducción en paralelo de bicicletas normales, ¿qué número de vehículos es correcto para el viaje en paralelo?",Hasta 2 coches,Sin restricciones,Hasta 3 vehículos,Solo un coche,1,"Según el artículo 63-5, incluso si se permite circular en paralelo en señales u otros medios, solo pueden circular en paralelo dos bicicletas normales.",Cinco normas para el uso seguro de bicicletas | Agencia Nacional de Policía
Aparcamiento,上級,¿Cuál de las siguientes afirmaciones sobre el aparcamiento y el parar para bicicletas es correcta?,"Si tienes bicicleta, puedes aparcar libremente cerca del paso de peatones.","Incluso los vehículos ligeros, incluidas las bicicletas, presentan tipos de infracciones de aparcamiento y de aparcamiento abandonado",El aparcamiento siempre es gratuito en las aceras,No existe el concepto de infracciones de aparcamiento o parada para bicicletas.,2,La lista de infracciones de la Agencia Nacional de Policía también incluye tipos de infracciones de aparcamiento y infracciones de aparcamiento abandonado para vehículos ligeros,Artículo 63-9 de la Ley de Tráfico Vial y Reglamento de Aplicación Artículo 9-3
acto peligroso,上級,¿Cuál de los siguientes es el enfoque adecuado bajo la Ley de Tráfico Vial al ir en bicicleta con varias personas?,"Si sois un grupo, no estáis sujetos a restricciones de tráfico.",Puedes avanzar en paralelo con cualquier número de vehículos sin señales.,"En principio, la conducción en paralelo está prohibida y, aunque se permita por señalización, se permiten hasta dos vehículos",Solo los automóviles están sujetos a prohibiciones de conducción paralela,3,"Generalmente está prohibido que las bicicletas circulen en paralelo y, aunque se conceda un permiso especial mediante señalización, se permiten hasta dos bicicletas",Portal de Bicicletas del Departamento de Policía Metropolitana
Reglas básicas,上級,"Cuando una bicicleta intenta cruzar una carretera, ¿cuál es la forma correcta de adelantar cerca de una zona de cruce de bicicletas?","Cerca de un carril de cruce bici, debes cruzar la carretera usando ese paso de bici",Debes cruzar el paso peatonal mientras vas en bicicleta,Conducir con una mano no tiene relación con la obligación de conducir con seguridad,"Al cruzar, siempre debes bajarte de la bici y empujar mientras caminas",1,"Según el artículo 63-6 de la Ley de Tráfico, cuando una bicicleta cruza una carretera, debe utilizar el carril de cruce de bicicletas cerca de un lugar",Artículo 63-11 de la Ley de Tráfico Vial
Operación Paraguas,上級,¿Cuál es la forma más adecuada de manejar la operación de umbrella?,Uniforme nacional y siempre legalmente legal,"En muchas regiones, puede considerarse una violación de las normativas de la Comisión de Seguridad Pública, por lo que generalmente debe evitarse",Conducir con una mano no tiene relación con la obligación de conducir con seguridad,Automáticamente legal en días de lluvia,2,"Ir con paraguas puede considerarse una infracción de las normativas de la Comisión de Seguridad Pública en muchas regiones y puede considerarse una infracción de las obligaciones de conducción segura. Debido a las diferencias regionales, es más seguro organizar cuestionarios con ""generalmente se deben evitar"".",Portal de Bicicletas del Departamento de Policía Metropolitana
acto peligroso,上級,¿Cuál de las siguientes afirmaciones es apropiada respecto a los cambios en las rutas ciclistas según el Artículo 26-2 de la Ley de Tráfico Vial?,"Si la velocidad o dirección del vehículo que va detrás no se ve afectada, también se permite un cambio de carril repentino",Las normativas sobre cambios de carril no se aplican a las bicicletas.,"Si existe el riesgo de que los vehículos de detrás cambien bruscamente de velocidad o dirección, no se deben hacer cambios de carril",Eres libre de cambiar tu trayectoria profesional en cualquier momento,3,"El artículo 26-2 de la Ley de Tráfico Vial prohíbe que los vehículos cambien de carril de forma arbitraria, y si existe el riesgo de que los vehículos que van detrás cambien de velocidad o dirección bruscamente, se prohíben los cambios de carril, lo que también se aplica a las bicicletas",Normas de tráfico y restricciones de edad del Departamento de Policía Metropolitana para bicicletas pequeñas motorizadas específicas
Reglas básicas,上級,"En carreteras con carriles para vehículos, ¿cuál es la posición más adecuada para que las bicicletas pasen?",Pasando por el carril de vehículos más a la derecha.,"Puedes elegir libremente cualquier carril disponible, independientemente de los carriles para vehículos.",Los vehículos deben pasar por el carril izquierdo y luego por el lado izquierdo de ese carril,Puedes moverte libremente entre aceras y carreteras.,3,"Incluso cuando hay un carril para vehículos, las bicicletas suelen usar el carril izquierdo y, por regla general, circulan por la parte izquierda de ese carril",Reglamentos de Aplicación de la Ley de Tráfico Vial
Ciclomotores pequeños especificados,上級,¿Cuál de las siguientes opciones es correcta respecto a ciertas bicicletas pequeñas de motor?,Se requiere matrícula obligatoria y inscripción en el seguro de responsabilidad civil de automóvil,"Dedicado a la conducción por acera, sin necesidad de seguro",No se requieren matrículas como en bicicletas,Incluso los menores de 16 años pueden conducir siempre que tengan matrícula.,1,"Una bicicleta pequeña motorizada específica no es una bicicleta, sino un tipo de ciclomotor, y requiere matrícula y seguro obligatorio de responsabilidad civil para automóviles",Reglamento de Aplicación de la Ley de Tráfico Vial Artículo 9-2-2
Reglas básicas,上級,¿Cuál de las siguientes formas de pensar sobre las señales relacionadas con cambiar el carril bici o girar a la derecha o a la izquierda que se alinee con la intención del Artículo 53 de la Ley de Tráfico?,"Si hay un impacto en el tráfico circundante, da una señal con antelación y deja tiempo suficiente para cambiar de carril o girar a la derecha o a la izquierda",No se deben dar señales en las aceras.,No se requiere que las bicicletas señalicen,"Si aceleras y giras bruscamente, no necesitas señal.",1,Las señales son un medio importante de comunicación para evitar que otros vehículos pongan en peligro vehículos al cambiar de carril o girar a la derecha o a la izquierda,Reglamentos de Aplicación de la Ley de Tráfico Vial
Conducir bajo los efectos del alcohol,上級,¿Cuál de los siguientes criterios es correcto para la exposición al alcohol según se explica en los materiales?,"Respirar 0,05 mg/L o sangre 0,1 mg/ml","Respira 0,15mg/L o sangre 0,3mg/ml","Respirar 0,3 mg/L o sangre 0,15 mg/ml",No existe un estándar numérico claro.,2,"Los datos indican que los criterios para la intoxicación alcohólica son 0,15 mg/L en el aliento o 0,3 mg/ml en sangre",Artículo 63-11 de la Ley de Tráfico Vial
acto peligroso,上級,"Al permitir que los bebés vayan en bicicleta, ¿cuál de las siguientes opciones se alinea mejor con la intención de la Ley de Tráfico Vial y las normas relacionadas?","Legalmente, no hay restricciones sobre los dojos para niños pequeños","Aunque lo pongas en la caja de carga, está bien para distancias cortas.",Cualquier bicicleta puede ser llevada por un adulto,"Permitir que los pasajeros circulen de manera que cumpla con los estándares, como cuando se instala una silla infantil en la bicicleta.",4,"Utilizar dispositivos que cumplan con las normas, como bicicletas para bebés o sillas para niños, es un requisito fundamental para garantizar la seguridad",Portal de Bicicletas de la Agencia Nacional de Policía
acto peligroso,上級,¿Cuál de los siguientes se acerca más a los criterios establecidos para la discapacidad auditiva?,Escucha 60 db a una distancia de 5 metros,Se puede oír una alarma de 90 dB a una distancia de 10 m.,Escucha 40 db a una distancia de 20 m,No existen estándares específicos para la distancia o la sonoridad,2,El artículo 9-7-2 estipula que la discapacidad auditiva requiere escuchar el sonido de una alarma de 90 dB a una distancia de 10 metros,Materiales de la Agencia Nacional de Policía: Diferencias entre bicicletas y ciclomotores pequeños específicos
Reglas básicas,上級,"En intersecciones con semáforos exclusivos para peatones y bicicletas y carriles de cruce para bicicletas, ¿cuál de los siguientes es el indicador correcto que deben seguir las bicicletas al cruzar?",Semáforos peatonales y ciclistas,Solo señales de vehículos,No hay reglas particulares.,Semáforo solo peatonal,1,"Según el artículo 7 de la Ley de Tráfico Vial y el artículo 2 de la Orden de Ejecución, es necesario seguir la visualización de semáforos fuera de la prefectura",Portal de Bicicletas de la Agencia Nacional de Policía
Reglas básicas,上級,¿Cuál de las siguientes opciones es la posición de paso más adecuada según la Ley de Tráfico Vial cuando una bicicleta circula por una acera?,Cerca del borde del lado de las zapatillas de construcción,Acera Central,Sección más cercana a la carretera,No hay regulaciones específicas,3,"Al utilizar aceras, generalmente se requiere que los peatones usen los tramos más cercanos a la calzada para garantizar su seguridad",Ejemplos de advertencias de guía de preguntas frecuentes en el sitio de Bicycle Portal
Prohibición de tráfico,上級,¿Cuál de las siguientes es la forma correcta de manejar la entrada a carreteras con restricciones para bicicletas?,No se pueden usar bicicletas,Puede considerarse una infracción de la prohibición de tráfico,El autojuicio tiene prioridad sobre los signos,Puedes entrar incondicionalmente usando la acera.,2,"Si las bicicletas infringen la prohibición de tráfico restringido, puede considerarse una infracción de la prohibición de tráfico.",Artículo 63-5 de la Ley de Tráfico Vial
Reglas básicas,初級,¿Cuál de las siguientes opciones es la obligación para los ciclistas cerca de los pasos de peatones que mejor se alinea con la intención del Artículo 38 de la Sexta Notificación?,"Aunque haya peatones, simplemente reduce la velocidad",Los vehículos pueden avanzar con prioridad sobre los peatones.,Las bicicletas no tienen obligaciones especiales en los pasos de peatones.,"Cuando un peatón intente cruzar, toma medidas como paradas temporales para evitar obstruir su paso.",4,"El artículo 38 estipula prioridad peatonal en los pasos de peatones, y las bicicletas no deben obstruir el paso peatonal.",Disposiciones especiales cuando se permite el recorrido en paralelo de bicicletas normales
Sanciones y responsabilidades,上級,¿Cuál de las siguientes explicaciones es la más adecuada sobre el sistema de formación de conductores en bicicleta?,"Si se repiten ciertos comportamientos peligrosos, puede que te ordenen realizar entrenamiento de ciclismo","No existe un sistema de formación para bicicletas, y por muchas infracciones que tengas, no se te permitirá asistir a la formación",La formación es una cuestión de esperanza y no tiene nada que ver con violaciones.,"Si no realizas el curso, tu licencia de ciclismo será revocada de forma uniforme.",1,"Según el artículo 108-3-4 de la Ley de Tráfico Vial, repetir actos designados como peligrosos resultará en una orden de instrucción",Portal de Bicicletas de la Agencia Nacional de Policía
Uso de auriculares,上級,¿Cuál es la explicación más adecuada respecto al manejo de la conducción ósea y los auriculares abiertos?,Las violaciones de conducción ósea y de oído abierto están siempre prohibidas.,La conducción ósea siempre es legal,La formación es una cuestión de esperanza y no tiene nada que ver con violaciones.,No se requieren luces al conducir por las aceras,4,"Según la directiva de la Agencia Nacional de Policía, los modelos de conducción ósea y de oído abierto no se juzgan uniformemente solo por la apariencia, sino individualmente por el rendimiento y el volumen, lo que los convierte en una zona gris",Lista de infracciones de la Agencia Nacional de Policía: Infracciones por aparcamiento abandonado / Infracciones de aparcamiento
Iluminación y luz,初級,¿Cuál de las siguientes afirmaciones sobre andar en bicicleta de noche es correcta?,Hay que encender las luces por la noche,"Si hay farola, puede quedarse sin luces","Si tienes material reflectante, no necesitas luz",No se requieren luces al conducir por las aceras,1,"Por la noche, las luces deben estar encendidas. No importa si hay farolas o si la acera está en la carretera.",Ley de Tráfico Vial
Sentido contrario y clasificación del tráfico,初級,¿Qué tipo de infracción es la más parecida a ir en bicicleta en sentido contrario?,Violación de los límites de tráfico,Entrada al paso a nivel de barrera,"Si tienes material reflectante, no necesitas luz",sin iluminación,1,"Conducir por el lado derecho de la carretera, comúnmente llamado conducción en sentido contrario, puede considerarse una infracción de límite de tráfico.",Artículos 19 y 63-5 de la Ley de Tráfico Vial
Ciclomotor con pedales,上級,"¿Cuál de las siguientes afirmaciones sobre productos llamados ""bicicletas de asistencia eléctrica"" que no cumplen con los estándares es correcta?","Clasificadas como bicicletas motorizadas generales, etc., y pueden requerir licencia, casco, matrícula, etc.",Siempre es posible conducir por las aceras,"Si tienes menos de 13 años, puedes conducir libremente.","Tratada como una bicicleta, sin necesidad de matrícula ni de matrícula",1,"Según los materiales de la Agencia Nacional de Policía, los productos que no cumplen con los estándares se clasifican como bicicletas motorizadas generales y pueden requerir licencia, casco, matrícula y otros artículos necesarios",Cinco normas para el uso seguro de bicicletas | Agencia Nacional de Policía
Mientras uso mi smartphone,初級,"¿Cuál de las siguientes es la sanción correcta por 'uso de móvil, etc. (posesión)' en una bicicleta?",12.000 yenes,5.000 yenes,6.000 yenes,15.000 yenes,1,"Según la lista de infracciones del Departamento de Policía Metropolitana, la multa por usar (o poseer) un teléfono móvil en un vehículo ligero es de 12.000 yenes.",Artículo 63-6 de la Ley de Tráfico Vial
correr lado a lado,初級,¿Cuál es la explicación correcta para la traducción en bicicleta?,Siempre reconocido,"Está prohibido el juego sucio, y existen excepciones solo cuando hay un cartel paralelo de permiso.",Siempre permitido solo en las aceras,Los niños siempre son reconocidos como niños.,2,"Generalmente está prohibido montar en bicicleta en paralelo. Excepcionalmente, esto solo está permitido cuando hay un signo traslacional.",Portal de Bicicletas de la Agencia Nacional de Policía
