問題番号,問題文,難易度,カテゴリ,正解,解説,法令参照
64,"Dado que velocidades más altas implican distancias de frenado más largas, es necesario ajustar la velocidad según la situación desde la perspectiva de las obligaciones de conducción segura.",superior,Reglas básicas,〇,"Dado que la distancia de frenado aumenta con la velocidad, es necesario seleccionar la velocidad adecuada según la visibilidad y las condiciones de la carretera. Ley de Tráfico Vial 7","Artículo 70 de la Ley de Tráfico Vial: Obligación respecto a la selección segura de velocidad basada en distancias de frenada, etc."
65,"Incluso si la superficie de la carretera está resbaladiza por hielo, nieve o grava, conducir normalmente está bien si el límite de velocidad está por debajo del límite.",superior,acto peligroso,✕,Conducir sin ajustar la velocidad o el recorrido según las condiciones de la carretera puede violar las obligaciones de conducción segura. Ley de Tráfico Vial,"Artículo 70 de la Ley de Tráfico Vial: Obligación de ajustar los métodos de conducción según las condiciones de la superficie de la carretera (hielo, grava, barro, etc.)."
66,Los estándares de rendimiento de frenado en bicicleta también especifican valores numéricos para las distancias de frenado en superficies mojadas.,superior,acto peligroso,✕,"Las normativas de aplicación especifican condiciones para ""superficies pavimentadas secas y planas"" y no especifican la distancia específica de frenado para superficies mojadas. Reglamento de Aplicación de la Ley de Tráfico Vial 7A",Comprensión de las condiciones de la superficie de la carretera a las que se aplican los estándares de rendimiento de frenado Artículo 9-3 del Reglamento de Aplicación de la Ley de Tráfico.
67,"Para las bicicletas con asistencia eléctrica, no existe un límite superior en la relación entre la fuerza asistiva y la fuerza humana a bajas velocidades (por debajo de 10 km/h).",superior,Reglas básicas,✕,"Los artículos 1-3 establecen específicamente un límite superior para la proporción de potencia auxiliar respecto a potencia humana para cada clase de velocidad, y existen límites incluso en el rango de bajas velocidades. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículo 1-3 del Reglamento de Aplicación de la Ley de Tráfico Vial: Límite máximo para la relación de asistencia en rangos de baja velocidad por debajo de 10 km/h.
68,Las funciones auxiliares de las bicicletas de asistencia eléctrica son necesarias para funcionar sin problemas y garantizar una conducción segura durante su movimiento.,superior,acto peligroso,〇,"El artículo 1-3, punto 2 establece claramente los requisitos para la fluidez y seguridad de las funciones auxiliares. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículos 1-3 del Reglamento de Aplicación de la Ley de Tráfico Vial: Normas para la fluidez y seguridad de las funciones auxiliares.
69,"El tamaño de la carrocería de un vehículo ligero que utiliza un vehículo motorizado no debe superar los 4 metros de longitud, 2 metros de ancho y 3 metros de alto.",superior,Reglas básicas,〇,"Según el Artículo 1-2-3, Punto 1, la norma es que la longitud no debe superar los 4 m, el ancho 2 m y la altura 3 m. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículo 1-2-3 del Reglamento de Aplicación de la Ley de Tráfico: Límite máximo para el tamaño de la carrocería de vehículos ligeros que utilizan motor.
70,"En vehículos ligeros que usan un motor, el motor puede seguir funcionando incluso si el conductor abandona el vehículo.",superior,acto peligroso,✕,El artículo (ha) exige que el motor se detenga cuando el conductor abandone el vehículo. Reglamento de Aplicación 7 de la Ley de Tráfico Vial,Artículo 1-2-3 del Reglamento de Aplicación de la Ley de Tráfico: Requisitos para detener el motor cuando se desacopla en vehículos ligeros que utilizan un motor.
71,"Para bicicletas con cuatro o más ruedas, que se consideran peatones que pisan el pedal, el estándar es que la longitud no debe superar los 190 cm y el ancho 60 cm.",superior,Reglas básicas,〇,El artículo 1-8 estipula que las bicicletas con cuatro o más ruedas no deben superar los 190 cm de longitud ni 60 cm de ancho. Reglamento de Aplicación 7 de la Ley de Tráfico Vial,"Artículos 1-8 del Reglamento de Aplicación de la Ley de Tráfico: Tamaño de los vehículos considerados peatones (bicicletas con cuatro o más ruedas, etc.)."
72,"El tamaño de la carrocería de un vehículo móvil pequeño no debe superar los 120 cm de longitud, 70 cm de ancho y 120 cm de altura (excluyendo el soporte de la cabeza).",superior,Reglas básicas,〇,"El artículo 1-4, punto 1 estipula que el límite superior de estas dimensiones es el límite superior. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículo 1-4 del Reglamento de Aplicación de la Ley de Tráfico Vial: Límite Máximo para el Tamaño de Vehículos Pequeños para la Movilidad (los llamados carros eléctricos, etc.)."
73,"El tamaño corporal de un vehículo para personas con discapacidades físicas que utilizan un motor no debe superar los 120 cm de longitud, 70 cm de ancho y 120 cm de altura (excluyendo el soporte de la cabeza).",superior,Reglas básicas,〇,"El artículo 1-5, punto 1 estipula que el límite superior se fija en las mismas dimensiones que para vehículos móviles pequeños. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",Artículo 1-5 del Reglamento de Aplicación de la Ley de Tráfico Vial: Límite Máximo de Tamaño para Personas con Discapacidad Física que Utilizan Motores.
74,Los vehículos para personas con discapacidades físicas que utilizan vehículos motorizados deben distinguirse claramente de los automóviles o bicicletas motorizadas por su apariencia.,superior,Reglas básicas,〇,"El artículo 1-5, punto 2 estipula que debe distinguirse claramente de un vehículo o bicicleta motorizada por su apariencia. Reglamentos de Aplicación de la Ley de Tráfico Vial",Artículo 1-5 del Reglamento de Aplicación de la Ley de Tráfico: Los vehículos para personas con discapacidad física que utilizan motores deben distinguirse de los automóviles por su apariencia.
75,"Los estándares para cascos de equitación incluyen campo de visión claro, absorción de impactos, cierre de correa para la barbilla y peso inferior a 2 kg.",superior,acto peligroso,〇,"El artículo 9-5 especifica requisitos para campo de visión, audición, absorción de impactos, resistencia a la penetración, banda para la barbilla y peso de 2 kg o menos. La misma perspectiva es importante para los cascos de bicicleta. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículo 9-5 del Reglamento de Aplicación de la Ley de Tráfico: Algunas normas para cascos de conducción (campo de visión, fijación, peso, etc.). Este también es un concepto relacionado con la elección de un casco de bicicleta."
76,"Los vehículos que pueden circular de forma independiente usando solo el motor sin pedalear entran en la categoría de ""bicicletas con ayuda a la conducción"" según se define en los artículos 1-3 del Reglamento de Aplicación de la Ley de Tráfico.",superior,Reglas básicas,✕,"El artículo 1-3 contempla un motor (motor eléctrico) para complementar la fuerza de pedaleo del usuario, y aquellos que pueden funcionar únicamente con el motor no se tratan como bicicletas, sino como bicicletas motorizadas. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","El artículo 1-3 del Reglamento de Aplicación de la Ley de Tráfico fija los estándares para que el motor motorizado se trate como una bicicleta asistida eléctricamente (como si fuera un motor eléctrico y garantizara una conducción segura, etc.)."
78,"Para bicicletas con asistencia eléctrica, la relación de asistencia se establece en 1 punto para la potencia manual y en 2 unidades de asistencia motora para velocidades inferiores a 10 km/h.",superior,Reglas básicas,〇,"Según el artículo 1-3, el límite superior para las relaciones de asistencia a bajas velocidades (por debajo de 10 km/h) es 1:2, y superar este límite queda eliminado de los estándares legales para bicicletas. Reglamentos de aplicación de la Ley de Tráfico Vial",El artículo 1-3 del Reglamento de Aplicación de la Ley de Tráfico Vial define la relación entre la relación de asistencia (la relación entre la potencia humana y la potencia del motor) y la velocidad en bicicletas asistidas eléctricamente.
79,"Las bicicletas de asistencia eléctrica con estructuras que permiten un ajuste fácil de las relaciones de asistencia y el control de velocidad pueden no encajar en la categoría de ""estructura difícil de modificar"" como exige el artículo 1-3.",superior,acto peligroso,〇,"Las estructuras que permiten modificaciones sencillas que se desvían del estándar no cumplen los requisitos para ""bicicletas con ayudas a la conducción"" tal y como supone la ley y pueden entrar en la categoría de ciclomotores y vehículos similares. Reglamentos de Aplicación de la Ley de Tráfico Vial",Artículo 1-3 del Reglamento de Aplicación de la Ley de Tráfico Vial: Los motores motorizados de las bicicletas con asistencia eléctrica deben tener estructuras que no sean fácilmente modificadas para desviarse de los estándares.
80,"En cuanto a los sistemas de frenado de bicicleta, dado que el artículo 9-3 de las normas de aplicación establece estándares de rendimiento para las distancias de frenada y otros factores, no se trata simplemente de tener frenos.",superior,Reglas básicas,〇,"Este artículo establece estándares específicos para el rendimiento de frenado, y adelantar con vehículos que no cumplan estos estándares puede suponer una violación de la ley. Reglamento de Aplicación 7 de la Ley de Tráfico Vial",El artículo 9-3 del Reglamento de Aplicación de la Ley de Tráfico Circulante establece estándares específicos para el rendimiento de los sistemas de frenado de bicicleta (como la distancia de frenada).
81,"Si una bicicleta está equipada con equipos reflectantes que cumplen con los estándares del artículo 9-4 de las normativas de aplicación, la luz trasera puede omitirse según la ordenanza.",superior,Reglas básicas,〇,"Las normativas de cumplimiento de muchas prefecturas estipulan que, si el reflector cumple con los estándares correspondientes, no se requieren luces traseras. Sin embargo, por seguridad, se recomienda usar luces traseras en combinación. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","El artículo 63-9, párrafo 2 de la Ley de Tráfico Vial y el artículo 9-4 del Reglamento de Aplicación de la Ley de Tráfico Vial establecen que las bicicletas pueden estar equipadas con dispositivos reflectantes que cumplan ciertos estándares en lugar de luces traseras."
82,"El equipo reflectante requerido por el Artículo 9-4 del Reglamento de Aplicación está 'instalado en bicicletas', y los materiales reflectantes, como la ropa de los ocupantes, por sí solos no se consideran sustitutos.",superior,acto peligroso,〇,"La disposición asume que la bicicleta está unida a la bicicleta y, en la práctica, también es obligatoria que esté sujeta a la propia bicicleta. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","El artículo 9-4 del Reglamento de Aplicación de la Ley de Tráfico establece que los dispositivos reflectantes se basan en la suposición de que los reflectores se instalan en bicicletas, y que los materiales reflectantes que solo se encuentran en el cuerpo o la ropa no pueden sustituirse."
83,"El artículo 5-6 del Reglamento de Aplicación establece un límite máximo para el tamaño (longitud, anchura, altura) de las bicicletas permitidas en los carriles bici, y los vehículos que excedan este límite tienen prohibido el uso de carriles bici.",superior,Reglas básicas,〇,Este artículo establece estándares para las dimensiones de las bicicletas para garantizar la seguridad de los carriles bici. Reglamento de Aplicación 7 de la Ley de Tráfico Vial,"El artículo 5-6 del Reglamento de Aplicación de la Ley de Tráfico Vial establece estándares para el tamaño (longitud, ancho, altura) de las bicicletas permitidas en los carriles bici."
84,No se pueden usar bicicletas anchas de cuatro ruedas que superen las dimensiones para el paso de carriles bici.,superior,Reglas básicas,〇,Los vehículos que superen los estándares dimensionales especificados en el Artículo 5-6 quedan excluidos del tráfico en carriles bici. Reglamento de Aplicación 7 de la Ley de Tráfico Vial,Artículo 5-6 del Reglamento de Aplicación de la Ley de Tráfico: Los vehículos autorizados para usar carriles bici están limitados a bicicletas ordinarias y vehículos similares dentro de un determinado tamaño.
85,"Cualquiera que empuje una bicicleta por un paso de peatones se considera peatón, por lo que los vehículos están sujetos a la obligación de detención según el Artículo 38 de la Ley de Tráfico.",superior,Reglas básicas,〇,"El empuje se trata como un paso peatonal, por lo que los peatones están protegidos como quienes cruzan el paso de peatones. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículo 38, artículo 2, párrafo 3 de la Ley de Tráfico: Al pasar por un paso de peatones como peatón, el vehículo está sujeto a la obligación de detenerse temporalmente y similares."
86,"El uso seguro de las bicicletas y la seguridad de las plazas de aparcamiento para bicicletas están definidos no solo por la Ley de Tráfico Viario, sino también por la llamada Ley de Bicicletas (la Ley de Medidas para el Aparcamiento de Bicicletas, etc.).",superior,Reglas básicas,〇,La Ley de la Bicicleta sirve como una ley fundamental para promover de manera integral el uso seguro de las bicicletas y las medidas para el aparcamiento de bicicletas. Reglamento de Aplicación 7 de la Ley de Tráfico Vial,"Artículo 1 de la Ley sobre la Promoción del Uso Seguro de las Bicicletas y la Promoción Integral de las Medidas de Aparcamiento para Bicicletas, etc., entre otras: Una ley destinada a promover de manera integral el uso seguro de las bicicletas y las medidas de aparcamiento para bicicletas (comúnmente conocida como la Ley de Bicicletas)."
87,"El artículo 9-5 del Reglamento de Aplicación prohíbe a los conductores de vehículos, incluidas las bicicletas, conducir mientras escuchan música de una manera que oculte los sonidos circundantes necesarios para una conducción segura.",superior,acto peligroso,〇,Este artículo prohíbe conducir cuando no se puede oír el sonido necesario debido al uso de reproductores de música portátiles o dispositivos similares. Reglamento de Aplicación 7 de la Ley de Tráfico Vial,Artículo 9-5 del Reglamento de Aplicación de la Ley de Tráfico: Está prohibido conducir cuando se utilizan reproductores de música portátiles o dispositivos similares sin escuchar los sonidos del tráfico circundante necesarios para una conducción segura.
88,"Los equipos reflectantes y las luces traseras son principalmente necesarios para el tráfico nocturno, pero debido a condiciones como los túneles, no se puede decir que todo el equipo sea innecesario solo por ser de día.",superior,Reglas básicas,〇,"Fuera de la noche, puede ser necesario iluminar durante el paso por el túnel, por lo que se recomienda mantenerlos encendidos en todo momento por motivos de seguridad. Reglamentos de aplicación de la Ley de Tráfico Vial","Artículos 52 y 63-9, párrafo 2 de la Ley de Tráfico Viario: La obligación de usar dispositivos reflectantes y luces traseras está relacionada básicamente con la noche, pero por razones de seguridad, se recomienda usarlos durante el día."
89,"Las bicicletas no deben cruzar independientemente de si hay un carril para cruce bici, siempre que exista el riesgo de interferir con el tráfico normal para peatones u otros vehículos.",superior,acto peligroso,〇,"Según los artículos 25-2 y 63-7 de la Ley de Tráfico Vial, está prohibido cruzar que obstaculiza la seguridad de otros vehículos. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículo 63-7 y 25-2 de la Ley de Tráfico Viario: Prohibición de los métodos de paso para bicicletas en pasos de peatones y bicicletas, así como en otros obstáculos de tráfico."
90,Mirar fijamente la pantalla de un smartphone mientras se va en bicicleta constituye una violación del deber de conducción segura (artículo 70 de la Ley de Tráfico).,superior,acto peligroso,〇,Este comportamiento se considera una falta de observación de la mirada frontal requerida y ha sido visto como un problema por la aplicación de la ley en varias regiones. Reglamento de Aplicación 7 de la Ley de Tráfico Vial,"Artículo 70 de la Ley de Tráfico Vial: La violación del deber de conducir con seguridad, como conducir Smart Phong mientras se presta mucha atención, es un problema."
91,"Las bicicletas deben estar equipadas con una campana (fuonin) (campana) en las bicicletas, según el Reglamento de Aplicación de la Ley de Tráfico.",superior,Reglas básicas,〇,El artículo 9-1 del Reglamento de Aplicación estipula generalmente la obligación de equipar altavoces similares a los automóviles. Reglamento de Aplicación de la Ley de Tráfico Vial 7 al mes,El artículo 9-1 del Reglamento de Aplicación de la Ley de Tráfico Circular exige que las bicicletas estén equipadas con una campana.
92,Tocar un timbre de bicicleta indiscriminadamente para distraer a los peatones no se considera un uso apropiado de un altavoz según la Ley de Tráfico Vial.,superior,acto peligroso,〇,"El artículo 54 limita el uso de instrumentos musicales a situaciones donde sea necesario, y el abuso con fines de retirar peatones se considera indeseable. Reglamento de Aplicación 7 de la Ley de Tráfico Vial","Artículo 54 de la Ley de Tráfico Vial: Las campanas normales solo deben usarse cuando sea necesario, y su abuso para la retirada de peatones está prohibido."
93,"Actualmente, llevar casco de montar es un esfuerzo obligatorio para todos los ciclistas.",superior,Reglas básicas,〇,La Ley de Tráfico Vial revisada introdujo un mandato obligatorio de uso del casco para todas las edades. Reglamentos de Aplicación de la Ley de Tráfico Vial,El artículo 63-11 (Enmienda) de la Ley de Tráfico por Carretera introduce la obligación de llevar casco de conducción y la obligación de todos los ciclistas.
94,La prohibición de conducir bajo los efectos del alcohol o bajo la influencia del alcohol también se aplica a la equitación.,superior,Sanciones • Responsabilidades,〇,"El artículo 65 de la Ley de Tráfico Vial estipula que ""ninguna persona puede conducir vehículos u otros vehículos bajo los efectos del alcohol"", y también se incluyen bicicletas. Reglamentos de aplicación de la Ley de Tráfico Vial",Artículo 65 de la Ley de Tráfico en Carretera: La prohibición de conducir bajo los efectos del alcohol y la intoxicación también se aplica a las bicicletas.
95,"Si conduces por carreteras sin sistemas de frenos, como las llamadas pistas sin frenos, puedes estar sujeto a sanciones por ser un vehículo mal mantenido.",superior,Sanciones • Responsabilidades,〇,Los vehículos que no cumplan los requisitos del Artículo 63-9 serán sometidos a la aplicación por violación de la Ley de Tráfico. Reglamento de Aplicación 7 de la Ley de Tráfico Vial,Artículos 63-9 y 120 de la Ley de Tráfico Viario: Montar en bicicleta sin sistema de frenos es una infracción y también puede estar sujeto a sanciones.
96,"Las bicicletas también deben circular a velocidades seguras según las condiciones de la carretera y el tráfico, además de las señales de máxima velocidad.",superior,acto peligroso,〇,"Según los artículos 22 y 70 de la Ley de Tráfico Vial, las bicicletas también están obligadas a ajustar su velocidad adecuadamente según la situación. Reglamentos de Aplicación de la Ley de Tráfico Vial","Los artículos 22 y 70 de la Ley de Tráfico Vial exigen que las bicicletas no solo tengan límites máximos de velocidad, sino también que circulen a una ""velocidad segura adecuada a la situación."""
,,,,,,
